Epoch	AverageCrash_counter	StdCrash_counter	Crash_ratio	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	93.0	0.0	0.7265625	-6.5717487	8.307384	14.527888	-18.41802	4.5478215	1.2865878	7.987484	1.1516488	15.90625	0.037167616	0.015765727	0.07672018	-0.07643246	4000	8.940697e-08	373.0514	-0.014774144	-44.006844	1.6073773	0.008785379	0.092999995	79.0	312.55202984809875
1	158.0	0.0	0.6869565	-5.718822	8.567606	19.391626	-24.183622	4.9000177	1.4382306	9.563	1.2570958	17.243479	-2.2496617	0.27605692	-1.6213262	-3.065853	8000	1.1175871e-08	57.700058	-0.015437591	-1.5048885	1.5861573	0.013900619	0.2655	12.0	589.8807299137115
2	132.0	0.0	0.58928573	-3.2426105	9.12291	18.09929	-21.915516	4.5481524	1.483277	9.174816	1.0177733	17.71875	-2.4950619	0.6556464	-1.5114827	-4.244828	12000	0.0	70.35824	-0.01051781	-4.645357	1.5532393	0.012319088	0.062250003	32.0	863.2046122550964
3	77.0	0.0	0.3888889	0.726584	9.88213	21.157394	-22.014584	4.133044	1.5360376	8.045224	0.9317397	20.045454	-1.0042382	0.47062624	-0.2165633	-2.5534	16000	2.3283064e-08	81.89572	-0.015785217	-12.581501	1.5114467	0.0045796474	0.154	79.0	1139.0634627342224
4	83.0	0.0	0.44864866	0.9050443	10.184516	21.443369	-22.53106	4.056459	1.4718612	8.168042	0.8867305	19.605406	1.1563064	0.8481937	3.3387792	-0.46611714	20000	1.1175871e-08	87.878716	-0.0123175755	-1.715744	1.4539148	0.012217442	0.12825	35.0	1421.301239490509
5	57.0	0.0	0.42222223	1.7319149	10.122449	24.034761	-18.432049	3.953813	1.4405745	7.840725	0.9072712	19.859259	1.1711701	1.333583	4.3940578	-0.28721303	24000	-1.4901161e-08	151.08069	-0.007717699	-14.525879	1.4261136	0.012195133	0.069	39.0	1715.3213515281677
6	62.0	0.0	0.32978722	3.3731139	9.567347	23.565308	-17.062643	3.7053535	1.4785725	8.316463	0.94151425	21.218084	1.7386011	1.931172	4.850726	-2.1005397	28000	-2.6077032e-08	75.4279	-0.0057809167	-8.627392	1.3773475	0.012415233	0.16575	11.0	1998.9388236999512
7	74.0	0.0	0.37373737	3.4788885	10.459548	28.890156	-16.847065	3.66225	1.4798431	8.022865	0.90600425	20.010101	3.783353	2.2052963	7.0895343	-1.0224113	32000	3.7252903e-09	71.92424	-0.0053206002	-3.6340523	1.3524671	0.012074855	0.16600001	10.0	2271.8426547050476
8	70.0	0.0	0.38674033	3.735562	10.652249	27.42941	-17.463814	3.366395	1.4170557	7.818209	0.9028205	19.077349	3.679594	2.6087787	8.850776	-1.3418682	36000	1.1175871e-08	84.84147	-0.014372618	-0.75951004	1.2868001	0.008156529	0.0895	79.0	2548.03578042984
9	54.0	0.0	0.28125	5.585722	10.560038	25.048336	-17.632889	3.1831496	1.3304749	6.9548583	0.8738667	20.739584	4.1473637	2.4458728	7.7871294	-0.16451448	40000	1.4901161e-08	69.03798	-0.016412571	-7.444496	1.2278571	0.0122136455	0.177	75.0	2820.891229391098
10	86.0	0.0	0.41747573	4.7688403	11.213589	29.311108	-18.042763	3.2994728	1.2695149	7.175993	1.1769336	19.262136	6.1197214	2.3173926	9.542683	1.358313	44000	1.3038516e-08	71.103	-0.009003151	-3.911518	1.1594589	0.007516789	0.07575	79.0	3087.2367491722107
11	51.0	0.0	0.26984128	8.193171	10.08619	25.67081	-15.974335	2.9143078	1.2339017	7.7419505	0.657564	21.031746	5.5792665	2.6465242	10.34585	0.4184988	48000	-1.4901161e-08	60.181446	-0.013919673	-8.972889	1.0972819	0.009494808	0.09725	79.0	3358.28636097908
12	55.0	0.0	0.28645834	9.719759	10.6872015	27.806454	-15.374319	2.7993004	1.2268078	5.646036	0.8969162	20.666666	8.1164	2.3816237	12.563156	3.577825	52000	-6.9849193e-09	59.149597	-0.012356399	-2.6106339	1.0603865	0.007255518	0.08675	79.0	3621.275053501129
13	56.0	0.0	0.29473683	10.070506	9.747293	27.739614	-11.551462	2.9338405	1.2443309	6.6012444	0.8972338	20.942104	8.836156	2.1850934	13.086133	4.3586545	56000	-7.450581e-09	47.707626	-0.009964358	-1.6547298	1.0482012	0.0060771876	0.0765	79.0	3888.557332277298
14	41.0	0.0	0.22162162	11.93987	9.71426	26.35222	-15.91379	2.6287737	1.1801847	7.6928487	0.91061395	21.497297	9.318367	2.4114902	14.490497	4.173402	60000	-1.4901161e-08	45.216393	-0.010790847	-2.4484158	0.99357176	0.007411648	0.103	79.0	4157.941811800003
15	62.0	0.0	0.3147208	10.89836	10.012775	27.716583	-10.697088	2.751735	1.2058561	6.439844	0.90904605	20.172588	10.299184	1.8757629	14.825353	4.9755044	64000	9.313226e-09	48.786556	-0.0076183937	-1.4870434	0.9771745	0.007868126	0.067499995	79.0	4413.339571475983
16	62.0	0.0	0.31958762	11.683823	10.1170845	29.157778	-11.126344	2.7926	1.172172	5.968849	0.947375	20.530928	9.658715	1.8074832	14.401651	3.3528664	68000	0.0	49.423046	-0.009300478	-1.5030746	0.9566134	0.008774538	0.06925	79.0	4681.744669675827
17	35.0	0.0	0.19021739	14.406244	9.267107	28.043015	-6.8817472	2.436154	1.0712837	5.391858	0.90988755	21.679348	10.353627	1.8803676	15.176241	1.0939757	72000	-5.5879354e-09	40.604935	-0.0082393065	-3.2348938	0.87498116	0.0071741133	0.0535	79.0	4945.76256608963
18	46.0	0.0	0.24468085	14.621897	9.661826	29.236773	-7.354482	2.5153403	1.0761319	5.373711	0.66650915	21.218084	11.676822	1.6407163	15.812269	1.3140593	76000	3.7252903e-09	43.123634	-0.008366831	-0.43421364	0.8319628	0.0065207984	0.06225	79.0	5208.218016624451
19	43.0	0.0	0.22751322	14.680956	9.104088	28.752743	-6.088631	2.4742904	1.0345527	6.5286098	0.6676041	21.074074	12.029416	1.7659507	15.804379	1.7709057	80000	-3.7252903e-09	37.25953	-0.0074532162	-0.68510437	0.77601206	0.0059753954	0.035	79.0	5471.899713754654
20	52.0	0.0	0.26666668	13.94584	9.756716	29.240932	-8.229212	2.4252512	1.0034775	5.785066	0.92770773	20.394873	11.817187	1.9283937	16.10551	-1.8636066	84000	-7.450581e-09	40.232304	-0.0062146336	-0.9302635	0.7462262	0.005287854	0.05275	79.0	5733.6173593997955
21	42.0	0.0	0.22222222	15.127689	9.406469	27.81109	-8.707158	2.4064164	1.0565133	7.4569025	0.66758347	21.015873	11.47701	1.9812628	16.42973	-2.9804006	88000	0.0	37.586014	-0.006042814	-1.4781656	0.69639003	0.0031266732	0.04625	79.0	5994.808056116104
22	50.0	0.0	0.2617801	14.943546	9.919163	28.615242	-9.232917	2.3813226	1.0701549	6.094836	0.9089204	20.816753	12.201042	2.1743972	17.314535	0.3420394	92000	-3.259629e-09	41.76587	-0.00746496	-0.7552414	0.6424322	0.007693654	0.074	79.0	6253.690793275833
23	33.0	0.0	0.18032786	16.170362	9.0862055	28.901152	-9.668095	2.355818	1.0205017	5.582118	0.66626465	21.781422	12.065528	2.3662512	17.190636	-5.580712	96000	1.1175871e-08	35.170174	-0.008263912	-1.1790018	0.6236814	0.009143065	0.05275	79.0	6514.465358257294
24	31.0	0.0	0.1693989	16.949732	9.07462	28.713049	-9.09471	2.2456763	1.0020924	5.6452246	0.66751224	21.792349	12.731326	2.067769	17.922234	-5.544827	100000	-3.7252903e-09	32.98016	-0.0043310123	-0.7960367	0.5997274	0.002151541	0.032250002	79.0	6769.768024921417
25	41.0	0.0	0.21808511	16.547443	9.632476	28.728516	-8.201174	2.3645244	1.0575052	5.307271	0.91314274	21.143618	12.934266	2.4591043	18.067377	-6.7155905	104000	7.450581e-09	35.870155	-0.0062704682	-0.5898466	0.62069833	0.005843655	0.042	79.0	7025.0262796878815
26	45.0	0.0	0.234375	15.934326	9.430168	28.16245	-7.749127	2.336032	1.0905838	5.4035535	0.90864205	20.692709	13.019177	2.862357	19.53929	-7.9218793	108000	5.5879354e-09	37.15445	-0.0065128086	-0.62482643	0.57341135	0.0052513443	0.039499998	79.0	7281.814173460007
27	38.0	0.0	0.20212767	16.603025	8.869554	29.27339	-7.0103154	2.2737775	0.9731411	4.7063026	0.9086531	21.159575	12.141367	2.9660194	18.99529	-5.257583	112000	1.1175871e-08	34.46671	-0.004584483	-1.0019779	0.5491309	0.0039971857	0.0235	79.0	7539.66613984108
28	37.0	0.0	0.19786096	17.237703	8.334029	28.533443	-5.9620094	2.3251863	0.9942454	5.42364	0.9119938	21.342245	13.133277	2.644555	19.96578	-6.492181	116000	-7.450581e-09	29.645147	-0.004680861	-0.76172733	0.54041123	0.0025446748	0.087	79.0	7799.275335788727
29	45.0	0.0	0.2356021	16.89651	9.808776	28.83991	-11.448648	2.284852	0.9749678	5.096504	0.66627926	20.86911	13.253916	2.6131861	18.955189	-4.1008034	120000	-7.450581e-09	38.280758	-0.0062822476	-1.2493935	0.5188603	0.004921714	0.080249995	79.0	8055.947694540024
30	31.0	0.0	0.17032968	17.312937	8.686355	29.813917	-4.8204174	2.3071048	1.001256	5.532098	0.6665454	21.774725	12.844741	3.083391	20.07576	-8.782537	124000	-2.3283064e-09	32.56463	-0.005943396	-1.0108156	0.5309673	0.0061097927	0.03175	79.0	8312.758929491043
31	29.0	0.0	0.15846995	17.839628	8.244294	28.309896	-5.5665627	2.0969722	0.93041015	5.3166375	0.90855885	21.726776	13.44452	2.669239	20.437187	-1.9474288	128000	-7.450581e-09	27.76004	-0.0049597584	-0.46819782	0.5089866	0.0036230544	0.022	79.0	8568.699663639069
32	45.0	0.0	0.2356021	16.736744	9.583711	28.948597	-7.9115815	2.3590283	1.0326014	5.5542407	0.68608403	20.910995	13.282066	2.624255	20.118116	-3.315915	132000	1.1175871e-08	36.283764	-0.005901035	-1.3924904	0.5007212	0.004405764	0.08050001	79.0	8823.676579475403
33	49.0	0.0	0.25520834	16.080812	9.832481	29.797937	-7.4589005	2.2763464	0.9592373	4.3941693	0.6730283	20.734375	13.329021	3.0367537	20.466301	-8.347259	136000	-2.7939677e-09	35.530388	-0.005575521	-1.4797401	0.48533273	0.006563619	0.082	79.0	9074.270113945007
