Epoch	AverageCrash_counter	StdCrash_counter	Crash_ratio	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	LossCV	DeltaLossPi	DeltaLossV	DeltaLossCV	Entropy	KL	ClipFrac	StopIter	Time
0	93.0	0.0	0.7265625	-2.0239272	8.027879	19.62631	-12.514799	4.5478215	1.2865878	7.987484	1.1516488	15.90625	0.037167616	0.015765727	0.07672018	-0.07643246	4000	-1.1920929e-07	364.29214	6.389135	-0.072974265	-38.051277	-4.9712067	1.6073773	0.012791209	0.105	15.0	513.2699391841888
1	166.0	0.0	0.67755103	-0.44482145	8.652532	20.87899	-14.35452	4.488612	1.4159881	9.245637	1.4089111	16.277552	-1.2265254	0.21130337	-0.82231385	-1.7477614	8000	8.940697e-08	63.210182	2.395005	-0.050383016	-6.7142887	-0.6942282	1.5747443	0.0124022	0.3505	12.0	970.4921033382416
2	165.0	0.0	0.65217394	-0.28209695	8.516889	24.135588	-13.446849	4.2261314	1.2284173	7.590273	1.0006964	15.770751	0.3428606	0.6149609	1.0436418	-1.3993975	12000	0.0	57.649372	1.3789717	-0.04275945	-3.525608	-0.07186288	1.5143754	0.012529988	0.12125	11.0	1425.7773053646088
3	114.0	0.0	0.64044946	0.5280474	9.328329	23.62212	-14.2496605	4.2710767	1.2771988	7.5574756	1.2485325	16.089888	0.48192975	1.1350003	2.81376	-1.0200121	16000	-2.2351742e-08	217.16815	1.2382019	-0.048438326	-25.498177	-0.17515233	1.4772849	0.012054045	0.07075	19.0	1908.480381011963
4	155.0	0.0	0.6007752	0.56321853	8.641508	24.934153	-14.99042	3.6216922	1.288732	7.9596252	0.88362545	15.325582	0.9029568	1.6173284	4.135557	-3.3076897	20000	-1.8626451e-08	60.37209	1.6232316	-0.05124793	-4.4681015	-0.24424583	1.3349683	0.013718279	0.109	14.0	2357.5934126377106
5	139.0	0.0	0.5472441	1.8620659	9.302767	26.965853	-13.091606	3.5274763	1.3518174	6.6099896	0.90208626	15.740157	1.8402027	1.8869894	5.6411877	-2.8492913	24000	-1.4901161e-08	60.432713	1.4017339	-0.03287166	-6.8736134	-0.053364933	1.2216389	0.012576642	0.15900001	17.0	2808.888030767441
6	73.0	0.0	0.45061728	4.10974	9.748366	28.460922	-12.480048	3.2564657	1.3543952	6.712485	0.8871394	17.808641	1.6886564	3.2136219	9.990989	-2.5704691	28000	-4.4703484e-08	161.1186	0.96807015	-0.048940793	-24.772446	-0.06426224	1.2428944	0.013736892	0.091000006	19.0	3302.414962530136
7	93.0	0.0	0.43457943	5.6195555	10.698064	28.577911	-14.492039	3.235306	1.2420852	6.8077936	0.6687353	18.490654	4.1567326	4.328786	11.023659	-5.3473234	32000	1.4901161e-08	80.62218	1.2084401	-0.03409765	-8.469337	-0.012512326	0.9928197	0.01277378	0.14725	9.0	3758.117208957672
8	117.0	0.0	0.4957627	4.041915	10.689734	25.76395	-12.645108	3.1053436	1.2499524	5.910307	0.66751826	16.86017	4.8118	3.5677662	10.36155	-3.5902052	36000	0.0	67.20296	1.0800457	-0.02222018	-5.562866	-0.058080405	0.84296733	0.012406932	0.14	15.0	4198.999625921249
9	110.0	0.0	0.47619048	6.1198792	10.942519	27.079964	-10.498838	3.019103	1.3005762	6.5601945	0.5620834	17.251081	4.961798	3.4416635	10.743656	-3.695438	40000	-2.6077032e-08	65.95521	1.0580573	-0.025850546	-5.8053074	-0.012371838	0.69199944	0.01246899	0.072500005	19.0	4632.397054195404
10	99.0	0.0	0.4323144	6.5902367	11.197582	29.448349	-11.771389	2.7617533	1.3888977	6.2606783	0.66641587	17.414846	5.968953	3.4477422	11.275839	-2.9098856	44000	-7.8231096e-08	62.532295	1.1081438	-0.036428735	-5.4905014	-0.07671854	0.5908866	0.012908483	0.100999996	15.0	5059.542016983032
