Epoch	AverageCrash_counter	StdCrash_counter	Crash_ratio	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	LossPi	LossV	KL	Jc	JcNew	Time
30	126.0	0.0	0.6885246	-3.204462	24.1557	16.89008	-311.99222	2.309836	1.0029527	4.8	0.0	21.781422	-2.6077032e-08	92.56327	0.0	0.105675	0.105675	8811.586256504059
31	95.0	0.0	0.75396824	-5.195035	29.560257	15.777951	-325.4187	2.5023808	0.9073303	5.3	0.2	24.150793	-1.4901161e-08	66.01988	0.0	0.079325	0.079325	9096.046216249466
32	92.0	0.0	0.67153287	-3.287745	25.414755	17.685516	-285.36316	2.308759	1.0227681	4.1	0.0	24.182482	-1.8626451e-09	68.17272	0.0	0.079825	0.079825	9378.575273036957
33	170.0	0.0	0.7083333	-1.1768072	8.409117	22.670856	-15.280437	2.4491665	0.971296	5.1	0.0	16.558332	-3.7252903e-09	110.017746	0.0	0.14695	0.14695	9651.122893333435
34	112.0	0.0	0.7	-2.8982894	22.94911	24.083921	-272.61023	2.336875	0.98340106	4.3	0.0	22.60625	4.4703484e-08	257.7096	0.0	0.09447501	0.09447501	9943.131594896317
35	120.0	0.0	0.6703911	-2.259168	22.828432	23.266579	-283.34268	2.256425	1.0948843	4.7	0.0	22.301676	-7.450581e-09	86.945114	0.0	0.100975	0.100975	10224.610505104065
36	163.0	0.0	0.7511521	-2.308256	7.7696886	22.11219	-13.715346	2.4958525	0.9992308	4.6	0.0	16.179724	-2.2351742e-08	85.07152	0.0	0.1362	0.1362	10498.902114152908
37	166.0	0.0	0.697479	-1.128992	8.348558	23.12653	-17.887047	2.477731	1.1432152	5.3	0.0	16.743698	-3.1548552e-08	87.57196	0.0	0.14754999	0.14754999	10769.863292694092
38	150.0	0.0	0.72115386	-1.8905396	8.43405	21.305702	-18.657547	2.512981	1.1198707	5.6	0.0	16.83173	3.7252903e-09	101.74536	0.0	0.1313	0.1313	11048.734331607819
39	129.0	0.0	0.7288136	-1.836624	8.329839	20.892582	-16.62442	2.4344635	0.9818689	4.6	0.2	16.937853	-7.450581e-09	93.668526	0.0	0.107975006	0.107975006	11328.663094758987
40	185.0	0.0	0.7644628	-2.1720955	7.601379	21.858875	-17.31563	2.5623968	1.046734	5.1	0.0	16.392563	-1.3969839e-08	72.75037	0.0	0.155275	0.155275	11600.731806278229
41	145.0	0.0	0.6937799	-1.9880973	7.767487	19.86707	-16.714554	2.348804	0.9872445	4.6	0.0	16.856459	0.0	84.31402	0.0	0.12435	0.12435	11876.79183602333
42	172.0	0.0	0.7196653	-1.4857986	8.082037	22.102102	-16.361992	2.4066944	1.0473902	5.4	0.0	16.619247	-9.313226e-09	63.44214	0.0	0.1439	0.1439	12150.098788499832
43	117.0	0.0	0.66477275	-2.864107	21.543056	21.283741	-263.045	2.2835228	0.972585	4.3	0.0	22.556818	0.0	167.29602	0.0	0.100725	0.100725	12436.42992401123
44	150.0	0.0	0.63829786	-0.6128352	8.44684	20.166716	-15.667621	2.301277	1.1471512	4.6	0.0	16.948936	-3.9115548e-08	86.445465	0.0	0.1352	0.1352	12708.709874629974
