Epoch	Crash_ratio	Eval_Q	Target_Q	TD_error	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	TotalEnvInteracts	Time
1	0.65898615	-0.4852873	-0.41695732	2.1618044	-2.795258	10.700663	24.220747	-17.419771	4.551945	1.3032484	8.288181	1.440889	18.304148	4000.0	370.75427412986755
2	0.29896906	2.810538	2.0769038	2.834918	14.0962925	9.710042	28.964779	-6.704427	2.6863155	1.3162044	6.0722923	0.6676049	20.654638	8000.0	724.0428020954132
3	0.295	7.3472443	6.206604	3.5484314	15.088196	9.4856825	28.111395	-3.5960598	2.5039544	1.2593821	6.1151724	0.91154414	19.975	12000.0	1076.310383796692
4	0.23157895	9.9479065	8.635784	3.7193253	16.084724	8.858091	31.951448	-5.0060277	2.560197	1.3912007	8.456483	0.66741216	21.057896	16000.0	1432.2963030338287
5	0.1657754	11.162176	9.694165	3.4511783	16.951931	8.765824	30.63344	-6.0979953	2.3496861	1.2968936	6.6722846	0.93097633	21.395721	20000.0	1789.3768684864044
6	0.12903225	11.865325	10.28877	3.1315186	17.384161	8.290195	30.367466	-6.7521787	2.2030098	1.1464225	6.837404	0.9102807	21.586021	24000.0	2145.0217661857605
7	0.06077348	12.308648	10.657698	2.9328892	16.845228	6.9661403	28.686693	-5.595511	1.9986748	0.9624677	5.713627	0.67314386	22.016575	28000.0	2505.6561851501465
8	0.027624309	12.591283	10.9127865	2.6364346	17.508297	5.7260146	29.396225	1.5435656	1.8144286	0.79486465	5.475957	0.8998943	22.088398	32000.0	2867.2880671024323
9	0.016574586	12.749994	11.076722	2.3471503	17.51033	6.409579	28.07823	-4.5587125	1.8228666	0.60945904	4.1791086	0.9040731	22.044199	36000.0	3232.93803024292
10	0.005586592	12.782355	11.1206	2.100583	18.532492	5.6012015	31.27477	-5.293835	1.80723	0.66871065	5.1940107	0.6790209	22.424582	40000.0	3593.313312292099
11	0.011111111	12.8975525	11.255948	1.8956661	18.735622	5.7870235	30.834948	-1.9461662	1.8461053	0.70960414	5.925138	0.89245385	22.172222	44000.0	3947.8174364566803
12	0.010869565	13.05279	11.434016	1.7424645	19.00146	5.78643	28.826815	0.79763615	1.8740145	0.7210918	6.2450075	0.901265	21.815218	48000.0	4302.722484588623
13	0.016393442	13.20424	11.593249	1.6306858	19.44595	5.6279616	30.582685	-0.86993504	1.7893643	0.64443576	3.8222063	0.6798743	21.852459	52000.0	4661.822699546814
14	0.033333335	13.334117	11.738259	1.5158575	18.69187	6.0470386	31.636099	-2.4236205	1.9966875	0.8411252	5.724136	0.67600715	22.155556	56000.0	5025.494775295258
15	0.011173184	13.466014	11.870613	1.4305995	19.420094	4.6588993	26.912834	-0.40249336	1.9413258	0.87869835	6.2999377	0.91005754	22.424582	60000.0	5376.895779132843
16	0.0	13.642474	12.039744	1.3538424	19.853054	4.019258	27.911251	8.563811	1.9926716	0.7702678	4.704794	0.9085231	22.550562	64000.0	5732.9553825855255
17	0.0056179776	13.821073	12.23307	1.3202434	19.093128	4.4652457	28.844566	1.8125697	1.9080677	0.79446036	5.6216054	0.66778815	22.365168	68000.0	6083.13410449028
18	0.016574586	13.944425	12.357237	1.2658132	19.910027	4.7731757	28.40392	-7.8773303	1.8591052	0.67850715	5.131286	0.9153472	22.121548	72000.0	6437.146612882614
19	0.0055555557	14.02607	12.4498205	1.1997666	19.617405	4.0135045	28.098375	0.72450745	1.925613	0.772917	6.3992863	0.8973193	22.26111	76000.0	6787.982353448868
20	0.0054945056	14.102867	12.53343	1.1652006	20.05813	4.0021024	27.982826	2.6249762	1.8166566	0.6268942	4.5932345	0.9029985	21.93956	80000.0	7138.296548843384
21	0.0	14.16604	12.601706	1.1192192	19.963148	3.4948668	26.8205	9.402187	1.8419868	0.66091067	5.0728927	0.8933682	22.529411	84000.0	7516.561160802841
22	0.006289308	14.169632	12.626031	1.0714698	19.930206	5.328889	30.368073	-26.72533	1.8435024	0.69306844	4.8414	0.0	28.62264	88000.0	7894.821600437164
23	0.0	14.179919	12.641002	1.0315654	20.085363	3.7107263	27.5311	6.8992963	1.8641523	0.65183634	4.7683005	0.9211155	22.316668	92000.0	8253.337693214417
24	0.0056179776	14.2328205	12.705936	0.9926786	20.192514	3.631871	29.401726	4.511638	1.9209776	0.6883694	5.5796533	0.6863767	22.376404	96000.0	8605.174051046371
25	0.016574586	14.299376	12.772323	0.9634367	20.17882	3.9588363	28.769491	-2.7111468	1.877867	0.6851301	4.489175	0.85647994	22.149172	100000.0	8957.593432426453
26	0.011299435	14.339171	12.811248	0.93513453	20.430048	3.74527	27.8684	6.8215027	1.9305744	0.63544834	4.599125	0.66778994	22.508474	104000.0	9310.94227051735
27	0.011173184	14.382408	12.855256	0.9063425	20.067383	4.4276466	29.160566	-2.555815	1.9752733	0.7651435	5.6023607	0.6733545	22.368715	108000.0	9666.573559522629
28	0.005586592	14.430492	12.918812	0.89889663	20.508163	3.7834313	29.264137	1.3769517	1.9915216	0.7668881	6.2549376	0.91034395	22.351955	112000.0	10024.227893590927
29	0.011173184	14.462518	12.953406	0.86351305	20.393198	3.9910061	28.250164	-2.0250587	1.9602214	0.71184504	5.7482843	0.9052365	22.307262	116000.0	10384.009661436081
30	0.0055555557	14.493502	12.978329	0.859504	20.65984	4.12601	29.330275	0.7870764	1.9406133	0.66309327	4.6560187	0.92513067	22.333334	120000.0	10740.982488632202
31	0.0	14.540231	13.029566	0.84526956	20.942728	3.1541781	28.954483	5.8879843	1.9089918	0.5751707	3.9043689	0.9135395	22.303371	124000.0	11102.673107385635
32	0.011173184	14.579128	13.076009	0.8328762	20.705563	3.7247338	28.7779	1.6480589	1.9497658	0.7440669	5.855828	0.6533393	22.430168	128000.0	11463.593312978745
33	0.016666668	14.607197	13.111047	0.8153538	20.624317	4.5228853	29.502665	-1.9399387	1.8884542	0.682916	5.4228835	0.6845508	22.305555	132000.0	11824.868921518326
34	0.0	14.654525	13.158079	0.8025843	20.84902	3.153689	26.930769	8.263262	1.9167175	0.6394507	4.661178	0.913291	22.320225	136000.0	12186.186523675919
35	0.011111111	14.689782	13.184562	0.79688674	20.519505	3.6592565	29.948734	1.4994025	1.9208969	0.6298486	4.2914176	0.8293887	22.316668	140000.0	12546.650199651718
36	0.0056497175	14.715715	13.220991	0.77694386	20.40837	4.10303	29.949036	0.28828678	1.9639838	0.65551025	4.609729	0.6549716	22.525423	144000.0	12910.142186880112
37	0.005524862	14.750565	13.256642	0.75633675	20.988512	3.6135185	30.191168	-2.2123704	1.8179567	0.60425246	3.943469	0.9039265	22.165747	148000.0	13275.027633190155
38	0.0	14.771336	13.280332	0.7453557	21.343555	3.0745244	27.50471	11.59165	1.8921279	0.6132965	4.265922	0.89390284	22.278145	152000.0	13656.533407449722
39	0.006060606	14.747284	13.264855	0.7398522	20.882442	5.2517533	29.138763	-23.220188	1.8195714	0.6394723	4.5200524	0.0	28.181818	156000.0	14028.191630840302
40	0.005586592	14.769649	13.2926445	0.72845227	20.431608	3.769877	27.191437	3.5520117	1.9506137	0.6531399	5.206231	0.90836847	22.22905	160000.0	14387.23281121254
41	0.0055555557	14.801328	13.326212	0.70589	21.051247	3.5348837	28.623117	5.828786	1.8283627	0.5977132	6.3038077	0.9104727	22.177778	164000.0	14746.387332677841
42	0.0054945056	14.823722	13.358787	0.7072161	20.518383	4.2407193	27.821716	-1.2407882	1.8786024	0.6039614	5.2300725	0.6677908	22.027473	168000.0	15105.00344324112
43	0.005524862	14.858693	13.393018	0.6933962	21.30315	3.526721	28.466413	-0.6344544	1.9236548	0.59242636	4.417099	0.6757121	22.132597	172000.0	15463.915280342102
44	0.0	14.849805	13.383218	0.6882238	20.98003	3.3388522	27.899223	9.651549	1.9123753	0.609343	3.8801873	0.9210539	22.277779	176000.0	15827.193615674973
45	0.0	14.873159	13.414709	0.6870155	20.93607	3.2783802	29.871975	8.271735	1.974943	0.5892394	4.2739987	0.9097234	22.166666	180000.0	16188.767734527588
46	0.016666668	14.892709	13.429238	0.67151755	20.67098	4.241813	29.188816	-0.42646003	1.9463023	0.8633682	7.1972904	0.9235092	22.272223	184000.0	16554.685641288757
47	0.0	14.903754	13.448043	0.67646563	21.153164	3.239741	29.722498	6.709465	1.8191316	0.65939903	3.8094254	0.67687196	22.104973	188000.0	16920.271467208862
48	0.0	14.935826	13.478445	0.66283613	20.856096	3.705753	29.16795	10.956145	1.9001546	0.6317591	5.149756	0.9105286	22.636364	192000.0	17281.39146900177
49	0.0056497175	14.951652	13.491591	0.65319574	20.671566	3.9366758	30.55567	2.1719117	1.925605	0.69257855	6.4280677	0.9202525	22.604519	196000.0	17648.35820889473
50	0.0056497175	14.93575	13.469443	0.6404428	21.11071	3.3834455	27.84625	5.5320377	1.9706652	0.6197553	3.9284656	0.91642326	22.576271	200000.0	18013.17360162735
51	0.0056179776	14.965431	13.498213	0.59319556	20.785427	3.9842324	28.652332	0.98274297	1.9480172	0.6824533	5.277467	0.9207908	22.5	204000.0	18381.179609060287
52	0.005586592	15.010645	13.558026	0.55086195	20.578575	3.7123995	30.3069	-1.9545658	2.0340567	0.64448875	5.081817	0.6536047	22.385475	208000.0	18745.27347922325
53	0.0056179776	15.038076	13.607617	0.5051707	20.546013	3.8543642	27.82001	-0.5495136	2.0078945	0.64158326	4.781221	0.91676867	22.44382	212000.0	19111.881930589676
54	0.0	15.053079	13.633253	0.48802394	20.571575	3.12652	29.13624	10.085053	1.9751856	0.6490683	4.081198	0.93487275	22.154696	216000.0	19476.7082195282
55	0.011235955	15.07141	13.66002	0.45193264	20.775171	3.928822	29.82524	1.6327511	2.0242345	0.6501872	4.721867	0.9224984	22.410112	220000.0	19832.882241010666
56	0.0055555557	15.091846	13.681805	0.44671547	21.085123	3.2762938	30.22896	0.041751985	1.9228302	0.63335145	5.2335024	0.6757559	22.266666	224000.0	20190.72740960121
57	0.011049724	15.1120825	13.706662	0.4211907	21.14408	3.7827094	29.515541	2.1253428	1.892613	0.6581754	4.837532	0.91447	21.983425	228000.0	20550.203811883926
58	0.022222223	15.130026	13.720297	0.4144689	20.676296	4.332478	29.868778	-1.4325637	1.9307476	0.7423264	5.6414957	0.91244566	22.322222	232000.0	20908.74463200569
59	0.0	15.133967	13.733583	0.41932964	21.473787	3.323765	27.637093	4.0198746	1.9383414	0.58635324	4.2329564	0.9224617	22.082872	236000.0	21265.1231944561
60	0.005586592	15.143106	13.737264	0.41097936	21.238445	3.5014117	28.684658	4.4727225	1.9824306	0.6218041	4.829548	0.9301372	22.284916	240000.0	21621.909650802612
61	0.0056497175	15.16356	13.756532	0.40226862	21.34121	3.7217786	29.213724	0.8298942	1.9674741	0.68074054	5.421031	0.91744673	22.672316	244000.0	21978.348801612854
62	0.0	15.182749	13.781114	0.40208668	20.74703	3.5923672	27.824804	6.0611496	1.9577397	0.6027557	3.8653193	0.9237793	22.227777	248000.0	22333.634360551834
63	0.01459854	15.185136	13.791361	0.39347792	21.532503	3.9877934	28.214321	2.800061	1.8999736	0.69449455	5.6768603	0.9220115	22.087591	252000.0	22725.347154140472
64	0.02793296	15.160233	13.771295	0.39546037	20.602304	5.759084	29.346416	-29.06828	1.9657412	0.7161074	4.8457065	0.5	27.748604	256000.0	23081.23657989502
65	0.03314917	15.165235	13.781502	0.3951045	20.224785	4.4482636	31.098085	3.2014637	2.095961	0.7931864	5.3775406	0.9304353	22.088398	260000.0	23438.647228479385
66	0.04945055	15.166834	13.779371	0.39614207	20.15392	5.136621	28.353329	-6.1210546	2.1079185	0.841441	5.7531633	0.9207918	21.961538	264000.0	23795.387894153595
67	0.005586592	15.165664	13.776782	0.39805976	20.700869	3.912207	28.944534	3.491431	2.008741	0.6197634	3.565848	0.90848017	22.402235	268000.0	24149.302905082703
68	0.0	15.144661	13.754972	0.3962904	21.486523	2.9679432	28.82133	12.643469	1.9264184	0.59523064	4.1292686	0.67370754	22.188889	272000.0	24505.6359333992
69	0.010989011	15.14501	13.7523575	0.3982976	21.334303	4.099604	28.429565	-4.0198627	1.8956604	0.5739416	3.796847	0.92443854	21.923077	276000.0	24862.151143312454
70	0.0054945056	15.163746	13.781105	0.4006486	21.110027	3.5587013	29.845411	6.3467784	1.9199306	0.6374914	3.7997744	0.92102116	22.043957	280000.0	25219.207406759262
71	0.0	15.160017	13.771482	0.39940602	21.653795	3.1376963	29.213303	11.173552	1.928619	0.5858538	3.636527	0.6683877	22.13889	284000.0	25576.253531455994
72	0.011111111	15.1930685	13.801256	0.39132005	20.998938	3.8275976	29.911184	0.6965784	1.9801608	0.7826303	6.5694	0.91485095	22.338888	288000.0	25932.807235002518
73	0.016853932	15.212037	13.824249	0.38431036	20.973476	4.015191	28.546883	-1.5639012	1.9531877	0.62915	4.505511	0.9186501	22.39326	292000.0	26285.34910082817
74	0.011049724	15.226493	13.837444	0.394068	21.573484	3.5062342	28.988247	3.4568977	1.987795	0.64432514	5.1255884	0.90947187	22.154696	296000.0	26639.35633635521
75	0.005586592	15.225347	13.831931	0.39863527	21.531908	3.2546086	30.762531	4.144321	1.9331993	0.6138076	4.2435427	0.9136017	22.27933	300000.0	26994.4148747921
76	0.0	15.224767	13.825793	0.39491692	21.503687	2.9378383	28.250704	9.026116	1.9172115	0.6135268	3.6941175	0.92166066	22.142857	304000.0	27348.010031223297
77	0.005586592	15.234431	13.841255	0.3892638	21.530804	3.3740466	30.798756	7.639067	1.9166512	0.618878	5.487511	0.90843666	22.24581	308000.0	27709.442489862442
78	0.0056179776	15.238241	13.836053	0.38748717	21.214258	3.252327	28.923561	3.3964763	1.9968517	0.60172117	3.9647145	0.92173314	22.483147	312000.0	28068.124179124832
79	0.011049724	15.247068	13.850979	0.38245055	21.639475	4.1713324	30.274202	-1.4542849	1.961091	0.6902609	5.3588376	0.66773874	22.143646	316000.0	28423.234325408936
80	0.016759777	15.255714	13.8577385	0.3853354	20.930853	3.6271522	28.968004	2.974154	1.9864416	0.6714468	4.869029	0.9174174	22.290503	320000.0	28778.694539546967
81	0.016759777	15.258142	13.866917	0.38282087	21.365795	3.7936478	29.510334	4.554914	1.9311987	0.73988795	6.921711	0.8948312	22.357542	324000.0	29137.14817428589
82	0.016759777	15.257211	13.8664465	0.38398212	20.86416	4.2060943	29.215166	1.5104027	1.9527212	0.65996236	4.824369	0.9022848	22.29609	328000.0	29501.148685455322
83	0.0	15.250635	13.855668	0.3821684	21.550558	3.0304053	29.172256	11.40199	1.9237888	0.5799196	4.013633	0.91123205	22.288889	332000.0	29854.66273546219
84	0.011173184	15.254901	13.864856	0.37942564	21.53166	3.6387706	29.951363	1.5838342	1.9356428	0.73475826	5.9025745	0.9231057	22.273743	336000.0	30212.34825348854
85	0.0	15.256822	13.864727	0.38184258	21.311184	3.0187652	30.257113	12.349267	1.9096127	0.5808745	4.331203	0.91039866	22.2	340000.0	30588.53574371338
86	0.012738854	15.230968	13.841186	0.37974134	20.857683	5.309689	28.626902	-23.39413	1.9123119	0.64700586	4.5321207	0.0	28.43312	344000.0	30967.300315380096
87	0.011111111	15.215119	13.81717	0.37547868	20.968462	3.9272306	28.696136	-1.4978374	1.9261936	0.6353928	4.4928045	0.9291067	22.25	348000.0	31322.835018396378
88	0.011235955	15.204074	13.812895	0.37579015	21.161642	3.4301941	28.484888	4.659247	1.9274892	0.72113204	5.767661	0.8927943	22.365168	352000.0	31681.229034423828
89	0.0054945056	15.223956	13.832393	0.37707606	21.03914	3.3032029	28.84244	5.8043737	1.9633331	0.6530461	4.7361054	0.9243307	22.087912	356000.0	32036.267851114273
90	0.0	15.231679	13.848379	0.37447247	21.801428	2.9161086	29.535305	14.660879	1.8285767	0.5642081	3.5582318	0.9111817	22.514124	360000.0	32397.159395694733
91	0.02189781	15.213841	13.824635	0.3740986	20.604784	6.2802725	29.294863	-33.202477	1.9658101	1.0131083	10.5	0.92396206	29.10949	364000.0	32797.99093770981
92	0.0	15.194375	13.80932	0.37608758	21.33908	3.1007073	27.296122	10.373673	1.869876	0.59813595	3.5596828	0.91185564	22.149172	368000.0	33154.62769651413
93	0.011049724	15.201717	13.81521	0.36883727	21.072037	4.0192847	31.609491	-3.0585823	1.9101098	0.66655713	5.170095	0.91906285	22.132597	372000.0	33511.84824991226
94	0.0	15.19279	13.807705	0.37398204	21.859451	3.0353403	28.710024	11.4508095	1.8812081	0.5711905	4.187846	0.91624886	22.460674	376000.0	33867.303268671036
95	0.005586592	15.185343	13.804564	0.372314	21.840675	3.4202323	29.246702	4.9772635	1.8680317	0.5391812	4.235562	0.9281681	22.318436	380000.0	34228.191531181335
96	0.0	15.183207	13.805011	0.36915198	21.479345	3.3409674	28.678501	11.700064	1.8520702	0.63256824	4.960383	0.66176945	22.374302	384000.0	34587.04206085205
97	0.0056179776	15.188773	13.805202	0.36400586	21.14798	3.7021525	30.048275	2.3650048	1.8989018	0.5907916	3.4750612	0.9265897	22.348314	388000.0	34946.970749139786
98	0.0055555557	15.195755	13.818586	0.3682244	21.83088	3.2849765	28.658228	7.1778855	1.889291	0.5883746	5.4918766	0.93832856	22.372223	392000.0	35301.85606575012
99	0.011299435	15.200564	13.820601	0.3708962	20.637398	3.8615472	27.466162	-2.0155907	2.0228455	0.68643093	4.6715417	0.9127535	22.485876	396000.0	35661.465985774994
100	0.011049724	15.201725	13.823915	0.3684043	20.939272	3.8343227	28.588213	-0.2598645	2.0192535	0.7310193	5.951497	0.9098397	22.220995	400000.0	36025.61615562439
101	0.0	15.196386	13.817243	0.38026887	21.282063	3.0977702	29.197962	11.875031	1.9258242	0.6004383	3.533967	0.91897714	22.351955	404000.0	36380.973734378815
102	0.0	15.190055	13.806742	0.37088403	21.535295	3.0058463	28.812986	12.14807	1.9001292	0.56268007	4.2594266	0.9195077	22.122223	408000.0	36737.43061995506
103	0.0055555557	15.193871	13.811795	0.36723426	21.621748	3.451437	30.249037	-2.260823	1.9054714	0.6422671	4.1920238	0.92921644	22.327778	412000.0	37095.21000099182
104	0.0	15.195687	13.809084	0.35677418	21.38762	3.0699418	29.505672	13.12075	1.8820009	0.6406496	3.7004874	0.91526306	22.325842	416000.0	37452.4648103714
105	0.0	15.199724	13.817293	0.35920793	21.317436	3.1788402	29.432922	11.170371	1.8771349	0.5995469	4.1343703	0.90653443	22.233334	420000.0	37812.37882733345
106	0.0	15.207867	13.830238	0.3676905	21.134987	3.345987	29.39063	9.847768	1.94621	0.57874435	3.5033927	0.92303336	22.355556	424000.0	38170.640375852585
107	0.0	15.209254	13.832125	0.35565668	22.24626	3.0225744	28.527983	10.630711	1.8961332	0.601315	4.2433176	0.92345536	22.273743	428000.0	38540.45378160477
108	0.0	15.217823	13.848281	0.35792908	21.241055	3.1639302	29.111729	13.414463	2.0066407	0.6934118	4.934175	0.92309105	22.59322	432000.0	38895.92098355293
109	0.011173184	15.225031	13.852154	0.3507119	21.126286	3.8049214	31.436884	-4.8837957	1.9582305	0.66919714	4.7816167	0.9048651	22.335196	436000.0	39254.07785987854
110	0.005586592	15.220457	13.844828	0.34984523	21.15273	3.7206345	29.549244	-2.9341795	1.9534425	0.6751342	4.150414	0.914891	22.402235	440000.0	39615.44762682915
111	0.005524862	15.216951	13.843225	0.3567973	21.430122	3.3407102	29.49793	4.418797	1.7991588	0.57691884	4.318895	0.90350544	22.055248	444000.0	39970.96847939491
112	0.0056179776	15.226312	13.85102	0.3454603	21.6263	3.178453	27.967623	0.09290894	1.8729119	0.6448628	5.058659	0.91662604	22.460674	448000.0	40328.70390558243
113	0.022222223	15.223267	13.839502	0.35010254	20.875013	4.1211405	28.771336	2.7096274	2.0007293	0.8125617	7.1341386	0.9039179	22.266666	452000.0	40684.35010099411
114	0.0	15.240348	13.855131	0.3517641	21.791359	2.9518275	29.160667	11.058513	1.8568631	0.57357144	3.4499733	0.91722506	22.404495	456000.0	41040.235904455185
115	0.0	15.250885	13.864468	0.33885124	21.619045	3.5913734	30.55339	-1.044326	1.8659347	0.53715146	3.4784074	0.9174347	22.407822	460000.0	41394.455869436264
116	0.0070921984	15.268312	13.885802	0.34179524	20.896767	3.9536002	28.591856	2.0841067	1.8301243	0.67668486	5.7167478	0.9037482	21.90071	464000.0	41789.19308900833
117	0.0	15.245451	13.8604	0.3384497	21.151712	4.9540358	29.733303	-27.346798	1.9718697	0.5902057	4.0325003	0.9313524	27.66854	468000.0	42151.888087034225
118	0.005586592	15.23747	13.853024	0.33785394	21.62264	3.5077722	28.734596	3.640157	1.8817712	0.61722296	4.354006	0.9084454	22.22905	472000.0	42508.6096534729
119	0.005524862	15.256548	13.880349	0.33473805	20.831287	3.7519958	28.56897	0.96439564	1.931821	0.6883004	6.39365	0.9271097	22.226519	476000.0	42864.28899598122
120	0.0	15.258105	13.879513	0.34230322	21.515034	2.989725	28.595366	12.817821	1.9131651	0.62036294	3.655456	0.66988844	22.519773	480000.0	43220.08242750168
121	0.0054945056	15.259292	13.878941	0.33995283	20.82705	3.5194423	27.739351	-2.3847651	1.8609225	0.6480278	4.8208447	0.91479033	22.016483	484000.0	43578.60120844841
122	0.0	15.253843	13.872496	0.34523907	21.021486	3.2950451	28.695522	6.7962365	1.9283056	0.61106145	4.060288	0.9079159	22.477528	488000.0	43933.38448548317
123	0.013888889	15.244651	13.859975	0.34245837	20.436192	4.027263	29.84066	-4.3107157	2.075211	0.71754706	6.4175344	0.92125636	22.472221	492000.0	44319.447942733765
124	0.005882353	15.223234	13.850521	0.34135896	20.656551	5.49683	27.937965	-34.02159	1.8264394	0.5889122	4.7925134	0.9110751	27.870588	496000.0	44686.147110939026
125	0.0	15.206135	13.8320875	0.349346	21.502127	2.8853166	29.624163	13.325171	1.88054	0.6285952	4.454669	0.91854113	22.480448	500000.0	45041.964042663574
