Epoch	penalty	Crash_ratio	alpha	entropy	critic1	critic2	cost	LossPi	alpha_loss	critic1_loss	critic2_loss	cost_loss	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	Buffer_size	TotalEnvInteracts	Time
1	1.0525222	0.66525424	0.95167786	1.6063989	1.086545	1.0942949	0.03566015	-2.563963	-0.32993773	0.45456785	0.44707948	0.027058387	-1.4047651	8.054796	21.264303	-13.931048	4.6700597	1.4070451	9.520316	0.91819376	16.84322	6000	4000.0	304.2175130844116
2	1.1661087	0.6967213	0.8611261	1.6038523	1.1623069	1.1618007	0.051492233	-2.4716933	-0.9900884	0.43819252	0.437797	0.029186122	-1.3300521	8.279693	21.348839	-14.487922	4.4138083	1.1969416	7.3934984	1.844792	16.122952	7000	8000.0	546.1999907493591
3	1.2767628	0.6853933	0.7792018	1.6009976	1.0938938	1.093716	0.06051401	-2.2513769	-1.6495725	0.445924	0.44495544	0.028096173	-4.4689913	35.77801	21.79299	-292.72787	4.682934	1.3489485	8.656399	0.916467	33.77528	8000	12000.0	789.5355882644653
4	1.3895261	0.69787234	0.7050873	1.5942134	1.0513595	1.0511584	0.07635742	-2.058078	-2.306902	0.49701756	0.49576136	0.031772062	-0.1902088	8.211248	21.78013	-20.601395	4.6818194	1.3858651	8.408594	0.9318428	17.127659	9000	16000.0	1025.2521724700928
5	1.5039706	0.6798246	0.6380564	1.5839003	1.0262009	1.026198	0.08969525	-1.8964443	-2.9609725	0.5471586	0.5464691	0.03235775	1.6953143	9.417084	22.345247	-12.587425	4.6615953	1.2781256	8.856147	1.6255329	17.451754	10000	20000.0	1258.441977739334
6	1.6150852	0.6181818	0.5774274	1.5695494	1.0122566	1.0122327	0.100130685	-1.760131	-3.6104038	0.568553	0.5683829	0.032465585	3.7724383	9.217736	23.260351	-11.716937	4.604477	1.3120794	8.64114	1.7663931	17.472727	11000	24000.0	1512.1037797927856
7	1.7211052	0.6551724	0.5225808	1.5562388	0.99976647	0.99984574	0.10697989	-1.6404865	-4.257476	0.56464964	0.5645347	0.031204566	-0.051200077	35.383682	25.137573	-273.06918	4.617816	1.357424	8.353014	1.4445106	34.95402	12000	28000.0	1746.2428891658783
8	1.8254542	0.5714286	0.47295257	1.5381167	1.0218214	1.0218946	0.11294896	-1.5609697	-4.89805	0.60298723	0.603135	0.030049128	6.60069	9.395825	25.604126	-12.699112	4.5108333	1.3542564	8.4085	1.1439105	19.018633	13000	32000.0	2012.255205154419
9	1.9283458	0.60952383	0.42806825	1.5127375	1.0407431	1.0408581	0.11904572	-1.4865637	-5.5283175	0.6322059	0.6324166	0.029286446	5.025435	19.693434	23.441103	-248.17813	4.5668817	1.3275859	8.289874	1.1961504	23.4	14000	36000.0	2266.7993388175964
10	2.0316339	0.57894737	0.3874823	1.4814658	1.0662243	1.066393	0.12598053	-1.4234031	-6.14735	0.65262747	0.65289736	0.02931766	7.745951	9.797374	26.394785	-12.4704485	4.474048	1.4040356	8.999867	0.909765	19.29665	15000	40000.0	2512.990045070648
11	2.134896	0.5686275	0.35078448	1.4418706	1.1084667	1.1085966	0.13356185	-1.3808186	-6.7507977	0.69775915	0.69830775	0.029506618	9.051323	9.387874	27.238375	-12.630214	4.5759087	1.3280203	8.648158	1.6766365	19.593138	16000	44000.0	2772.290035009384
12	2.2367227	0.54679805	0.31758782	1.396395	1.1566432	1.1566348	0.13598128	-1.3624599	-7.338876	0.73428667	0.73453015	0.028069053	9.7207775	8.492626	26.074186	-11.1693735	4.5900607	1.3456923	7.524227	1.1956713	19.729065	17000	48000.0	3028.188614845276
13	2.3368506	0.45771143	0.28757483	1.3384403	1.2023962	1.2026929	0.13912985	-1.3464841	-7.901398	0.76496744	0.76543325	0.027427422	11.423948	8.262036	28.625078	-11.868945	4.326938	1.3373961	6.9451046	1.1835045	19.850746	18000	52000.0	3260.1321885585785
