Epoch	AverageCrash_counter	StdCrash_counter	Crash_ratio	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	LossCV	DeltaLossPi	DeltaLossV	DeltaLossCV	Entropy	KL	ClipFrac	StopIter	Time
18	68.0	0.0	0.3655914	6.5855017	9.94973	26.385227	-12.344518	2.9793196	1.1435165	5.7995133	0.9278054	21.204302	7.894831	2.9688745	16.196707	-6.221575	76000	-7.450581e-09	47.45592	0.88031155	-0.019694425	-3.4152946	-0.052878916	0.7830282	0.014670776	0.17375	5.0	8575.59383559227
19	53.0	0.0	0.31176472	6.2092295	9.188742	27.894241	-11.1307125	3.1518269	1.0821844	6.1266685	0.91316384	23.294117	8.184219	2.1877081	11.489391	-2.0127258	80000	-1.4901161e-08	40.20079	0.8343502	-0.011148587	-3.3761234	-0.040875524	0.84928644	0.014892274	0.218	7.0	9104.172698020935
20	43.0	0.0	0.26708075	6.457787	8.98499	24.700348	-15.937699	3.0626872	1.1299521	6.6289926	1.1948653	24.496895	7.935683	1.9486054	11.438377	0.05808182	84000	2.9802322e-08	38.456036	0.79523575	-0.040611878	-2.8789043	-0.03459215	0.89722145	0.012792105	0.31825	21.0	9648.969387292862
21	53.0	0.0	0.30635837	6.8957553	9.202582	27.464937	-12.068674	2.9840689	1.0006367	5.329291	0.8839549	23.069365	7.8813596	2.2212763	11.318398	0.85792154	88000	2.2351742e-08	37.769264	0.66216946	-0.024307422	-2.1987991	-0.02222085	0.84832656	0.014968321	0.19375	5.0	10177.456476211548
22	60.0	0.0	0.3243243	7.0317726	9.44657	26.405607	-11.181426	2.7761018	1.070998	5.764074	0.90963674	21.52973	8.273595	2.1700287	11.688629	3.5234883	92000	3.7252903e-09	38.64054	0.6924051	-0.0392341	-0.8739033	-0.01565826	0.7892799	0.013227983	0.1775	5.0	10685.61437702179
23	81.0	0.0	0.4111675	6.839388	10.610964	27.160961	-11.648329	2.9434521	1.3270258	6.4293785	0.66644186	20.111675	8.230562	1.9802492	11.526381	3.664684	96000	1.8626451e-08	48.353813	1.0515231	-0.019768309	-0.90590286	-0.058261484	0.68442106	0.0135739315	0.141	6.0	11175.859466791153
24	101.0	0.0	0.45495495	5.9886193	11.007455	29.04421	-12.920808	2.8721104	1.3181118	6.3487463	0.91140974	17.954954	7.734866	1.9754397	11.145681	1.6031116	100000	-4.4703484e-08	52.825005	0.992928	-0.014590442	-3.986267	-0.050182223	0.5694902	0.012252733	0.12450001	12.0	11621.743214607239
25	111.0	0.0	0.47033897	5.918208	11.6354065	28.627123	-11.146888	2.7933085	1.3818909	6.1887436	0.6676599	16.864407	7.718505	2.681707	12.040871	-2.6386967	104000	4.284084e-08	53.680958	1.0517282	-0.012380855	-4.8564262	-0.04072821	0.4343286	0.012390915	0.099	33.0	12053.367318868637
26	119.0	0.0	0.47791165	6.0372596	11.695715	31.272621	-11.729001	2.6120815	1.3047779	5.353569	0.56091404	15.95984	7.439534	3.299976	12.793744	-8.338964	108000	-2.2351742e-08	51.560207	0.9961682	-0.047624283	-2.396881	-0.024353355	0.30822086	0.01359909	0.066	24.0	12476.667996883392
27	97.0	0.0	0.4409091	6.2536006	11.293131	28.517279	-11.474223	2.8105657	1.2767353	5.782361	0.66759026	18.163637	8.290632	3.7032733	14.287377	-9.435663	112000	-4.4703484e-08	52.40725	0.954305	-0.041589446	-1.1853695	-0.05194384	0.4379667	0.016256535	0.121	9.0	12924.213843345642
