Epoch	AveragePenalty	StdPenalty	AverageCrash_counter	StdCrash_counter	Crash_ratio	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	LossVC	DeltaLossPi	DeltaLossV	DeltaLossVC	Entropy	KL	ClipFrac	StopIter	Time
0	1.05	0.0	154.0	0.0	0.7230047	-6.455474	8.672595	15.310393	-22.141523	4.57635	1.4561836	9.709827	0.9159943	16.258217	0.13526227	0.028495818	0.21458858	0.050548054	4000	-3.7252903e-08	140.33237	12.427681	-0.018335383	-48.035255	-10.965823	1.6086082	0.012065824	0.13425	46.0	156.9696385860443
1	1.0999234	0.0	124.0	0.0	0.65957445	-4.6962533	9.1642	17.745735	-21.844316	4.3674083	1.2691404	9.830753	0.8925902	16.675531	-5.854028	4.920927	6.0083623	-13.074927	8000	-1.4901161e-08	122.04774	1.1826463	-0.008585632	-15.033922	-0.1152229	1.5940537	0.014065694	0.1555	10.0	318.18224835395813
2	1.149885	0.0	109.0	0.0	0.5369458	-2.8314667	9.555791	25.594412	-21.91625	4.498111	1.6660074	9.151244	0.9236954	18.955666	-3.6838658	6.2150354	7.073736	-19.404758	12000	1.5832484e-08	132.4114	1.9634476	-0.007986175	-58.6704	-0.044982433	1.5678599	0.015503774	0.18425	6.0	472.510751247406
3	1.199752	0.0	113.0	0.0	0.53051645	-1.9727873	9.510724	24.2576	-16.880135	4.2774463	1.5649649	9.136024	0.9032119	18.661972	0.02008223	2.869684	6.6751194	-6.9011064	16000	-1.4901161e-08	57.964954	1.7428524	-0.0066319006	-8.17917	-0.06752801	1.5243058	0.013808172	0.29474998	5.0	628.9034082889557
4	1.2494557	0.0	100.0	0.0	0.4784689	-0.41043594	10.13491	20.102869	-21.32622	4.0999627	1.4646286	8.390117	1.202769	19.043062	1.6508298	3.7572806	8.780079	-7.6051216	20000	7.450581e-09	55.510063	1.6308573	-0.011946939	-4.9800262	-0.12334457	1.4535553	0.015569701	0.27225	5.0	784.4931254386902
5	1.2989599	0.0	90.0	0.0	0.45454547	0.24339387	9.57188	25.367819	-26.073792	3.9571145	1.4154404	9.68123	1.178612	19.828283	3.8850923	3.8778594	12.851299	-8.141282	24000	1.8626451e-09	52.424377	1.5925515	-0.0042330017	-5.206236	-0.05375099	1.3565122	0.014502352	0.306	5.0	943.2580013275146
6	1.3480535	0.0	58.0	0.0	0.37908497	2.1848779	9.235761	23.026382	-15.876166	3.6067986	1.3932766	8.315426	0.9115061	20.862745	4.431569	3.4540243	8.588569	-6.123825	28000	0.0	148.07886	1.128922	-0.007920615	-57.607494	-0.143123	1.297183	0.012687483	0.288	7.0	1114.155829668045
7	1.3966941	0.0	53.0	0.0	0.29444444	4.4462547	10.245335	25.471611	-23.240105	3.4230008	1.2528223	7.304758	0.92238647	22.027779	2.6946418	4.196	11.754879	-4.719817	32000	7.450581e-09	81.8018	0.96333337	-0.0021663131	-35.675068	-0.048213154	1.1211348	0.012731507	0.09975	4.0	1277.1608049869537
8	1.444699	0.0	67.0	0.0	0.34895834	4.8854136	10.633919	24.710625	-17.527895	3.1109917	1.2809131	6.827448	0.90903556	20.625	6.0980783	2.8910036	11.22074	-0.17658496	36000	1.44355e-08	50.156494	1.039407	-0.0015891211	-3.1925688	-0.07209186	1.0241151	0.013197403	0.15100001	5.0	1440.1713371276855
9	1.4919795	0.0	56.0	0.0	0.29015544	6.3814178	11.39413	27.440647	-15.919555	2.8852425	1.3149701	8.169524	0.9079278	20.549223	6.891506	3.2372644	11.407548	-7.7321954	40000	-5.5879354e-09	58.00299	1.0450337	-0.014308341	-10.847523	-0.1395461	0.90254813	0.012024522	0.1275	40.0	1596.907883644104
