Epoch	AverageCrash_counter	StdCrash_counter	Crash_ratio	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
20	34.0	0.0	0.18378378	15.66643	9.472051	29.312025	-11.802429	2.300909	1.0283822	5.89482	0.91062874	21.524324	12.15724	1.8166244	14.799014	6.731276	84000	-9.313226e-09	39.312943	-0.006690819	-0.82707596	0.75731933	0.004525517	0.0585	79.0	5605.782379627228
21	36.0	0.0	0.19565217	14.461967	9.062254	29.03674	-7.7521524	2.4912813	1.1561153	6.157187	0.9084644	21.652174	12.350774	1.8515579	15.378731	7.43899	88000	3.7252903e-09	38.474945	-0.008707931	-1.1838741	0.7672884	0.0029940666	0.0725	79.0	5855.099536657333
22	17.0	0.0	0.1559633	16.302223	8.233476	27.343252	-7.173291	2.2954812	0.99083686	5.6097937	0.9153707	21.816513	10.508068	2.2214217	15.069548	-8.182444	92000	-2.9802322e-08	54.031204	-0.00800693	-18.332638	0.76478857	0.0068893284	0.0825	79.0	6173.254521846771
23	39.0	0.0	0.21195652	15.597638	9.898585	29.259338	-19.458038	2.4534528	1.083169	5.8976636	0.910567	21.554348	10.252205	2.373015	13.401098	-8.3217535	96000	-1.7695129e-08	50.889862	-0.008845719	-5.0407486	0.7086426	0.005902661	0.062	79.0	6430.989644765854
24	36.0	0.0	0.19459459	16.392063	9.068998	27.6109	-8.4050665	2.3711014	1.0297929	5.6970234	0.91139144	21.475676	11.970593	2.393428	15.020335	4.9385905	100000	1.4319085e-08	38.077194	-0.008379834	-1.6067677	0.64858013	0.003932605	0.05625	79.0	6674.621530056
25	36.0	0.0	0.19148937	17.219986	9.021982	28.301739	-6.284039	2.2479556	1.0216027	6.738195	0.65301156	21.18617	12.555376	2.4201348	16.66906	5.581228	104000	-3.7252903e-09	37.96205	-0.0068239793	-1.4700928	0.64961433	0.006012819	0.04925	79.0	6916.431461572647
26	31.0	0.0	0.16847827	16.435396	9.010376	29.055428	-7.288497	2.3863027	0.9696321	5.2982707	0.6714035	21.619566	13.103336	2.2283127	16.565218	2.848672	108000	-5.5879354e-09	35.926014	-0.007410107	-0.69827175	0.60472435	0.007771001	0.05675	79.0	7156.095910310745
27	35.0	0.0	0.18817204	16.411892	9.209739	31.392956	-7.454452	2.3033373	0.99733734	4.9226623	0.8999598	21.446236	12.696254	2.138692	16.347986	2.315192	112000	1.8626451e-09	37.441963	-0.0065393476	-0.82110214	0.61691725	0.0050258297	0.0595	79.0	7395.509793281555
28	49.0	0.0	0.2525773	15.408283	10.114649	28.374834	-7.9206967	2.4954736	1.1595867	5.8786235	0.9150893	20.48969	12.79041	2.160045	17.1545	6.2203927	116000	3.7252903e-09	45.77422	-0.007725944	-2.425768	0.5983499	0.004419605	0.045	79.0	7635.270723581314
29	34.0	0.0	0.1827957	16.857485	8.650338	29.071445	-7.4220395	2.3871315	1.0366057	6.2583346	0.91411203	21.370968	12.201267	2.4103963	17.008858	-2.3658147	120000	1.3969839e-09	35.479874	-0.008359626	-1.8698254	0.57723856	0.0043923054	0.0575	79.0	7877.602098226547
30	36.0	0.0	0.19148937	17.405287	9.208155	28.122652	-5.5022883	2.3513036	0.9728196	5.324643	0.9137553	21.271276	12.866392	2.118177	17.205008	1.9224788	124000	-9.313226e-09	34.51221	-0.0045699216	-0.8316612	0.5690608	0.004006747	0.056	79.0	8115.791120529175
31	32.0	0.0	0.17297298	17.653545	8.672305	29.900644	-5.1373343	2.3110926	1.0450364	7.1282477	0.6842069	21.513514	13.514574	2.3721166	18.168913	0.11769505	128000	5.5879354e-09	32.311897	-0.0063769286	-0.4176731	0.5266421	0.00658252	0.0605	79.0	8353.893486738205
32	43.0	0.0	0.22395833	16.822351	9.651933	29.231075	-6.005457	2.3793516	0.9814343	4.913129	0.9315876	20.729166	13.437633	2.4677927	18.590677	-4.5093737	132000	1.7695129e-08	37.557487	-0.0047131022	-1.1028557	0.5263865	0.003390537	0.0405	79.0	8591.487280130386
33	46.0	0.0	0.23589744	16.351711	9.580562	30.412882	-6.9531403	2.2775247	1.0940372	5.0724254	0.6677115	20.502563	13.18475	2.72173	19.527092	-7.7926183	136000	-7.450581e-09	37.63472	-0.0046725357	-1.0601311	0.52931714	0.0039732545	0.0295	79.0	8828.25252866745
34	41.0	0.0	0.21808511	16.67514	9.520565	28.849304	-6.7068024	2.3595552	1.0320247	4.9715085	0.9121698	21.218084	12.56422	2.9576972	18.906574	-8.730835	140000	-1.3038516e-08	34.00377	-0.004798944	-0.23918343	0.5448097	0.0039750854	0.032250002	79.0	9066.897660970688
35	37.0	0.0	0.19786096	17.683859	9.07764	28.494566	-5.3786125	2.251358	0.9855487	4.7932954	0.66634816	21.326202	12.860374	2.9944491	19.802252	-10.589488	144000	1.4901161e-08	31.603575	-0.0069894735	-0.70651436	0.5181144	0.005772819	0.05275	79.0	9305.77643418312
36	36.0	0.0	0.19354838	17.493992	9.213657	29.052061	-6.381099	2.2122045	1.0074692	6.739858	0.67013264	21.408602	13.582753	3.5370696	20.595854	-12.755145	148000	9.313226e-09	35.137962	-0.0059470003	-0.4293518	0.4789343	0.0020406847	0.03875	79.0	9546.763421058655
37	43.0	0.0	0.22513089	17.23935	9.228469	30.588129	-10.036177	2.259664	1.0354514	5.3981314	0.9092362	20.874346	13.5313425	3.1637094	19.607916	-10.835455	152000	-3.7252903e-09	37.513702	-0.005407486	-0.49751663	0.48059675	0.0063478528	0.035	79.0	9786.154555082321
38	30.0	0.0	0.16304348	18.286667	8.87387	30.001469	-5.6995163	2.282206	0.9609695	5.117312	0.91853315	21.48913	12.950809	2.8669524	19.058664	-7.833081	156000	0.0	31.550442	-0.0057054907	-0.8815241	0.47891307	0.0038545518	0.04375	79.0	10027.85250210762
39	41.0	0.0	0.21465969	17.234493	9.441319	29.30483	-4.9062285	2.2174196	1.0443891	5.7046375	0.6675279	20.900524	13.718575	3.1268687	19.547665	-6.3168716	160000	-9.313226e-09	36.632942	-0.007022362	-0.34692192	0.44062948	0.005405414	0.03875	79.0	10268.932654857635
40	46.0	0.0	0.23958333	16.733656	9.540527	28.442856	-6.1678667	2.3465464	0.95955026	5.2474723	0.91082335	20.776041	13.184721	3.0426183	19.405418	0.8628866	164000	-6.4028427e-10	33.64231	-0.004626618	-0.6855602	0.43982992	0.0017708838	0.028250001	79.0	10508.358785867691
41	43.0	0.0	0.22395833	17.22672	9.745493	29.815714	-11.120068	2.2301326	0.9858549	4.9228907	0.92360145	20.796875	13.057285	3.2315059	19.593277	-10.437067	168000	3.7252903e-09	38.805576	-0.00444597	-0.34458923	0.40933585	0.0028353275	0.0325	79.0	10746.90720486641
42	30.0	0.0	0.16129032	18.740871	8.753474	30.632633	-7.5270367	2.1664557	0.96738076	5.3475695	0.6666269	21.32258	13.287318	3.4493341	19.994143	-9.9389105	172000	0.0	35.77556	-0.008799094	-2.3267164	0.3884825	0.007585132	0.0805	79.0	10985.307815551758
43	42.0	0.0	0.21538462	17.041441	9.305333	31.857126	-5.483997	2.1951177	0.9819299	5.8705993	0.8938196	20.353846	14.134837	2.748869	19.233723	-8.454113	176000	-7.450581e-09	36.513577	-0.004186433	-1.8262806	0.42138237	0.0014546157	0.0295	79.0	11222.874163389206
44	40.0	0.0	0.20725389	18.033747	9.332349	30.522694	-5.766994	2.2103326	0.94885516	5.049418	0.9118173	20.606218	13.174584	2.8521495	19.192806	-7.431825	180000	7.450581e-09	34.766197	-0.005641997	-0.71357536	0.3958214	0.0071230596	0.03175	79.0	11461.155269622803
45	35.0	0.0	0.18518518	18.32442	8.99796	28.395508	-7.0874577	2.1543636	0.88848346	4.640171	0.92217153	21.026455	13.826923	3.3062909	19.96399	-8.465126	184000	7.916242e-09	33.214108	-0.0066149402	-0.8075857	0.3912334	0.003447244	0.044249997	79.0	11699.032159805298
46	31.0	0.0	0.16666667	18.599468	8.508117	29.94804	-3.9280474	2.1621604	0.96528983	5.208979	0.66690475	21.365591	13.761252	2.9962423	20.120518	-3.1392908	188000	-3.7252903e-09	29.195467	-0.0045105442	-0.38460732	0.38749066	0.0028585552	0.02475	79.0	11937.645262479782
47	42.0	0.0	0.22222222	17.054193	9.417546	29.900646	-6.001645	2.3334453	0.9715545	4.869039	0.90911764	20.973545	13.520088	3.1560144	20.81712	-7.340323	192000	0.0	34.5632	-0.0050522266	-0.38975525	0.42000085	0.0048871045	0.07075	79.0	12179.70681142807
48	37.0	0.0	0.19473684	17.870993	9.1390705	30.789783	-7.880555	2.1822655	0.9751896	6.2821007	0.91158664	20.978947	13.407285	3.0081825	19.793346	-5.3366284	196000	1.8626451e-09	34.271362	-0.0048816986	-0.33870792	0.39197803	0.0015407782	0.02775	79.0	12420.240603923798
49	42.0	0.0	0.22340426	17.276236	9.474074	30.464094	-5.2816286	2.2202265	0.9388663	4.6335764	0.92984015	21.132978	13.324762	3.1743257	19.456589	-8.648007	200000	1.4901161e-08	35.477867	-0.004471764	-0.69999695	0.39312428	0.003614751	0.06825	79.0	12661.95763206482
50	27.0	0.0	0.14673913	18.787159	8.446546	30.739449	-2.405946	2.1033556	0.8856251	5.932455	0.8987995	21.673914	13.4914	2.9404528	19.493227	-2.4088993	204000	8.381903e-09	26.762684	-0.0049262596	-0.8493223	0.37920883	0.0027373615	0.033	79.0	12904.305222511292
51	56.0	0.0	0.2871795	15.696702	10.13923	31.119928	-7.512198	2.3824775	1.0633943	5.4143667	0.6667303	20.394873	13.8346405	3.0466175	19.87676	-9.965373	208000	2.910383e-10	42.456264	-0.0052511487	-4.516693	0.3899874	0.005733449	0.07225	79.0	13146.082361459732
52	34.0	0.0	0.18378378	18.118029	9.024139	29.219065	-6.5332627	2.1602795	0.9184754	4.495079	0.6676912	21.421621	12.596031	3.5315511	19.510918	-8.849809	212000	8.381903e-09	33.701912	-0.007523369	-3.0040112	0.37617964	0.004727911	0.07525	79.0	13386.955652475357
53	43.0	0.0	0.22279793	17.30478	9.515783	28.308283	-5.4403796	2.2171223	0.9268209	5.015044	0.92768216	20.616581	13.8064	3.2384024	19.59667	-9.428461	216000	9.313226e-10	33.93318	-0.0053193825	-1.335206	0.34819454	0.0031477779	0.03875	79.0	13626.495240449905
54	39.0	0.0	0.20634921	17.563238	9.368999	29.866081	-5.9023876	2.2323365	0.91785794	4.4119673	0.91091186	21.0582	13.055779	3.187491	19.473526	-6.1920047	220000	-6.0535967e-09	31.44786	-0.006060812	-0.7574167	0.3473963	0.005717052	0.08175	79.0	13866.713193655014
55	39.0	0.0	0.20418848	17.728304	9.290671	28.52774	-8.286017	2.2107196	0.94879663	4.963802	0.9201051	20.937172	13.304291	3.4783542	19.84128	-7.813324	224000	2.7939677e-09	31.811893	-0.006216325	-0.9263611	0.35585445	0.0042139394	0.03275	79.0	14107.166533946991
56	36.0	0.0	0.19148937	18.000921	9.385913	30.742338	-5.181641	2.2402015	0.9469439	4.820769	0.90878916	21.170214	13.483766	3.6144667	20.259628	-7.8283525	228000	1.3038516e-08	33.491383	-0.0045266664	-1.0455542	0.34088248	0.00301498	0.024	79.0	14348.796904325485
