Epoch	penalty	Crash_ratio	alpha	entropy	critic1	critic2	cost	LossPi	alpha_loss	critic1_loss	critic2_loss	cost_loss	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	Buffer_size	TotalEnvInteracts	Time
1	1.0464485	0.64204544	0.95168066	1.605107	1.0962387	1.0846148	0.044510987	-2.5487607	-0.32983088	0.75751597	0.7636497	0.049247976	-0.25980008	8.699073	26.060411	-15.943627	4.4304137	1.2915686	8.58816	1.6771463	17.051136	6000	4000.0	218.0296413898468
2	1.1418225	0.67836255	0.86114025	1.6008962	1.1647218	1.1640197	0.056341343	-2.4648638	-0.98954535	0.6631796	0.6641374	0.04364302	-3.3823924	31.260029	21.472422	-285.79898	4.47908	1.3173375	10.438432	1.4141109	28.146198	7000	8000.0	431.8339328765869
3	1.2464027	0.58787876	0.7792279	1.5953922	1.1095667	1.1092037	0.06849942	-2.2558427	-1.6479291	0.6901953	0.6914231	0.042417664	-0.3569692	22.991356	22.769514	-271.2078	4.396786	1.3897662	8.121754	0.9222243	23.230303	8000	12000.0	648.2804112434387
4	1.3513656	0.5858586	0.7051243	1.589269	1.0596297	1.0596267	0.076122835	-2.0713663	-2.3048441	0.67771894	0.6780823	0.03955046	-2.9252455	40.65722	21.871399	-287.659	4.6122775	1.3402219	9.338143	2.1612625	37.979797	9000	16000.0	864.2963535785675
5	1.4569294	0.61421317	0.6380929	1.5779967	1.0395105	1.0395325	0.08678343	-1.9211484	-2.9579515	0.6865448	0.68644947	0.037928116	2.0267425	23.874262	21.74705	-305.5919	4.5690827	1.3419003	10.418497	1.0	23.147207	10000	20000.0	1070.601930141449
6	1.5665107	0.65445024	0.577459	1.5658089	1.0362034	1.0361016	0.09886109	-1.7915883	-3.6080327	0.7201375	0.72007126	0.037475605	3.028158	8.891094	25.216028	-14.30295	4.481084	1.3130453	8.299759	1.1510088	17.623037	11000	24000.0	1281.6420636177063
7	1.6749268	0.59444445	0.52260643	1.5501108	1.0329244	1.0327727	0.10769136	-1.675325	-4.2531457	0.72292036	0.723083	0.035678845	3.244713	23.369286	27.302013	-281.1723	4.307455	1.2056923	7.37204	1.4027609	23.266666	12000	28000.0	1495.8258554935455
8	1.7815692	0.55421686	0.47298187	1.5324812	1.047411	1.0472803	0.11656686	-1.582636	-4.89341	0.74985033	0.75057673	0.03453233	4.8900604	23.708168	25.002018	-274.1523	4.432398	1.3947599	8.284229	0.9514436	24.572289	13000	32000.0	1710.3798401355743
9	1.8868577	0.56497175	0.42809972	1.5066936	1.0643734	1.0643425	0.1232324	-1.506364	-5.522771	0.7584556	0.75973755	0.033032782	6.0000978	21.73146	23.149239	-257.54446	4.542505	1.3151486	7.810777	0.0	24.644068	14000	36000.0	1922.1622416973114
10	1.9906323	0.54545456	0.3875101	1.4757615	1.0965706	1.096537	0.12988214	-1.4511609	-6.141547	0.7780095	0.7802914	0.03133407	8.200174	8.92552	25.866617	-12.194642	4.3274827	1.462859	8.077346	1.2239473	19.033493	15000	40000.0	2126.727795124054
