Epoch	AveragePenalty	StdPenalty	AverageCrash_counter	StdCrash_counter	Crash_ratio	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	LossVC	DeltaLossPi	Entropy	KL	ClipFrac	Time
0	1.3500584	0.0	43.0	0.0	0.6935484	-20.395308	111.05341	15.080086	-885.1903	4.4443264	1.4318776	8.776901	1.3581519	64.29032	0.10624558	0.025627486	0.21458858	0.06519676	4000	-8.888785e-08	69.60163	0.44837505	-0.0063237115	1.6086335	0.00210912	0.0	556.7955012321472
1	1.3873639	0.0	87.0	0.0	0.71900827	-6.812805	8.86582	18.470652	-22.0388	4.599596	1.3144441	9.933538	0.9344225	16.115702	-16.461494	10.067601	6.4445586	-24.983973	8000	-1.406867e-08	66.447334	0.6814863	-0.009545699	1.6054347	0.0034298645	0.0	1107.714513540268
2	1.4250078	0.0	149.0	0.0	0.61570245	-5.088191	9.094863	19.994125	-28.489632	4.207727	1.2654346	9.675481	0.9307355	16.466942	-4.6612587	6.1551576	6.980432	-24.6359	12000	-1.1323433e-08	78.63932	1.3001964	-0.024465207	1.6001383	0.0055515794	0.0	1631.5471420288086
3	1.463107	0.0	33.0	0.0	0.57894737	-4.5467668	7.9785724	15.292926	-19.59622	4.3437667	1.4909616	7.7740426	1.661377	17.719297	-8.537353	4.723036	16.799833	-11.01994	16000	5.0959037e-10	41.872173	0.43756124	-0.0112372795	1.5889249	0.0040651313	0.0	2206.6775844097137
4	1.501589	0.0	76.0	0.0	0.7755102	-6.4945984	7.9644384	13.501667	-16.779655	4.2068424	1.1115247	7.6585417	1.4266322	14.591837	-17.990635	12.227405	10.4810505	-26.720297	20000	1.1807284e-09	43.87176	0.40042078	-0.008459612	1.5677185	0.0039798296	0.0	2789.9703369140625
5	1.5402809	0.0	170.0	0.0	0.651341	-5.3362226	8.785076	17.287573	-17.51279	3.8707504	1.2277008	6.1708355	0.8835103	15.314177	-4.8250513	6.384553	5.8762975	-26.81194	24000	1.970962e-08	73.65596	1.2705883	-0.015050574	1.5355818	0.005060757	0.0	3333.5208485126495
6	1.5788133	0.0	10.0	0.0	0.5263158	-44.50882	181.6543	17.694504	-813.9605	3.2661545	1.4108597	5.4013257	0.5	172.89473	-12.371492	4.1966796	16.084993	-13.498104	28000	-4.0368207e-08	27.477741	0.11287404	-0.007704459	1.534534	0.0025974282	0.0	3921.1306200027466
7	1.6175498	0.0	130.0	0.0	0.5416667	-2.3215764	10.509498	20.237896	-18.67732	3.5699983	1.2937337	7.5734324	0.9119553	16.658333	-2.6984732	8.484469	12.119719	-26.166328	32000	-1.4249063e-08	86.825905	1.2813476	-0.026337866	1.4656578	0.006914838	0.0	4454.132018327713
8	1.6563454	0.0	25.0	0.0	0.43103448	-11.958706	98.400345	21.93974	-750.6773	3.32041	1.2646133	5.813577	0.5	68.86207	-7.0847287	4.925652	11.93754	-9.582816	36000	4.1974406e-08	65.34921	0.26155546	-0.012020645	1.4765863	0.005097571	0.0	5045.954813480377
9	1.6954299	0.0	77.0	0.0	0.53846157	-1.03023	10.712874	25.892187	-17.562912	3.54712	1.2284065	6.7428412	0.93006474	17.307692	-8.183701	13.109812	19.60272	-22.469568	40000	-2.2830452e-08	98.6754	0.6615646	-0.019000616	1.3990268	0.0062910966	0.0	5603.14742732048
10	1.7347232	0.0	58.0	0.0	0.4496124	0.63086	10.605175	21.799404	-17.797297	3.4235225	1.3269193	6.6010656	0.9209237	18.465117	-7.6561613	10.31283	15.8656645	-18.219406	44000	6.313976e-10	96.02939	0.6997884	-0.014732422	1.343476	0.0059667127	0.0	6189.594183444977
11	1.774001	0.0	75.0	0.0	0.37128714	2.7264574	11.6594925	26.536661	-19.679823	3.1145713	1.2953773	6.860071	0.9017712	19.737623	0.6925205	6.6189976	10.174301	-14.753184	48000	-8.418081e-09	88.841606	1.0508101	-0.017146941	1.2072536	0.005621859	0.0	6748.7700226306915
12	1.8133774	0.0	93.0	0.0	0.44285715	2.308892	11.292474	24.953104	-21.363197	3.1876447	1.2990541	6.9905715	0.6663097	18.928572	2.7664437	2.330475	4.444635	-2.9383516	52000	3.2616683e-09	74.82762	1.0379893	-0.015034812	1.1282529	0.0038310264	0.0	7292.177783966064
13	1.852815	0.0	86.0	0.0	0.40758294	2.7649627	10.922155	24.076889	-16.161526	3.105371	1.2692084	6.34382	0.8965782	18.938389	3.369042	1.7778829	5.0896616	-3.06463	56000	1.8567885e-09	49.90753	0.86368585	-0.012162233	1.0755228	0.002700076	0.0	7839.692445278168
14	1.892321	0.0	85.0	0.0	0.4028436	3.0128446	11.340195	24.855352	-20.484165	3.0745797	1.3074101	5.8333364	0.88180614	18.890995	5.3440037	3.0739758	8.2760105	-5.751092	60000	-2.9883125e-08	53.07339	0.85533965	-0.016663281	1.0502552	0.0053029223	0.0	8384.783483982086
15	1.9317267	0.0	76.0	0.0	0.3707317	4.0551057	10.839868	24.465834	-19.746542	2.855246	1.2238929	6.1898947	0.6667862	19.487804	5.956422	3.467886	9.725835	-7.0146146	64000	8.869361e-09	50.959286	0.70733786	-0.013407146	0.9750268	0.0035988318	0.0	8936.956303358078
