Epoch	penalty	Crash_ratio	alpha	entropy	critic1	critic2	cost	LossPi	alpha_loss	critic1_loss	critic2_loss	cost_loss	sigma	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	Buffer_size	TotalEnvInteracts	Time
1	1.0585759	0.48351648	0.95174503	1.5761155	1.1355132	1.1202945	0.3456961	-2.2805362	-0.32740715	2.696708	2.7096694	0.20792387	0.100005016	5.9312825	9.156428	23.744207	-8.8966255	4.721264	1.4395623	10.331485	1.1534911	18.467033	5998	4000.0	294.2657504081726
2	1.1622452	0.43523315	0.8614851	1.5204964	1.2902701	1.2885262	0.3769204	-2.2598393	-0.97449625	2.6733851	2.6775312	0.1620599	0.105005264	5.6645107	23.168283	25.935095	-292.47186	4.296434	1.4668345	8.690558	1.4299766	23.92228	6998	8000.0	588.0126857757568
3	1.2645139	0.375	0.77989584	1.4757478	1.3685359	1.3669366	0.39634606	-2.1494179	-1.612126	2.843715	2.8406863	0.14952625	0.110255525	9.532407	8.821569	25.398079	-13.582795	4.270641	1.4746083	8.867586	0.91750664	19.905	7998	12000.0	876.2754578590393
4	1.3676375	0.325	0.70612514	1.4217929	1.4514574	1.4502976	0.41330793	-2.0612905	-2.2367601	2.9371214	2.9322817	0.13662533	0.11576826	11.737074	8.636129	24.676119	-7.186115	4.170456	1.2911289	7.3509917	1.6404256	20.2375	8998	16000.0	1157.2932705879211
5	1.4702642	0.28108108	0.6393849	1.3687614	1.5405738	1.5399684	0.42637262	-1.9890374	-2.8502882	3.032791	3.028203	0.12372374	0.12155673	11.988889	21.279242	27.545021	-254.17259	3.713649	1.3247894	6.8134313	0.0	25.778378	9999	20000.0	1427.5170245170593
6	1.5735844	0.26153848	0.57912743	1.2778413	1.681256	1.6805506	0.4498432	-1.9715579	-3.4309044	3.1274068	3.1237319	0.112967305	0.12763457	14.85639	8.268777	26.719648	-4.7401295	3.665535	1.3904741	7.9595146	0.9289008	20.384615	10998	24000.0	1701.4164164066315
7	1.6770629	0.28645834	0.52475125	1.1654211	1.8377767	1.8369129	0.46961153	-1.988627	-3.977233	3.204648	3.1999493	0.101966396	0.13401628	15.210549	8.173174	29.96507	-6.818054	3.631466	1.3902012	7.325606	1.1811782	20.744791	11998	28000.0	1968.5493009090424
8	1.780847	0.19170985	0.4756158	1.0478399	2.0014908	1.999912	0.49115676	-2.020094	-4.4957933	3.227548	3.2221107	0.09322808	0.14071707	17.374216	7.85398	31.819595	-3.1473358	3.0736742	1.2376709	6.876789	0.9078141	20.860104	12998	32000.0	2237.5783479213715
9	1.8837993	0.2617801	0.43121314	0.9069017	2.1864376	2.1856754	0.50636643	-2.099962	-4.9697757	3.2803195	3.2750835	0.086295	0.14775296	16.748049	8.367023	29.631578	-7.220096	3.1665864	1.4294537	8.687874	0.9104011	20.916231	13998	36000.0	2512.19388628006
10	1.9860022	0.19354838	0.3911017	0.7469841	2.3737452	2.3734927	0.51952124	-2.213527	-5.3962584	3.2310927	3.226936	0.079975784	0.15514056	18.893873	7.789579	30.556473	-0.31397605	2.8149002	1.3039538	6.4917383	0.908356	21.537634	14998	40000.0	2775.6098215579987
