Epoch	Crash_ratio	alpha	entropy	critic1	critic2	LossPi	alpha_loss	critic1_loss	critic2_loss	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	Buffer_size	TotalEnvInteracts	Time
1	0.74058574	0.95167893	1.6063479	1.1563929	1.1629089	-2.6805904	-0.3298986	0.7342017	0.73211473	-6.6637096	9.128953	19.92248	-31.975233	4.5223403	1.1270367	8.24082	1.4136047	16.58159	6000	4000.0	203.23913383483887
2	0.58928573	0.86115307	1.5980902	1.8528957	1.8520766	-3.2334905	-0.9889701	0.67995167	0.68034136	-5.197982	21.878822	20.190516	-261.25488	4.4983616	1.4150757	8.373354	1.2270389	23.839285	7000	8000.0	385.9233207702637
3	0.63580245	0.7792935	1.581758	2.4659555	2.4656875	-3.718348	-1.643803	0.70028424	0.6988009	-2.222163	9.626631	19.774406	-24.691448	4.435721	1.3919667	8.37083	0.9322802	18.641975	8000	12000.0	569.1883769035339
4	0.6037736	0.70533705	1.5456814	3.0329604	3.0328076	-4.175455	-2.287265	0.73066634	0.72894496	-1.3377653	21.2064	20.012848	-277.87735	4.4941034	1.3775958	8.349798	1.5	23.504717	9000	16000.0	746.4167108535767
5	0.4489796	0.6385785	1.4876511	3.5542338	3.5540376	-4.6086736	-2.911914	0.79243785	0.79136366	4.108624	8.901836	22.245163	-19.482922	4.319254	1.4590766	7.77252	0.9227896	20.316326	10000	20000.0	923.2124423980713
6	0.41624364	0.57832044	1.4095472	4.059339	4.0592628	-5.0384603	-3.5120642	0.86058974	0.85890746	6.391381	8.738197	21.8207	-11.532359	4.070652	1.3327484	8.7261915	0.919507	20.411167	11000	24000.0	1097.0943961143494
7	0.35978836	0.5238734	1.3263838	4.5343027	4.534266	-5.4531293	-4.09202	0.9346647	0.9312314	8.580359	9.029075	23.280575	-11.797464	3.877366	1.3327206	8.203396	1.2025069	21.005291	12000	28000.0	1271.8571274280548
8	0.37823835	0.47457692	1.2578337	4.985537	4.9853115	-5.8428173	-4.666255	0.97850794	0.97090304	8.735376	8.84371	26.632671	-8.0777235	3.8346665	1.4740798	7.5781446	0.94478714	20.756477	13000	32000.0	1445.4780986309052
9	0.30208334	0.42987078	1.1970254	5.4003077	5.40064	-6.199707	-5.233972	1.0406162	1.028994	11.623844	8.679601	24.66421	-9.971011	3.406105	1.366812	7.5275774	0.9211713	20.875	14000	36000.0	1618.9787476062775
10	0.3265306	0.3893449	1.1458033	5.7896967	5.789912	-6.5350537	-5.7994328	1.0902337	1.0748694	11.551464	9.344121	28.396362	-8.957772	3.2662528	1.2817764	6.952661	0.9280452	20.433674	15000	40000.0	1790.4473497867584
11	0.24338624	0.35260528	1.094591	6.117664	6.1178117	-6.8143477	-6.355267	1.1378185	1.1181947	13.434628	8.365559	24.371534	-6.5985336	3.115901	1.1510178	5.86282	0.89652854	21.026455	16000	44000.0	1963.0849294662476
12	0.28282827	0.31930926	1.0511214	6.4426465	6.442616	-7.08362	-6.9102345	1.1889238	1.1648225	12.568658	8.902264	28.536133	-6.2419567	3.1804082	1.3117542	6.490762	0.909856	20.171717	17000	48000.0	2136.1619544029236
13	0.26804122	0.2891365	1.0075631	6.7264285	6.7266316	-7.3243365	-7.456712	1.2306367	1.2031007	13.626587	9.067433	27.762575	-5.690965	3.0011318	1.3185314	6.221923	0.92831737	20.747423	18000	52000.0	2306.6782262325287
14	0.20418848	0.2618107	0.96706057	6.9813614	6.9816895	-7.5323267	-7.9988656	1.2674499	1.2348018	14.829222	8.353861	27.619658	-5.941771	2.7347476	1.2174652	6.4714336	0.9199604	20.937172	19000	56000.0	2477.4436173439026
15	0.18421052	0.23706469	0.92025393	7.2203784	7.2208505	-7.7333817	-8.523707	1.2871008	1.2534876	15.463956	8.255631	28.503	-4.3988605	2.7181025	1.1406275	7.368515	0.65357834	20.984211	20000	60000.0	2647.801219701767
16	0.21354167	0.21467611	0.87551564	7.4383283	7.4382854	-7.916323	-9.042406	1.29627	1.2599881	15.087349	8.330259	28.085112	-4.3940115	2.605851	1.1666492	5.8236346	0.89147085	20.901041	21000	64000.0	2818.4088003635406
17	0.19689119	0.19440417	0.8217983	7.6383934	7.6387467	-8.088793	-9.537193	1.3417529	1.3048595	15.519651	8.724275	28.474041	-5.1299176	2.500275	1.085334	5.3101187	0.91326064	20.735752	22000	68000.0	2989.583895921707
18	0.16489361	0.17604588	0.7784923	7.8518705	7.851839	-8.276432	-10.039353	1.330928	1.2941194	16.582888	8.050803	28.68137	-4.4921665	2.4060652	1.0119311	5.3525395	0.9222797	21.127659	23000	72000.0	3159.6634306907654
19	0.18324608	0.1594231	0.72751606	8.029262	8.029144	-8.4341345	-10.518758	1.3929057	1.3550682	15.55254	7.5961084	28.117098	-3.3570402	2.49291	1.1111261	6.1506877	0.9122757	21.09424	24000	76000.0	3329.4495811462402
20	0.21761657	0.14437103	0.68861794	8.240155	8.239348	-8.621026	-11.01171	1.3699362	1.3329817	15.483503	8.861746	28.611095	-5.8014355	2.487037	1.1674564	6.742573	0.89799225	20.673574	25000	80000.0	3498.9110424518585
21	0.12903225	0.13072449	0.6499216	8.447517	8.449381	-8.802545	-11.497721	1.4240671	1.3873925	16.27918	7.646664	29.70294	-3.8649485	2.2180688	1.025872	5.5975595	0.9095392	21.569893	25000	84000.0	3667.7162432670593
22	0.112299465	0.11837146	0.60376984	8.746216	8.746686	-9.069293	-11.959929	1.3965688	1.3618145	17.829872	7.104846	28.776518	-2.1798582	2.1247227	0.95238495	5.58375	0.92392397	21.320856	25000	88000.0	3835.2116963863373
23	0.14659686	0.1071989	0.55033726	9.007417	9.007876	-9.311149	-12.39619	1.4038981	1.3687642	16.910072	7.776789	32.114223	-3.803873	2.1044586	1.1010132	5.739398	0.89561766	20.989529	25000	92000.0	4002.5468797683716
24	0.123655915	0.09707726	0.5137317	9.270167	9.270625	-9.555679	-12.861373	1.4294426	1.3989426	16.801714	7.2580724	27.402603	-3.6617844	2.131918	1.0264828	5.373604	0.6664641	21.42473	25000	96000.0	4171.0677754879
25	0.14136125	0.087910004	0.46314502	9.529247	9.529686	-9.798886	-13.28532	1.4677078	1.4350674	16.410995	7.655459	27.983849	-4.9949074	2.1421826	0.99755275	5.952284	0.91012293	21.052357	25000	100000.0	4339.942243337631
26	0.10695187	0.07960311	0.43610024	9.837793	9.84045	-10.080535	-13.759226	1.4419658	1.4106762	17.12249	7.282696	29.617296	-5.12677	2.0601628	1.0154909	5.756261	0.91535234	21.379679	25000	104000.0	4509.463375329971
27	0.10869565	0.07206581	0.41255248	10.165481	10.165175	-10.369468	-14.237823	1.3865114	1.3564168	17.41601	7.2238784	32.330547	-2.8613281	2.096411	1.0347545	5.5450397	0.9103558	21.809782	25000	108000.0	4679.672439098358
28	0.082417585	0.06524417	0.3789748	10.4631815	10.462285	-10.638134	-14.684341	1.3310398	1.3038831	17.70315	6.865129	28.82038	-4.9233794	2.0241523	1.0399917	5.8010464	0.89473784	21.928572	25000	112000.0	4851.314950942993
29	0.033707865	0.059072044	0.34850135	10.741495	10.740481	-10.897596	-15.132988	1.267126	1.2395583	18.968342	5.34469	30.428144	-1.5288154	1.8061229	0.78031695	4.891677	0.8965322	22.297752	25000	116000.0	5022.529215097427
30	0.054945055	0.053483307	0.30866823	11.003086	11.00473	-11.135787	-15.547811	1.2048289	1.1796497	18.665054	5.8878155	27.60602	-1.3612465	1.9477907	0.85620785	5.295885	0.91677177	22.142857	25000	120000.0	5192.915401697159
31	0.0718232	0.048424065	0.2807207	11.250029	11.24947	-11.357606	-15.99076	1.1369374	1.1080322	18.136421	6.338237	27.952398	-3.8693812	1.9941298	0.96975434	5.547236	0.9038465	21.972376	25000	124000.0	5364.789834499359
32	0.08064516	0.043836314	0.2684756	11.482683	11.482012	-11.5697155	-16.478176	1.0690938	1.0381614	18.139248	6.6679726	30.963087	-2.943816	2.0172377	0.9797042	5.9202027	0.67469543	21.655914	25000	128000.0	5536.529114723206
33	0.049723756	0.03967689	0.25848496	11.657749	11.658857	-11.731061	-16.971249	1.0066705	0.974814	18.527851	5.8643675	32.115643	-3.8962348	1.8723863	0.9220339	6.0166125	0.8954465	22.03315	25000	132000.0	5708.337947368622
34	0.016574586	0.03590473	0.2581252	11.86109	11.860162	-11.922437	-17.494888	0.93338305	0.9020146	19.287657	4.667314	26.53279	-4.0622973	1.8275696	0.7140907	5.6010203	0.90642786	22.060774	25000	136000.0	5881.300166130066
35	0.03954802	0.032495625	0.24417648	12.046142	12.047018	-12.09651	-17.972038	0.86998266	0.838386	19.560698	5.028752	27.491383	-1.7118074	1.9830145	0.9116937	5.665892	0.6645026	22.757063	25000	140000.0	6056.546043395996
36	0.034285713	0.029408868	0.2330357	12.196783	12.196447	-12.241846	-18.456154	0.8246439	0.7915073	20.070835	4.8841476	29.035614	-3.288686	1.9358329	0.8391457	6.6327653	0.89295626	22.777143	25000	144000.0	6232.091220855713
37	0.01734104	0.026615478	0.2225955	12.357898	12.358471	-12.400236	-18.940502	0.7806377	0.74888134	20.434565	4.5246015	30.296526	-5.2181087	1.7957675	0.6855023	5.06757	0.6711432	23.028902	25000	148000.0	6409.176885604858
38	0.011560693	0.024089187	0.20268558	12.517486	12.517062	-12.554779	-19.387146	0.7021627	0.6723103	20.700264	3.8912866	31.062113	-1.6542287	1.8111036	0.6778421	5.0791683	0.91375256	23.231215	25000	152000.0	6587.031470537186
39	0.017441861	0.021803059	0.19163145	12.671573	12.6700325	-12.702214	-19.863672	0.6544337	0.6244438	20.168404	4.4105535	29.617058	-5.383541	1.8969226	0.7381308	5.580236	0.6677559	23.156977	25000	156000.0	6764.518760442734
