Epoch	Crash_ratio	alpha	entropy	critic1	critic2	LossPi	alpha_loss	critic1_loss	critic2_loss	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	Buffer_size	TotalEnvInteracts	Time
1	0.6513761	0.9516775	1.6067424	1.2299268	1.2403996	-2.7574334	-0.3299418	0.3546977	0.34600455	-5.1843762	9.057423	18.806229	-22.501099	4.4548135	1.3918488	8.990795	1.4138798	16.85321	6000	4000.0	196.57317447662354
2	0.6243386	0.8611397	1.6012471	1.9979309	1.997507	-3.381192	-0.98957324	0.38753724	0.38648823	-5.5208335	21.708046	19.477264	-272.75888	4.4882526	1.2432404	7.6633425	0.9068519	22.671957	7000	8000.0	381.32099533081055
3	0.5714286	0.77924234	1.5933883	2.6443667	2.6440992	-3.8929708	-1.6472653	0.46857813	0.46636757	-2.2257862	9.33328	17.259857	-19.886034	4.5846176	1.4890609	8.533623	1.6857214	18.701864	8000	12000.0	570.8144319057465
4	0.5221675	0.7051986	1.5714219	3.250991	3.2507162	-4.382541	-2.2977095	0.54133105	0.537886	-0.7837938	19.417542	21.697447	-241.71208	4.5081086	1.373783	7.9415293	1.2534331	24.581282	9000	16000.0	755.4733498096466
5	0.48979592	0.638324	1.5304465	3.8073359	3.807348	-4.8394747	-2.9338706	0.61872375	0.61434436	3.1141183	8.841783	22.125994	-16.138048	4.328808	1.417455	7.5865517	0.9064397	20.168367	10000	20000.0	940.1847653388977
6	0.48	0.57793117	1.4752821	4.321668	4.3212776	-5.272365	-3.5525713	0.67676187	0.6718333	3.3939106	21.402521	22.601389	-231.33267	4.365534	1.4405732	8.596827	0.0	27.053333	11000	24000.0	1128.2978236675262
7	0.4874372	0.5233429	1.4176912	4.7856264	4.7854877	-5.6621494	-4.157739	0.73965436	0.7335892	5.643114	9.238636	20.693157	-13.607347	4.219	1.3878835	7.845431	1.1631088	20.160805	12000	28000.0	1308.8112676143646
8	0.42639595	0.4739448	1.360101	5.19412	5.1940384	-6.004102	-4.751055	0.80581594	0.79945654	7.0946507	9.481626	23.751308	-12.089921	3.9787846	1.3498961	7.0130286	1.1979651	20.137056	13000	32000.0	1491.6505978107452
9	0.3622449	0.429211	1.3066345	5.5863914	5.586128	-6.333543	-5.336365	0.8628151	0.8570758	9.694186	8.936092	24.523523	-7.5023155	3.7109108	1.2959694	7.3425984	0.93727493	20.321428	14000	36000.0	1674.3440840244293
10	0.38190955	0.38870144	1.2496455	5.9381647	5.937922	-6.6352763	-5.9076505	0.9130082	0.90740573	10.125643	8.941315	25.032965	-5.5248218	3.5975523	1.3867648	8.175839	0.9002657	20.296482	15000	40000.0	1851.6122832298279
11	0.2994924	0.35201216	1.2038634	6.244854	6.245341	-6.884543	-6.4796076	0.954075	0.9471171	11.898569	8.695294	26.054659	-8.318928	3.3117745	1.2736729	6.6580954	0.8932278	20.177666	16000	44000.0	2032.5101156234741
12	0.26903552	0.3187616	1.1543087	6.5243096	6.524193	-7.113121	-7.0384	1.0078828	1.0019897	13.149664	8.214036	26.422148	-3.581766	3.1453495	1.3254263	7.752445	0.9218428	20.416245	17000	48000.0	2206.1042470932007
13	0.25252524	0.28867114	1.0962046	6.788889	6.7888837	-7.3368134	-7.5763106	1.0474576	1.0415696	13.448578	8.470502	28.360264	-5.3634458	3.0025063	1.2770379	6.824088	0.9099369	20.181818	18000	52000.0	2378.0996618270874
14	0.28061223	0.26142865	1.0481123	7.0116935	7.011745	-7.517667	-8.116153	1.0816711	1.0757822	13.001318	8.884412	25.991697	-6.5513206	3.1030648	1.3450611	7.6999245	0.9393245	20.42347	19000	56000.0	2552.5955834388733
15	0.23834197	0.23675424	0.99504143	7.2168145	7.216376	-7.6847353	-8.639402	1.1123456	1.1101906	13.843301	8.185273	28.910223	-3.5519407	2.9552894	1.2353306	6.973972	0.9279353	20.554403	20000	60000.0	2729.1602137088776
16	0.2	0.2143974	0.9489731	7.4071155	7.4076385	-7.842449	-9.162981	1.1440417	1.1423105	15.468157	8.342092	26.75813	-5.488156	2.6298616	1.1946986	6.5509014	0.90896106	20.753845	21000	64000.0	2904.041659116745
17	0.20526315	0.19416116	0.8921234	7.5779033	7.577977	-7.9843965	-9.659494	1.1703887	1.1707697	15.458441	8.385863	28.048077	-3.6332247	2.687024	1.1916851	6.2506046	0.92588836	20.88421	22000	68000.0	3084.9361510276794
18	0.25888324	0.1758429	0.84077746	7.75038	7.7505965	-8.129029	-10.154164	1.1940356	1.1954033	14.219653	8.803049	28.439257	-5.378081	2.6952121	1.2366228	6.0312347	0.90877205	20.360407	23000	72000.0	3268.523044347763
19	0.14814815	0.15925032	0.79530466	7.9179797	7.9180193	-8.272973	-10.649784	1.2115141	1.2126001	17.003588	7.943383	28.457123	-2.2212832	2.3796864	1.0544292	5.6540704	0.9158404	21.21164	24000	76000.0	3442.4487257003784
20	0.18716578	0.14420544	0.7516897	8.06014	8.060101	-8.392586	-11.140284	1.2310579	1.2327644	15.702397	8.159969	28.48585	-2.7898874	2.644109	1.1172773	5.6666174	0.8949161	21.31016	25000	80000.0	3617.9926030635834
21	0.21319798	0.1305967	0.6891176	8.22802	8.228506	-8.534621	-11.582795	1.2383744	1.2400098	15.5256195	8.794802	31.181007	-4.3721814	2.4714618	1.2119398	6.1466317	0.90920186	20.365482	25000	84000.0	3793.999672651291
