Epoch	AveragePenalty	StdPenalty	AverageCrash_counter	StdCrash_counter	Crash_ratio	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	LossVC	DeltaLossPi	Entropy	KL	ClipFrac	Time
0	1.3500584	0.0	156.0	0.0	0.6964286	-6.1991777	8.289735	14.527888	-19.301414	4.6253386	1.3109723	9.828814	1.1455117	16.5	0.027655417	0.0161214	0.07672018	-0.078346334	4000	-1.77415e-07	72.93596	1.3362012	-0.02118962	1.6068645	0.005602479	0.0	534.79567527771
1	1.3872554	0.0	39.0	0.0	0.61904764	-17.76472	102.40605	14.835588	-821.6674	4.349588	1.5960625	8.311095	1.1666384	63.349205	-5.9982142	2.1298378	4.499117	-7.4412055	8000	-2.3379041e-08	41.72565	0.5033422	-0.01565581	1.6028004	0.0047728377	0.0	1108.3508751392365
2	1.4248395	0.0	157.0	0.0	0.6330645	-4.7481117	8.8090315	18.82063	-21.842089	4.203507	1.370843	8.1904545	1.1486025	16.084677	-3.5607219	6.186214	8.867502	-25.399578	12000	1.5766767e-08	67.42596	1.4641004	-0.024172591	1.5695615	0.0055398573	0.0	1638.052429676056
3	1.4628353	0.0	24.0	0.0	0.6315789	-24.492731	121.98722	16.206173	-764.74945	4.183564	1.5792656	7.620553	0.5	95.18421	-9.255794	4.463266	13.258728	-11.010194	16000	-2.2296978e-08	35.88932	0.34452105	-0.007894402	1.5744241	0.003877332	0.0	2223.4699659347534
4	1.5010014	0.0	29.0	0.0	0.5	-13.790735	95.804016	18.164667	-733.12866	3.7395463	1.3919535	6.705891	1.1395098	68.913795	-19.146273	9.177293	8.843311	-24.104885	20000	-4.5884834e-09	51.007954	0.3913349	-0.007958842	1.5514344	0.004771636	0.0	2806.5385797023773
5	1.5394986	0.0	129.0	0.0	0.59447	-3.2251315	10.0158	20.712797	-19.81787	3.8592775	1.3825161	7.0553627	0.8798389	16.239632	-3.8865366	9.316881	8.650427	-22.843367	24000	-1.6845503e-09	101.55332	1.2996817	-0.017241443	1.4598886	0.004705615	0.0	3333.502827644348
6	1.578059	0.0	31.0	0.0	0.51666665	-11.742883	84.023285	20.078442	-652.5988	3.4266176	1.4992254	8.146031	0.9331677	66.48333	-9.407929	5.55349	6.8535886	-12.409357	28000	1.28124835e-08	42.564297	0.4793355	-0.013772247	1.4921024	0.004456219	0.0	3904.7958307266235
7	1.6166251	0.0	25.0	0.0	0.4385965	-9.061643	80.2075	25.454008	-604.048	3.243508	1.1051044	6.0177445	0.9809337	69.91228	-15.053797	9.183542	9.053429	-19.989819	32000	1.9633443e-08	44.792267	0.21171452	-0.008897989	1.4570242	0.005742912	0.0	4499.479290485382
8	1.6553742	0.0	88.0	0.0	0.41904762	-0.21291357	9.991638	22.955673	-17.805305	3.3651166	1.3039417	6.905678	0.90095186	19.019047	0.59433484	8.35353	11.517702	-18.848879	36000	1.8750406e-09	61.86508	1.1839112	-0.022228375	1.2874583	0.0066026226	0.0	5055.683203220367
9	1.6943305	0.0	49.0	0.0	0.42982456	1.3990846	10.420546	23.251148	-18.519833	3.3488338	1.3368393	6.166507	0.9105324	18.763159	1.5567266	1.7112979	5.2145143	-1.5108228	40000	4.3931024e-08	86.5426	0.66266304	-0.012564975	1.296516	0.0051465128	0.0	5622.797897577286
10	1.7335458	0.0	99.0	0.0	0.46478873	0.9681524	10.299952	24.18295	-17.696507	3.3818755	1.1576908	6.4926453	0.9232851	18.676056	1.744345	6.492652	9.333656	-14.34945	44000	2.670402e-08	73.22295	0.9314425	-0.013422504	1.1441355	0.0044486155	0.0	6183.03111410141
