Epoch	AveragePenalty	StdPenalty	AverageCrash_counter	StdCrash_counter	Crash_ratio	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	LossVC	DeltaLossPi	Entropy	KL	ClipFrac	Time
0	1.3500584	0.0	169.0	0.0	0.6869919	-6.2248197	8.399965	17.881195	-21.950132	4.5043893	1.2801473	8.022996	1.7027558	16.243902	0.04463068	0.020664932	0.0893711	0.0026957449	4000	-1.4842803e-07	45.000633	1.313793	-0.02348845	1.6072927	0.0056217173	0.0	540.7010769844055
1	1.3872873	0.0	51.0	0.0	0.5604396	-4.199705	8.692537	14.168735	-21.189722	4.3271775	1.4584991	10.010559	1.4887738	17.197802	3.40265	4.588509	14.5950985	-10.447167	8000	-9.049438e-08	81.19411	0.6237649	-0.01304942	1.6037132	0.0041990043	0.0	1094.2884528636932
2	1.4249158	0.0	51.0	0.0	0.6296296	-4.594709	9.396578	14.457098	-20.316263	4.1874237	1.2149924	8.124136	1.3778893	17.08642	-16.389545	10.83076	13.500838	-23.74442	12000	-5.6020326e-09	59.191376	0.40267143	-0.013233442	1.5923874	0.004867816	0.0	1666.6006751060486
3	1.462811	0.0	30.0	0.0	0.5084746	-16.593525	106.76481	13.229292	-826.9781	3.8788717	1.3140535	7.5987215	1.846633	67.55932	-19.634258	10.070574	23.749983	-25.119518	16000	1.6512466e-08	48.90647	0.35072318	-0.008436719	1.579759	0.0041257	0.0	2255.585553884506
4	1.5011258	0.0	81.0	0.0	0.57857144	-2.3787968	9.712235	18.268238	-18.605566	4.029432	1.2862544	7.679139	1.2022514	17.385714	-11.98139	12.7268715	7.8573227	-26.123476	20000	-1.5442433e-08	96.626076	0.8079422	-0.011939048	1.5375185	0.004487912	0.0	2835.4113969802856
5	1.5397166	0.0	19.0	0.0	0.5135135	-22.710382	126.59622	16.251934	-780.04065	3.7772224	1.3150796	6.141074	0.0	97.62162	-18.697515	7.935635	8.382717	-21.956621	24000	4.06453e-09	36.658745	0.22714649	-0.0071821767	1.5414233	0.003862306	0.0	3437.291911125183
6	1.5786946	0.0	123.0	0.0	0.56164384	-2.3275182	10.061368	23.906456	-20.685324	3.9041743	1.3604609	7.563592	0.92298436	18.264841	-1.9573723	8.6482525	12.171502	-24.757	28000	-8.838104e-09	66.56388	1.3845638	-0.020144697	1.4885955	0.005098032	0.0	3999.0355894565582
7	1.617804	0.0	35.0	0.0	0.41666666	0.6510819	10.208955	21.816662	-18.52489	3.506585	1.3502611	7.6791425	0.9227061	18.619047	-1.0040431	2.5384836	7.4860816	-6.5505333	32000	2.2686622e-08	77.55222	0.5398971	-0.021416519	1.4871728	0.0060923267	0.0	4582.778407335281
8	1.6571352	0.0	94.0	0.0	0.44549763	0.79661596	10.977223	26.356657	-19.78108	3.55855	1.3323687	6.9025874	0.91787976	18.947866	-0.0082173	7.2812533	9.768989	-18.644447	36000	1.2752016e-08	79.1096	1.2957205	-0.020995686	1.3923557	0.0056896834	0.0	5120.452979326248
9	1.6966252	0.0	37.0	0.0	0.38947368	0.10003553	9.836845	22.449995	-16.534233	3.432615	1.3109723	6.5250173	0.916916	18.863157	-0.849148	2.932158	4.530149	-3.8249516	40000	5.0069215e-08	72.71698	0.54378736	-0.016238105	1.3975099	0.006351238	0.0	5703.2347819805145
