Epoch	AveragePenalty	StdPenalty	AverageCrash_counter	StdCrash_counter	Crash_ratio	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	LossVC	DeltaLossPi	DeltaLossV	DeltaLossVC	Entropy	KL	ClipFrac	StopIter	Time
17	1.8549887	0.0	48.0	0.0	0.25	13.6033125	9.333668	28.8112	-10.046349	2.3841653	1.0431129	5.7573433	0.90975827	20.697916	11.369471	3.2914035	18.747341	-0.35542065	72000	-1.8626451e-09	36.104057	0.56658703	-0.00700715	-3.6985145	-0.028512359	0.7244544	0.0038458162	0.059249997	79.0	3639.5781750679016
18	1.8988278	0.0	55.0	0.0	0.2849741	13.63006	10.071	29.185896	-11.101162	2.4478633	1.0267649	6.1711245	0.66762865	20.58031	11.326894	2.983031	16.446407	-2.2595994	76000	1.4901161e-08	37.428543	0.5147659	-0.006478955	-3.403737	-0.065089285	0.657254	0.0044830544	0.041	79.0	3830.897885084152
19	1.942395	0.0	59.0	0.0	0.3041237	13.356979	10.200921	28.915312	-9.868255	2.4772382	1.0124856	4.9292307	0.92831117	20.268042	11.531399	3.4585366	17.950998	-1.1646945	80000	8.381903e-09	37.018944	0.5009825	-0.008945547	-2.4512167	-0.03704808	0.650617	0.0061134044	0.058999997	79.0	4016.1813299655914
20	1.9854897	0.0	46.0	0.0	0.24468085	14.930618	9.752412	27.657082	-8.054797	2.2861688	0.97722393	5.111458	0.66756654	21.026596	11.600161	3.624998	18.397326	-3.6575167	84000	9.313226e-09	37.941147	0.5126621	-0.007964501	-5.0226502	-0.07523017	0.62510467	0.0068590366	0.05025	79.0	4202.160782337189
21	2.0281615	0.0	43.0	0.0	0.22513089	15.724286	9.710695	28.238066	-9.157027	2.2694044	0.9690771	4.7125306	0.6665978	20.685863	12.377592	3.095794	19.41437	-1.4504671	88000	-9.313226e-09	30.350552	0.3838458	-0.007996624	-5.639111	-0.052235983	0.59786797	0.005068803	0.04425	79.0	4381.469476938248
22	2.0705988	0.0	53.0	0.0	0.27319586	14.709302	9.931609	30.266495	-7.6576133	2.360283	1.0509323	5.385247	0.9098419	20.572165	12.301601	3.9875798	20.097624	-2.4181352	92000	-1.3038516e-08	34.250473	0.5210607	-0.007186773	-4.88783	-0.07645723	0.5811699	0.012200704	0.03375	26.0	4569.22324681282
23	2.112856	0.0	49.0	0.0	0.2565445	15.71162	9.731069	28.857298	-8.22041	2.3684552	0.98767126	4.890512	0.8826121	20.685863	12.299904	4.007819	24.053667	-6.126445	96000	-2.7939677e-09	33.03174	0.431161	-0.008352047	-3.4491897	-0.056616142	0.56510997	0.010908192	0.04275	79.0	4756.275687217712
24	2.1551056	0.0	56.0	0.0	0.2871795	14.535381	9.648684	27.81718	-5.499927	2.469049	0.9814053	4.9603815	0.899044	20.205128	12.437129	4.1980352	19.770073	-4.8954296	100000	7.450581e-09	27.388523	0.36080194	-0.008492449	-4.008545	-0.04414506	0.578422	0.012100025	0.05725	42.0	4944.226516246796
25	2.1974297	0.0	57.0	0.0	0.29081634	15.396342	10.020256	32.670914	-6.540752	2.5179935	1.012831	5.3543315	0.91106457	20.280613	11.9108715	4.519813	19.099648	-4.0702486	104000	7.450581e-09	30.467812	0.40773576	-0.008006862	-3.835484	-0.038197868	0.5650021	0.0036524807	0.04575	79.0	5126.910880327225
26	2.2393498	0.0	42.0	0.0	0.21989529	17.154028	9.324463	29.699223	-2.3644454	2.169275	0.9716575	4.8215957	0.90890783	20.712042	12.445869	4.4328923	20.66935	-2.5850854	108000	-1.4901161e-08	24.41403	0.29206267	-0.008141658	-4.9515176	-0.06814957	0.5452926	0.0072527993	0.06725	79.0	5309.705968618393
