Epoch	penalty	Crash_ratio	alpha	entropy	critic1	critic2	cost	LossPi	alpha_loss	critic1_loss	critic2_loss	cost_loss	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	Buffer_size	TotalEnvInteracts	Time
1	1.0400769	0.6197183	0.951675	1.6071885	1.0621656	1.0706799	0.02397059	-2.5532842	-0.3300005	0.3049226	0.29528022	0.0197639	-0.2993255	8.552804	21.087317	-12.854442	4.454859	1.4443455	10.087879	0.9078997	16.640844	6000	4000.0	238.70715427398682
2	1.128815	0.67741936	0.86112446	1.6042659	1.1451294	1.1448535	0.036104705	-2.478183	-0.99016124	0.30819348	0.30668592	0.021424023	-3.579046	29.73861	21.509125	-276.6368	4.685957	1.4180076	9.37246	0.5	28.064516	7000	8000.0	446.8006258010864
3	1.245126	0.65829146	0.7792061	1.6000717	1.0773456	1.0772246	0.050126366	-2.2530706	-1.6492866	0.38079944	0.37868604	0.024087882	-1.6541274	21.308481	22.72128	-276.59265	4.494892	1.2546908	8.389233	1.1571604	21.924623	8000	12000.0	654.1976342201233
4	1.3672988	0.6754386	0.70509803	1.5934639	1.03878	1.0385576	0.06768421	-2.061011	-2.3065367	0.43698153	0.43478253	0.028138421	1.7021174	9.241742	23.125692	-13.796351	4.548952	1.320568	9.045666	1.1560785	17.64035	9000	16000.0	856.5897550582886
5	1.4857501	0.6171171	0.63807046	1.582179	1.0266626	1.0265402	0.082057804	-1.9109378	-2.9600568	0.52649623	0.52514225	0.029818516	3.3080554	9.568737	25.561794	-14.690142	4.49472	1.4091089	8.714991	0.9046638	18.0	10000	20000.0	1059.0894856452942
6	1.6012127	0.60119045	0.5774407	1.5684872	1.0198654	1.0196811	0.09638312	-1.7742203	-3.6096606	0.5563434	0.55561244	0.030793926	4.687303	9.211827	23.065891	-12.26847	4.4526877	1.2589394	8.459301	1.4416912	18.172619	11000	24000.0	1274.656810283661
7	1.7124141	0.6136364	0.5225944	1.5538361	1.0355413	1.0353638	0.107732974	-1.6715814	-4.255699	0.61114293	0.61052686	0.030419288	3.3198225	20.459234	24.207508	-265.62427	4.379527	1.3531439	8.75241	0.5	22.4	12000	28000.0	1477.486997127533
8	1.8221455	0.5915493	0.47299007	1.5281339	1.061229	1.0610713	0.12032177	-1.5851781	-4.8900256	0.65813905	0.6577649	0.030754795	6.399733	9.644023	27.005255	-12.827904	4.511477	1.2292017	7.835046	1.4459664	18.83568	13000	32000.0	1678.1499028205872
9	1.9298083	0.63255817	0.42812523	1.5018982	1.0920137	1.091696	0.13004762	-1.5139892	-5.518226	0.68987864	0.68952644	0.029789684	6.668342	8.738826	25.393293	-12.348078	4.5308986	1.4017861	8.064031	0.9275906	18.627907	14000	36000.0	1880.6661791801453
10	2.0359483	0.57281554	0.38755536	1.4645749	1.1286463	1.1281719	0.13927072	-1.4549344	-6.130062	0.70497817	0.7048702	0.029214695	8.136312	9.372086	24.635323	-11.232153	4.400678	1.4099879	8.247837	1.1916248	19.354368	15000	40000.0	2084.8126072883606
11	2.140393	0.4852941	0.35086715	1.4250124	1.1778291	1.1774096	0.14499196	-1.4243779	-6.731547	0.75641227	0.75666153	0.02832071	10.203638	9.51752	26.664097	-12.338627	4.3721237	1.3030599	7.7342167	1.5681467	19.740196	16000	44000.0	2295.209131717682
12	2.2431343	0.47738692	0.3176814	1.3728716	1.2315018	1.2307502	0.1506595	-1.4038682	-7.309972	0.779473	0.77999985	0.027676877	10.958401	9.106084	26.184088	-12.515688	4.402032	1.3733977	8.262623	1.4598508	19.964825	17000	48000.0	2505.0213379859924
13	2.344768	0.48241207	0.28766057	1.3264396	1.2819966	1.2814744	0.15392713	-1.3881472	-7.884708	0.8029175	0.8033116	0.027263766	11.155463	8.8218565	28.001286	-12.224868	4.4257293	1.3499049	7.9930196	1.4474769	20.140703	18000	52000.0	2710.438500881195
14	2.445294	0.41624364	0.26049608	1.2668552	1.3420252	1.3411757	0.1561378	-1.3934162	-8.432078	0.8225589	0.82263035	0.026567565	12.525105	8.875367	28.159143	-10.890625	4.267034	1.310807	8.67715	1.1635389	20.38071	19000	56000.0	2922.7072808742523
