Epoch	AverageCrash_counter	StdCrash_counter	Crash_ratio	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	LossCV	DeltaLossPi	DeltaLossV	DeltaLossCV	Entropy	KL	ClipFrac	StopIter	Time
0	103.0	0.0	0.66883117	-2.3774502	7.8254247	17.244553	-15.480787	4.682761	1.302135	8.022996	2.181468	16.837662	0.02911776	0.025995942	0.0893711	-0.083577886	4000	1.7881393e-07	277.2977	8.77017	-0.047858536	-24.981163	-7.108707	1.6078274	0.013258774	0.18375	17.0	502.60417008399963
1	91.0	0.0	0.68421054	-1.1682853	8.506705	21.709436	-13.351071	4.427778	1.275289	7.4783106	0.9067439	16.135338	-1.3981487	0.2687125	-0.8566835	-2.4638693	8000	-1.1920929e-07	346.6674	1.1552573	-0.06874925	-73.62257	-0.33532774	1.5973994	0.013321197	0.16399999	17.0	995.5764982700348
2	124.0	0.0	0.6138614	-0.41329882	8.83774	25.71689	-13.101449	4.242936	1.3039442	8.380795	1.3879782	16.316832	-2.5574822	1.8532462	0.6574833	-8.837014	12000	-7.450581e-09	117.92012	1.2212824	-0.073567286	-11.574272	-0.022997081	1.5556579	0.014040325	0.34375	14.0	1472.1934607028961
3	147.0	0.0	0.62025315	-0.7984477	8.620467	23.107979	-11.989688	3.7991934	1.2836058	7.365639	0.88060373	15.443038	-0.289982	2.91024	4.2622943	-6.712387	16000	2.9802322e-08	93.510216	1.2959721	-0.04427269	-3.8706284	-0.110553384	1.4870121	0.012934636	0.11575	11.0	1934.8464274406433
4	163.0	0.0	0.6392157	-0.9731231	8.721502	23.336351	-15.612945	3.776959	1.2460452	7.3275857	0.91277254	15.050981	0.12483423	2.7078974	4.708606	-6.0282054	20000	2.2351742e-08	76.314285	1.3491086	-0.044349186	-3.9248924	-0.03633231	1.4064262	0.01315327	0.11225	9.0	2388.627553462982
5	150.0	0.0	0.61728394	0.5510127	9.052066	23.92218	-12.348726	3.5779436	1.218211	6.945402	0.9078244	15.275721	0.25981337	2.4292622	4.2508616	-5.1678085	24000	0.0	79.512115	1.2413712	-0.045905516	-3.784542	-0.054384887	1.3150209	0.0124274865	0.15825	10.0	2836.004287004471
6	84.0	0.0	0.56	1.8220831	9.9924965	25.277407	-12.035397	3.3365145	1.2781448	6.365224	0.65324	15.573334	-0.8498883	3.5775604	5.847849	-4.606886	28000	-5.9604645e-08	190.02779	0.78683066	-0.06363341	-56.120045	-0.03276109	1.3211349	0.013480408	0.13575	14.0	3327.2071793079376
7	127.0	0.0	0.526971	3.2208936	10.102346	26.614063	-13.014684	3.269735	1.3113542	6.6942773	0.6676626	16.543568	1.4290347	4.558872	7.7179747	-9.9754	32000	-2.6077032e-08	96.315506	1.278139	-0.029412948	-16.345268	-0.027107358	1.0505488	0.012058854	0.15200001	13.0	3765.170407772064
8	73.0	0.0	0.5530303	3.6342201	10.676412	27.332642	-12.748344	3.2572381	1.2708545	5.714842	0.66770554	17.14394	-1.4806108	6.5849123	12.224518	-7.837009	36000	-1.4901161e-08	115.94998	0.5747869	-0.043140516	-14.640537	-0.0145371035	1.1328409	0.013590736	0.0815	13.0	4270.707034111023
9	104.0	0.0	0.460177	5.3792195	10.535893	27.827368	-12.416904	2.9540238	1.3678783	6.179832	0.67387867	17.566372	2.4520772	5.757681	10.375661	-10.643416	40000	1.4901161e-08	109.38614	1.3272778	-0.04635767	-20.799355	-0.06587863	0.8369825	0.012052376	0.091749996	11.0	4714.643755912781
10	82.0	0.0	0.38497654	7.030903	11.004072	28.029366	-11.575007	2.864914	1.3556482	6.1220245	0.66685843	18.732395	4.3095527	5.229124	10.541386	-7.568556	44000	1.6763806e-08	94.034325	1.0677279	-0.033379383	-15.17569	-0.034157127	0.71444076	0.012216138	0.126	19.0	5157.146041631699
11	88.0	0.0	0.41314554	7.019545	10.724827	29.758497	-11.125806	2.831566	1.2196802	5.7589035	0.91338617	18.652582	5.7949357	4.6747727	11.016981	-4.741509	48000	1.4901161e-08	82.32211	0.91931283	-0.07486375	-9.996742	-0.016094446	0.6525602	0.016284978	0.151	11.0	5613.083261489868
12	69.0	0.0	0.3556701	7.504348	9.794103	29.33991	-11.0627775	2.8742843	1.1504723	6.3110514	0.9083709	20.453608	5.907125	4.1805077	10.668606	-2.482665	52000	-2.9802322e-08	74.24463	0.9499897	-0.03285338	-10.874538	-0.060138047	0.7619543	0.012368588	0.17025	6.0	6091.248245239258
13	66.0	0.0	0.3529412	6.6046643	9.653311	26.406311	-11.977154	3.0504506	1.0829444	6.370772	0.94648916	21.229946	6.6279383	3.3961432	10.956512	-0.17024668	56000	-2.9802322e-08	65.35983	0.81714725	-0.055065647	-8.568676	-0.033170998	0.8373036	0.0131461015	0.22275	18.0	6589.19943356514
14	63.0	0.0	0.3368984	7.4418926	10.417616	26.751713	-12.242239	2.9128654	1.1067544	5.767164	0.930178	21.342245	6.47959	2.5224683	10.829888	1.7989639	60000	-1.4901161e-08	57.70736	0.8042365	-0.025510535	-5.2763786	-0.0225735	0.733415	0.014904611	0.18525	8.0	7083.298562288284
15	78.0	0.0	0.38423645	7.1286716	9.825619	26.896784	-11.788277	2.8606305	1.1537606	5.6650014	0.6745564	19.615763	7.342695	2.1245613	11.613099	3.5778017	64000	-1.4901161e-08	47.748707	0.7984443	-0.030875832	-2.8901138	-0.009473085	0.62128854	0.0130861625	0.14	8.0	7566.192944765091
16	93.0	0.0	0.41704035	6.424761	11.02069	29.55244	-12.290401	2.7226431	1.2879527	6.394882	0.9098123	17.87444	7.374545	2.1851125	12.053445	2.326536	68000	-4.4703484e-08	53.97792	0.96624553	-0.015842885	-2.1966076	-0.04390496	0.5111577	0.013473808	0.108500004	12.0	8009.517184257507
17	107.0	0.0	0.5431472	5.417205	12.084554	28.321053	-11.147415	2.934378	1.3404902	5.5647407	0.6673628	16.248732	7.045622	2.231467	14.1302	-0.50546163	72000	0.0	73.09442	0.84826905	-0.08182053	-8.383461	-0.059391588	0.486123	0.014502743	0.12125	37.0	8484.031086921692
18	81.0	0.0	0.3875598	6.7492876	10.752881	28.320927	-11.781472	2.7591722	1.2125334	5.9014487	0.9226641	19.047848	6.2871957	3.2865033	12.175281	-2.8538833	76000	0.0	51.991486	0.83980525	-0.035765596	-3.8352737	-0.031914055	0.5325217	0.012872953	0.113749996	7.0	8939.193968296051
19	53.0	0.0	0.2819149	9.679714	9.316697	28.952915	-10.226747	2.5758374	1.1250764	5.3340282	0.92277163	21.015957	7.834693	2.7551627	12.798975	-1.2222121	80000	-2.7939677e-08	43.408783	0.72253954	-0.03774809	-4.2979126	-0.02207014	0.65137625	0.015424594	0.15224999	9.0	9412.968245744705
20	52.0	0.0	0.30057803	7.3087955	9.217123	28.243433	-11.17637	2.975497	1.0317246	5.546413	0.91314125	22.947977	9.270673	2.1475391	12.908706	0.5808654	84000	0.0	45.773468	0.8442528	-0.031422183	-5.8699245	-0.11455944	0.73821497	0.01349448	0.1615	28.0	9926.390553712845
21	63.0	0.0	0.3559322	8.369729	9.867182	29.489738	-10.976231	2.785379	1.1108946	5.782408	0.9217949	21.0113	7.6708717	1.8985507	13.50813	-0.11635868	88000	-1.4901161e-08	56.999702	0.6887187	-0.03504673	-1.5615559	-0.01624471	0.6661364	0.013015684	0.14775	11.0	10413.115973711014
22	69.0	0.0	0.345	8.842893	10.2965975	29.598284	-11.082632	2.6550224	1.176418	5.5077367	0.9220499	19.955	8.0351515	1.4395989	11.581035	2.950376	92000	0.0	47.337437	0.7758478	-0.024070144	-2.7260895	-0.020800292	0.5418807	0.012974663	0.120000005	9.0	10879.419378757477
23	94.0	0.0	0.42152467	6.764161	10.838338	31.534595	-11.982679	2.6930304	1.2714479	5.4131804	0.66681623	17.87444	8.8107395	1.8392442	12.791613	1.9926529	96000	5.9604645e-08	53.725456	0.94831634	-0.016540691	-2.246664	-0.013242871	0.44298	0.013607359	0.0985	17.0	11315.199108600616
24	126.0	0.0	0.5185185	5.09909	11.201461	29.70024	-12.252456	2.8437836	1.3769388	6.2939706	0.56094056	16.419754	7.5658193	2.1216822	12.232705	-0.1044763	100000	1.8626451e-08	54.57232	1.1089334	-0.06684165	-4.4885845	-0.06438929	0.32594773	0.014232887	0.0805	39.0	11740.807307004929
25	85.0	0.0	0.39170507	8.4736805	11.109145	29.627436	-10.927776	2.7204685	1.2597411	5.856038	0.6676068	18.37788	7.21311	3.0994105	12.600249	-4.6178193	104000	5.9604645e-08	50.997177	0.81739044	-0.06993259	-4.171095	-0.012771815	0.41174084	0.017457094	0.13100001	8.0	12177.352812051773
26	65.0	0.0	0.33505154	9.333728	10.387951	29.073711	-10.640981	2.7354	1.1809453	5.481897	0.66756374	20.546392	9.292154	2.488107	13.574238	-4.863939	108000	4.4703484e-08	44.37809	0.7474456	-0.03730601	-1.1302643	-0.018272132	0.53210527	0.015312005	0.12674999	5.0	12642.093514680862
27	59.0	0.0	0.32960895	8.011449	9.672436	29.29908	-11.663197	2.788636	1.0745624	6.0199842	0.9300211	22.234636	9.501989	1.8558381	12.728548	-3.3910825	112000	0.0	41.433575	0.6540389	-0.03749594	-2.2886066	-0.014548898	0.60110104	0.013123876	0.1785	6.0	13133.292220830917
28	52.0	0.0	0.30232558	7.7786417	8.734339	26.795647	-11.949994	2.8997147	0.9244233	5.1812816	0.92467076	23.168604	8.756467	1.6429925	11.798544	-1.4358072	116000	-2.9802322e-08	37.07168	0.62163186	-0.05593332	-1.4671421	-0.028473258	0.6751208	0.014188822	0.17500001	19.0	13650.55368423462
29	46.0	0.0	0.26589596	10.121434	9.026998	27.332699	-10.772979	2.7093513	1.1199247	6.9238806	0.9161937	23.075144	8.281287	1.813353	11.426718	0.46071896	120000	-1.4901161e-08	37.48152	0.6670438	-0.043644518	-3.0706062	-0.052771896	0.5952302	0.012503774	0.16025001	8.0	14148.460448741913
30	74.0	0.0	0.37185928	8.068172	10.060574	32.0857	-11.152154	2.7508883	1.1421732	5.63945	0.6667457	19.964825	9.4149685	1.5246592	12.426335	1.3450667	124000	4.4703484e-08	42.18325	0.7517806	-0.044082552	-0.9063568	-0.014016837	0.5013517	0.015433677	0.171	9.0	14613.23187661171
31	76.0	0.0	0.3653846	9.368	11.775905	30.401262	-11.287091	2.6156843	1.1869755	5.3609715	0.6691265	19.10577	8.776834	1.9190031	12.333562	-0.61018133	128000	7.450581e-09	54.045628	0.73927057	-0.011494257	-2.4037094	-0.037644	0.39346507	0.013049934	0.088750005	10.0	15054.615136861801
32	115.0	0.0	0.491453	6.2669425	11.09661	29.618021	-10.479091	2.7842193	1.330506	5.681263	0.66758335	16.991453	9.367877	2.1880512	13.495588	-2.9186306	132000	-7.4505806e-08	54.681885	0.99944615	-0.08456567	-5.399061	-0.0423896	0.30850977	0.013569468	0.10375	29.0	15483.710783720016
33	75.0	0.0	0.36057693	9.471304	10.648222	29.973743	-11.096747	2.542729	1.2437441	6.071855	0.9085917	19.129808	7.945918	2.9026675	12.839711	-5.1597986	136000	-2.0489097e-08	45.024933	0.813963	-0.06526451	-3.1073704	-0.050251245	0.40796977	0.017882556	0.16225001	7.0	15921.213146686554
34	61.0	0.0	0.31937173	10.101596	10.075333	30.700436	-11.00448	2.636798	1.1230153	5.9508433	0.6675285	20.848167	9.741351	2.1931036	13.5734625	-3.9041686	140000	0.0	44.636566	0.6646227	-0.014043361	-1.1099777	-0.04131615	0.5040347	0.014780164	0.13875	6.0	16381.162229299545
35	52.0	0.0	0.29545453	9.844584	9.895978	30.687601	-12.513761	2.661769	1.081682	5.864641	0.92900085	22.568182	9.873678	1.7274108	13.01169	-2.632172	144000	2.6077032e-08	43.294765	0.65146524	-0.054165132	-1.4925575	-0.019998312	0.56101066	0.014375367	0.1685	22.0	16868.22484779358
36	49.0	0.0	0.26344085	10.643167	10.12482	30.0595	-12.661428	2.5385664	1.1143775	5.300761	0.9099461	21.413979	9.309578	1.4963894	12.272459	-1.0430697	148000	-4.4703484e-08	42.20569	0.59318155	-0.05452306	-1.4516754	-0.020114541	0.47886175	0.013588827	0.14875	7.0	17331.719767570496
37	76.0	0.0	0.36893204	9.204639	10.471777	31.343294	-11.489422	2.670466	1.1155623	5.1175537	0.56089216	19.23301	9.716823	1.6862043	12.832331	1.0259992	152000	-5.5879354e-08	43.71486	0.6457655	-0.007660538	-0.6872883	-0.02808693	0.3894543	0.012622251	0.105000004	9.0	17772.082547187805
38	104.0	0.0	0.45021644	7.7226152	10.237635	29.233349	-10.2742405	2.6667538	1.2708001	5.5598626	0.5608067	17.251081	9.249775	2.237178	13.253283	0.6201731	156000	3.731111e-08	46.82248	0.93244755	-0.026291102	-2.4802952	-0.01934442	0.32633287	0.012140824	0.11	14.0	18197.907732486725
39	125.0	0.0	0.5102041	7.117662	12.279475	29.68595	-10.884271	2.768332	1.2929994	5.425358	0.667546	16.244898	8.394939	2.2864807	12.4914255	-1.8012455	160000	0.0	60.26084	0.981219	-0.11763224	-5.760481	-0.04761046	0.23995505	0.017017353	0.08275	20.0	18610.06784749031
