Epoch	penalty	Crash_ratio	alpha	entropy	critic1	critic2	cost	LossPi	alpha_loss	critic1_loss	critic2_loss	cost_loss	sigma	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	Buffer_size	TotalEnvInteracts	Time
1	1.0100136	0.44954127	0.95283705	1.2050477	1.0239937	1.0347183	0.23241363	-1.9715744	-0.22579196	3.3215048	3.3200107	0.13790075	2.0000203e-05	6.371228	8.670858	23.259733	-7.36725	1.1321101	1.1048999	4.1	0.0	18.091743	5998	4000.0	275.15460443496704
2	1.0301006	0.28921568	0.8661969	1.145704	1.2899508	1.2911897	0.24234577	-2.16087	-0.67711866	3.17005	3.1630762	0.10680629	2.0200201e-05	10.669645	8.337566	24.745577	-7.5695477	0.71029407	1.010941	3.0	0.0	19.661764	6998	8000.0	501.8573582172394
3	1.0503664	0.32317072	0.7846814	1.0814313	1.3770385	1.3776709	0.24057297	-2.2135465	-1.1520222	3.2284513	3.225327	0.09392287	2.0402204e-05	11.353821	9.017138	25.193731	-7.7259583	0.77256095	1.0754651	3.3	0.0	19.353659	8000	12000.0	748.6669211387634
4	1.0708709	0.24	0.71455574	0.9948043	1.4309646	1.4310945	0.24378183	-2.0640006	-1.4691322	3.2792377	3.2786455	0.08227095	2.0606221e-05	11.471497	13.484098	25.770615	-131.7204	0.58285713	0.9689127	3.2	0.0	25.44	8998	16000.0	988.0468847751617
5	1.0916135	0.25581396	0.647188	1.0124973	1.5745589	1.5743196	0.24775	-2.2263858	-2.0665102	3.2909355	3.292673	0.07142935	2.081229e-05	12.010591	16.365608	24.52304	-175.78778	0.5796511	0.9414202	2.6	0.0	25.406977	9998	20000.0	1224.2241697311401
6	1.1125349	0.23529412	0.58750194	0.8508395	1.6592151	1.6592634	0.25571537	-2.2190995	-2.2472339	3.332827	3.337812	0.06269866	2.1020413e-05	13.558224	7.3391976	25.546478	-5.1283097	0.5382353	0.92014956	3.1	0.0	19.612745	10998	24000.0	1450.0747339725494
7	1.1336353	0.24489796	0.53437626	0.7688861	1.7986118	1.798615	0.2639929	-2.3658037	-2.6711142	3.2664456	3.2721272	0.05544024	2.1230615e-05	14.100117	7.3939223	24.872292	-3.8467832	0.5841837	0.9549574	2.7	0.0	20.397959	11998	28000.0	1682.125586271286
8	1.1549742	0.22222222	0.4854098	0.69992507	1.9572198	1.9574815	0.26707435	-2.460397	-2.9748344	3.14495	3.151088	0.050358705	2.1442926e-05	14.9705	7.103989	28.047575	-1.0006691	0.50353533	0.92306995	2.7	0.0	20.227272	12998	32000.0	1909.3845562934875
9	1.1765515	0.17098446	0.4414393	0.6218369	2.175976	2.1762705	0.27378207	-2.7375205	-3.453838	3.0341654	3.040998	0.045844797	2.1657346e-05	16.013075	6.476081	24.504747	-1.065079	0.39274612	0.83910215	2.7	0.0	20.735752	13998	36000.0	2136.0723843574524
10	1.1983074	0.17435898	0.40014288	0.56475365	2.3407795	2.340521	0.27649418	-2.8020518	-3.6975071	2.879195	2.8852067	0.04220044	2.1873928e-05	16.53827	6.683446	24.662397	-2.3812885	0.3917949	0.83465594	2.6	0.0	20.512821	14998	40000.0	2360.4454786777496
11	1.2202421	0.17435898	0.36350513	0.53262025	2.5784848	2.5777545	0.27805343	-3.0347848	-4.184221	2.7711713	2.778171	0.038987197	2.2092669e-05	17.053514	6.8359175	26.41867	-2.147066	0.40102562	0.83488	2.6	0.0	20.6	15998	44000.0	2584.924349308014
12	1.2424155	0.1875	0.33002728	0.48441	2.7479763	2.7478902	0.27894104	-3.0763843	-4.3072314	2.6239862	2.6308897	0.03751016	2.2313585e-05	16.981907	7.0467744	25.384762	-0.95409906	0.43645835	0.8798816	2.5	0.0	20.666666	16998	48000.0	2809.6862301826477
13	1.2648271	0.21827412	0.29983234	0.4337381	2.9641473	2.9638345	0.27952105	-3.3112528	-4.7422624	2.515647	2.5228095	0.03612233	2.253672e-05	16.925896	7.214248	25.738457	0.82641804	0.49187818	0.9174756	2.6	0.0	20.243654	17998	52000.0	3038.6824872493744
14	1.2874773	0.18686868	0.27158922	0.39050615	3.1913774	3.191099	0.27987915	-3.518244	-5.2007284	2.4118335	2.4180572	0.034645543	2.2762097e-05	17.783567	6.9704204	26.53045	1.5771967	0.41717175	0.86568016	2.6	0.0	20.38889	18998	56000.0	3267.194283723831
15	1.3103659	0.21938775	0.24716972	0.36352742	3.3464243	3.3461528	0.27796677	-3.5334039	-5.2306066	2.2944374	2.2979555	0.033009667	2.2989716e-05	17.2818	7.367314	30.322084	-2.072926	0.49132654	0.9200578	2.6	0.0	20.362246	19998	60000.0	3493.2039527893066
16	1.3334926	0.23232323	0.22440882	0.30887946	3.5976226	3.597557	0.27821034	-3.8539052	-5.5830574	2.2315018	2.2323587	0.031968936	2.3219614e-05	17.816277	7.819055	27.698742	0.8328991	0.5277778	0.9530843	2.8	0.0	20.257576	21000	64000.0	3719.5286128520966
17	1.3568581	0.15625	0.20348734	0.29899096	3.7815597	3.782111	0.27848607	-3.9904096	-6.1336474	2.1563725	2.155225	0.031549696	2.3451808e-05	18.772837	6.6412535	27.766516	0.96171093	0.36510417	0.83384216	2.6	0.0	20.786459	21999	68000.0	3945.223567008972
18	1.3804619	0.24257426	0.18451191	0.25663644	4.011623	4.011971	0.27980396	-4.2359114	-6.5733175	2.0904741	2.0831256	0.030416066	2.368633e-05	17.90171	7.7676635	28.204346	1.5021437	0.54851484	0.95623165	2.7	0.0	19.925743	22999	72000.0	4165.349426746368
19	1.4043041	0.20408164	0.1673957	0.21533552	4.1529627	4.1529493	0.27740106	-4.2300906	-6.379128	2.045548	2.0343127	0.029737484	2.3923189e-05	18.597414	7.4540877	29.47022	0.7307462	0.46530613	0.90802574	2.6	0.0	20.239796	23998	76000.0	4388.608599901199
20	1.4283848	0.17857143	0.1520061	0.20325863	4.434628	4.4344482	0.27658674	-4.608296	-7.2129426	2.0254297	2.0092702	0.029391622	2.4162418e-05	19.048204	7.317966	29.251476	1.494898	0.4178571	0.8700443	2.7	0.0	20.44898	24998	80000.0	4615.776439189911
21	1.4527038	0.23115578	0.13795032	0.1880158	4.525173	4.5253935	0.27839777	-4.5104475	-7.1068106	1.9198924	1.901288	0.028640434	2.4404042e-05	18.34347	7.9656773	29.9419	1.7926142	0.55175877	0.9767058	2.8	0.0	20.045227	25998	84000.0	4843.050638914108
22	1.4772612	0.12631579	0.12545805	0.16455472	4.748639	4.748748	0.2760465	-4.7304597	-7.3998013	1.9017652	1.8788259	0.028180908	2.4648085e-05	20.687439	6.4131227	28.973455	2.5408666	0.29	0.7544639	2.6	0.0	20.994738	26998	88000.0	5068.508333444595
23	1.5020573	0.11578947	0.11381531	0.1470165	5.0096965	5.010152	0.27572724	-5.0788016	-7.9280148	1.8795763	1.851062	0.0277468	2.4894562e-05	20.999931	6.0850086	29.309734	2.612697	0.26736844	0.71214163	2.7	0.0	21.121052	27998	92000.0	5289.746827125549
24	1.5270915	0.1632653	0.10332258	0.13164572	5.1675653	5.1665516	0.27633882	-5.1348634	-7.9599795	1.8814368	1.8514118	0.027280206	2.5143516e-05	19.920124	7.3180733	29.656443	1.7237655	0.3821428	0.8466847	2.6	0.0	20.535715	28998	96000.0	5511.467253923416
25	1.5523642	0.11764706	0.09372643	0.124059126	5.3727045	5.3733077	0.27776396	-5.357164	-8.520944	1.8338355	1.8017638	0.027072523	2.5394946e-05	20.855837	6.5753846	30.008543	2.318869	0.27433154	0.7411395	2.9	0.0	21.160427	29998	100000.0	5732.101000070572
26	1.5778755	0.11578947	0.08500821	0.11464098	5.587272	5.586788	0.27843574	-5.570073	-8.913139	1.8359939	1.8006443	0.027049541	2.5648904e-05	20.880068	6.249468	29.476013	1.4849861	0.26894736	0.71143585	2.7	0.0	21.178947	30998	104000.0	5954.7444977760315
27	1.603625	0.19796954	0.07709541	0.11029708	5.7480197	5.7475696	0.27858916	-5.629246	-8.801945	1.7751951	1.7394503	0.02638614	2.5905381e-05	19.18893	7.892695	29.873781	-1.630825	0.46852794	0.9208936	2.7	0.0	20.360407	31998	108000.0	6178.899485111237
28	1.629613	0.15104167	0.06999826	0.10394805	6.025428	6.0249453	0.276199	-6.025853	-9.652717	1.8501014	1.8107908	0.026408445	2.6164438e-05	20.36519	7.058134	30.160713	0.446468	0.34635416	0.7901656	2.5	0.0	20.697916	32998	112000.0	6402.80961728096
29	1.6558992	0.13756613	0.06340025	0.09846432	6.1511416	6.1509523	0.27731466	-6.0524855	-9.719311	1.8075573	1.7722576	0.025835937	2.6426076e-05	20.766752	6.804691	30.303848	1.9065462	0.3253968	0.8031621	2.8	0.0	21.195766	33998	116000.0	6626.296324253082
30	1.6824832	0.14136125	0.057629813	0.090670615	6.287224	6.287146	0.2814577	-6.106904	-9.893078	1.7657374	1.7297834	0.025895728	2.6690344e-05	20.16152	6.5408297	29.848713	2.422343	0.33979058	0.81919897	2.8	0.0	21.031414	34998	120000.0	6850.699873924255
31	1.7093056	0.20103092	0.052310493	0.09073634	6.539577	6.539161	0.27989462	-6.436625	-10.381244	1.7928027	1.7548116	0.02582284	2.6957256e-05	19.200737	7.682948	28.906507	-0.58250463	0.4737113	0.9327819	2.8	0.0	20.613401	35998	124000.0	7075.812619924545
32	1.7363665	0.14814815	0.047243875	0.09108942	6.8232374	6.8222833	0.2788223	-6.8236094	-11.499083	1.9304146	1.8888527	0.026359998	2.722682e-05	20.482838	7.0054674	32.821106	2.7040122	0.34973544	0.8232484	2.8	0.0	20.984127	36998	128000.0	7300.142521619797
33	1.7637256	0.11170213	0.042827263	0.085847646	6.942711	6.943127	0.28029543	-6.8504877	-11.224977	1.8239096	1.7872385	0.025506275	2.749909e-05	20.779171	6.235659	29.08011	2.3827584	0.25904253	0.7124076	2.7	0.0	21.372341	37998	132000.0	7527.270802974701
34	1.7913826	0.101604275	0.03881359	0.08699861	7.1756377	7.176674	0.27688873	-7.141679	-11.736113	1.8999598	1.8646799	0.02533777	2.7774084e-05	21.271772	6.230187	29.406155	1.8744245	0.2449198	0.7061331	2.7	0.0	21.486631	38998	136000.0	7755.8168156147
35	1.8192779	0.13756613	0.035259273	0.08551688	7.3142815	7.3136945	0.27786842	-7.184186	-12.0859785	1.8968757	1.861657	0.02523965	2.8051825e-05	20.815512	6.6815934	30.72212	2.959683	0.31534392	0.76222146	2.8	0.0	21.11111	40000	140000.0	7979.991496324539
36	1.8474715	0.14210527	0.031966932	0.08441145	7.501713	7.500642	0.27879876	-7.3514132	-12.083828	1.9337107	1.8996837	0.02538333	2.8332337e-05	20.424097	6.613446	28.601213	2.7127895	0.32894737	0.7919689	2.8	0.0	21.010527	40998	144000.0	8204.755447626114
37	1.8759626	0.08791209	0.029068284	0.08322087	7.5056295	7.5061564	0.28538176	-7.1075683	-11.69917	1.7275834	1.6964792	0.024492428	2.8615665e-05	21.645658	5.7868347	31.034914	2.5820997	0.20439564	0.6479743	2.9	0.0	21.906593	41998	148000.0	8431.066675662994
38	1.9046926	0.12834224	0.026376747	0.08620079	7.9247355	7.9235864	0.27239656	-7.8544664	-13.584966	2.006773	1.9718468	0.025013668	2.8901819e-05	20.849491	6.6631026	31.31459	2.4006546	0.3187166	0.79175055	2.9	0.0	21.502674	42998	152000.0	8657.971571683884
39	1.9337205	0.095744684	0.023841988	0.08466876	8.047737	8.047693	0.27368414	-7.8933425	-13.581251	1.9170754	1.8838637	0.024383526	2.9190844e-05	21.304474	5.886617	30.378738	2.5264482	0.24042551	0.6977653	3.2	0.0	21.287233	43998	156000.0	8883.43341755867
40	1.9630464	0.10752688	0.021727886	0.08032053	7.9294157	7.930565	0.28302625	-7.392939	-12.084594	1.622088	1.594946	0.02343697	2.9482737e-05	20.992434	6.070141	30.930096	2.8786528	0.27365592	0.76531297	3.2	0.0	21.553764	44998	160000.0	9109.907575368881
41	1.9926704	0.09139785	0.019716414	0.081446245	8.287252	8.28713	0.27479175	-8.02114	-13.966236	1.903847	1.8750235	0.024264285	2.9777568e-05	20.938816	5.960391	30.151926	2.236525	0.23333333	0.6918626	3.3	0.0	21.413979	45998	164000.0	9342.293257951736
42	2.0225925	0.10695187	0.017816314	0.079608865	8.493836	8.495085	0.27059454	-8.251086	-14.513631	1.9856476	1.9573714	0.0245575	3.0075353e-05	20.956427	6.3858595	29.07019	1.9161582	0.24545455	0.69260275	2.9	0.0	21.481283	46998	168000.0	9569.598403215408
