Epoch	Crash_ratio	alpha	entropy	critic1	critic2	LossPi	alpha_loss	critic1_loss	critic2_loss	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	Buffer_size	TotalEnvInteracts	Time
1	0.7291667	0.9516804	1.6049285	1.174711	1.1762807	-2.6909747	-0.3298153	0.8607163	0.8647604	-6.9043837	8.658647	17.300907	-21.829918	4.7667966	1.3638227	10.169402	1.4152691	16.533333	6000	4000.0	180.40261507034302
2	0.6853448	0.86115664	1.5958215	1.8607676	1.8607069	-3.2414558	-0.98857766	0.800853	0.8006672	-4.4685826	8.831987	19.944704	-25.017895	4.5063515	1.3481992	9.52705	0.9289383	17.24569	7000	8000.0	352.59563422203064
3	0.6755319	0.77930725	1.578293	2.4633527	2.4632466	-3.7152452	-1.642812	0.8104751	0.8089377	-3.3750753	9.4219055	18.224308	-23.788227	4.585368	1.3229455	7.7737722	1.157868	18.303192	8000	12000.0	531.1204874515533
4	0.56284153	0.7053634	1.5390946	3.029543	3.0295274	-4.1777143	-2.284667	0.8311897	0.82905805	-0.93623847	23.752192	22.013279	-290.72925	4.6681337	1.4049499	8.966131	0.9239331	24.721312	9000	16000.0	706.7817595005035
5	0.44723618	0.63864034	1.4750047	3.5621016	3.5618682	-4.6240077	-2.9055707	0.8841804	0.8830614	4.2688656	9.190183	21.405336	-16.316631	4.324716	1.3871868	8.188971	0.9881659	20.271357	10000	20000.0	881.116322517395
6	0.41968912	0.5784091	1.3946434	4.0614324	4.0613146	-5.0523605	-3.5028625	0.9396012	0.9407037	6.6192408	9.275917	22.314133	-21.206903	4.0230703	1.3510603	8.996641	1.4156125	20.58031	11000	24000.0	1053.9407985210419
7	0.41708544	0.52397346	1.3104515	4.5458302	4.5459776	-5.4796896	-4.080421	1.0114509	1.0149611	8.213583	9.456287	25.271557	-8.351383	3.9118557	1.3337528	7.1599236	0.9333987	20.150753	12000	28000.0	1223.822455406189
8	0.2631579	0.47469848	1.2369883	5.0048437	5.0047364	-5.8815346	-4.649172	1.0639607	1.0715152	11.311796	8.0120125	23.972507	-6.476236	3.4653814	1.1845114	6.6120415	1.4419992	21.131578	13000	32000.0	1392.8811204433441
9	0.3298969	0.430015	1.1705627	5.433896	5.433969	-6.2563667	-5.2097125	1.1483963	1.161277	10.707808	8.47103	25.295166	-9.271556	3.553335	1.3302691	7.478701	1.177127	20.520618	14000	36000.0	1561.5159583091736
10	0.30964467	0.38948092	1.1227363	5.8399596	5.8405604	-6.613503	-5.7755704	1.1634353	1.1782548	11.058115	9.000524	25.315434	-7.634708	3.3349566	1.2728298	6.749887	0.9155474	20.370558	15000	40000.0	1728.8666021823883
