Epoch	AveragePenalty	StdPenalty	AverageCrash_counter	StdCrash_counter	Crash_ratio	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	LossVC	DeltaLossPi	Entropy	KL	ClipFrac	Time
19	2.0871115	0.0	66.0	0.0	0.3316583	5.927807	11.515551	26.667292	-15.275944	2.735314	1.2009606	5.6132836	0.6675678	20.025126	6.95706	4.111208	13.27455	-4.7037134	80000	5.3278595e-09	44.03854	0.6826672	-0.0085216295	0.78777415	0.004596883	0.0	10831.96744132042
20	2.126349	0.0	59.0	0.0	0.30890054	6.7175446	10.724562	29.634203	-15.914418	2.6930263	1.1291112	5.155688	0.9093528	20.879581	8.052073	3.75542	14.464655	-4.1797915	84000	-9.955905e-09	40.560123	0.66676503	-0.018383153	0.74415004	0.006426136	0.0	11391.70654964447
21	2.1656556	0.0	56.0	0.0	0.30107528	6.589036	10.469055	25.014517	-16.19483	2.752164	1.1538709	6.232727	0.6669518	21.403225	8.384703	3.2140532	13.700819	-3.9886298	88000	-3.396861e-08	39.606323	0.6292746	-0.010643464	0.70532966	0.002315341	0.0	11978.161195516586
22	2.2048154	0.0	46.0	0.0	0.24731183	8.469913	10.30496	27.4134	-14.691097	2.5341065	1.1058847	5.4202523	0.6662422	21.392473	8.312735	3.3745236	14.358909	-2.9397552	92000	2.6945585e-08	36.19925	0.5459133	-0.010235087	0.7074215	0.006186489	0.0	12559.739432096481
23	2.243994	0.0	65.0	0.0	0.32994923	6.0272875	10.750934	28.295193	-15.041689	2.6463847	1.122768	5.3849015	0.6666791	20.19797	8.759304	3.1660857	14.278797	-2.5356817	96000	3.617662e-08	36.1976	0.5529287	-0.01322824	0.6483811	0.0041631726	0.0	13109.595243692398
24	2.283148	0.0	65.0	0.0	0.33163264	6.5219803	11.322691	27.0909	-15.359518	2.5867195	1.0949241	5.4923043	0.6675471	20.387754	8.049029	3.819604	14.195769	-2.7942963	100000	-1.80625e-08	39.990078	0.59501207	-0.010800725	0.7074468	0.0038827665	0.0	13671.375376701355
25	2.322442	0.0	74.0	0.0	0.36097562	6.4282618	11.017863	27.128258	-15.174361	2.7086425	1.1128188	5.633662	0.91016376	19.37561	8.047471	3.9414914	14.624262	-2.492736	104000	2.7685667e-08	40.53449	0.5397913	-0.014395634	0.6520482	0.0032657085	0.0	14227.27254652977
26	2.3618293	0.0	64.0	0.0	0.3298969	7.54805	10.613783	28.27332	-14.906934	2.6595008	1.1880051	6.0867357	0.9115983	20.572165	8.056513	3.873114	14.6989765	-2.7025664	108000	-1.619635e-08	40.36565	0.578375	-0.013692382	0.6411141	0.0027173143	0.0	14797.635169506073
27	2.401178	0.0	60.0	0.0	0.31088084	7.488448	11.035194	28.926628	-14.438431	2.534904	1.1434195	6.098905	0.66717154	20.658031	8.739539	3.3614645	13.8492	-2.4959671	112000	3.5587284e-08	36.437717	0.44989523	-0.01707065	0.5837993	0.0037019672	0.0	15357.124089241028
28	2.4406552	0.0	70.0	0.0	0.35714287	7.9534235	10.79425	27.140142	-14.121561	2.6542664	1.0978007	5.0436893	0.9085745	20.311224	8.551038	3.6989145	15.023181	-2.955331	116000	-3.0547668e-08	40.93674	0.49282727	-0.010575046	0.6309836	0.0026868517	0.0	15907.049242019653
29	2.480267	0.0	63.0	0.0	0.32307693	8.389088	10.6668215	27.00072	-16.505133	2.6524596	1.1702832	5.8313293	0.6676734	20.502563	8.509603	3.6237779	15.015515	-2.9098895	120000	1.3400079e-08	40.946842	0.4861435	-0.018452274	0.60006136	0.006158573	0.0	16477.231620550156
30	2.5197587	0.0	49.0	0.0	0.25520834	10.618993	10.48883	31.491941	-14.957693	2.4368358	1.146637	5.7675047	0.90872043	20.697916	9.480016	3.77025	16.398766	-3.22737	124000	1.5091032e-08	37.206642	0.45409852	-0.01804902	0.5832969	0.0056020804	0.0	17020.871876478195
31	2.5592487	0.0	71.0	0.0	0.34634146	9.732306	10.886207	26.875223	-13.178785	2.5061104	1.1869962	6.298304	0.5608426	19.404879	9.941178	3.197009	16.491854	-2.1764839	128000	-1.9457644e-09	37.892258	0.45637095	-0.018936282	0.5505047	0.0063623213	0.0	17563.151708841324
32	2.5986633	0.0	44.0	0.0	0.23783784	11.163664	9.961213	27.239227	-14.260536	2.4317663	1.04393	5.0721297	0.89397347	21.605406	10.043084	3.6621754	17.2098	-2.1237683	132000	-2.1648883e-10	35.49135	0.3594927	-0.014984379	0.5236565	0.0073785745	0.0	18116.500995874405
33	2.637995	0.0	57.0	0.0	0.285	11.039901	10.920026	28.159155	-13.941663	2.4046829	1.1076883	5.4958153	0.54349834	19.97	10.417518	3.078654	17.630844	-2.0646303	136000	-1.1115086e-08	35.258606	0.38765177	-0.021467779	0.5057438	0.006083849	0.0	18655.556699037552
34	2.6775486	0.0	60.0	0.0	0.30769232	10.3970995	10.520015	28.136436	-13.660978	2.6214993	1.0570087	5.6272717	0.6675188	20.451283	10.129561	3.6604702	17.838964	-2.1702397	140000	7.3179893e-09	35.5476	0.39911622	-0.021312963	0.5000813	0.005529716	0.0	19199.572994947433
35	2.7170703	0.0	52.0	0.0	0.27807486	11.622225	10.637727	27.468252	-12.178623	2.4275699	1.0323489	5.695504	0.6675817	21.352942	10.426209	3.6969578	17.344421	-4.856597	144000	2.4859187e-08	34.978714	0.3282975	-0.01426486	0.51809716	0.0046478794	0.0	19746.13637638092
36	2.7567308	0.0	60.0	0.0	0.30612245	11.461177	10.375549	28.034336	-11.789799	2.5417747	1.0743655	5.3958473	0.66629076	20.382652	10.219776	4.0034485	17.988958	-5.6256857	148000	9.781581e-09	32.542313	0.3444074	-0.021849873	0.49073598	0.004955702	0.0	20294.91908812523
37	2.7964044	0.0	46.0	0.0	0.24731183	11.655772	10.655456	28.013191	-12.548757	2.443639	1.0559378	5.9064527	0.88928956	21.408602	10.359449	4.015993	18.69004	-6.991262	152000	-3.540221e-09	33.043205	0.27796897	-0.012746823	0.4827068	0.0071186866	0.0	20845.723442316055
38	2.83607	0.0	53.0	0.0	0.27319586	12.342373	10.594564	27.03279	-11.441496	2.4162147	1.0786194	5.3323345	0.6668687	20.525774	10.755574	3.6618025	18.616594	-2.6898904	156000	-1.2272783e-09	34.456123	0.30586255	-0.013122886	0.4455706	0.0051525026	0.0	21389.47771716118
