Epoch	Crash_ratio	alpha	entropy	critic1	critic2	LossPi	alpha_loss	critic1_loss	critic2_loss	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	Buffer_size	TotalEnvInteracts	Time
1	0.5927835	0.951757	1.5714297	0.3448212	0.3442417	-1.888522	-0.32708582	2.5705519	2.568676	-2.9912338	10.247098	19.149519	-23.603067	4.4542656	1.2939997	7.676473	1.1938986	18.030928	5998	4000.0	249.05871772766113
2	0.44545454	0.8615115	1.5079094	0.6615769	0.6607703	-2.095314	-0.97215056	2.4235215	2.424187	-2.6771498	35.286854	19.591526	-261.901	4.3419175	1.6378495	8.045001	0.92471087	37.618183	6998	8000.0	500.55591201782227
3	0.3478261	0.78012294	1.4199731	1.0818932	1.0817609	-2.4304273	-1.595824	2.4440084	2.447513	4.7375154	21.344494	24.35585	-201.7296	3.9956496	1.5904006	9.334479	1.4230995	29.113043	7998	12000.0	747.3944165706635
4	0.2857143	0.7068651	1.2776904	1.6270647	1.6266545	-2.9271097	-2.1792197	2.7043154	2.709326	8.4399395	18.4665	24.728191	-214.63487	3.4979157	1.3945967	7.593368	0.91454697	26.269842	8998	16000.0	978.4934167861938
5	0.28350514	0.6408401	1.1378186	2.285467	2.2841349	-3.5400348	-2.7327192	2.9638488	2.967729	11.638199	8.97251	26.134705	-7.1294928	3.1219203	1.3073285	8.5663185	0.90873873	20.597939	9998	20000.0	1198.8618388175964
6	0.31	0.58100647	1.0293323	3.0448678	3.0445027	-4.239502	-3.2757797	3.207213	3.2087193	12.462439	9.697049	28.64941	-5.144313	2.995828	1.2039346	7.2648373	0.9124191	20.04	10998	24000.0	1415.5929226875305
7	0.25641027	0.5266399	0.9302578	3.8332217	3.8332026	-4.9728856	-3.8043652	3.4249985	3.4214816	14.443912	9.404722	27.13407	-8.823262	2.6753206	1.1865554	8.647208	0.9301056	20.558975	11998	28000.0	1637.663946390152
8	0.25510204	0.47732642	0.84436363	4.613263	4.6123877	-5.6962304	-4.324189	3.5707865	3.5651433	14.486024	9.167979	28.69527	-8.239306	2.6465352	1.171725	6.1948066	0.6843319	20.428572	12998	32000.0	1863.4409630298615
9	0.295	0.43251115	0.776072	5.37179	5.3710136	-6.403009	-4.8431115	3.749961	3.7426612	14.927362	9.489667	28.473652	-5.776235	2.6256452	1.1602063	6.016883	0.89317894	19.975	13998	36000.0	2082.1897225379944
10	0.26666668	0.39179194	0.7330476	6.0932097	6.092633	-7.058081	-5.3739614	3.9190674	3.903283	15.463912	9.403485	29.403538	-5.118649	2.658595	1.1908227	7.0512233	0.9114173	20.451283	14998	40000.0	2308.4541182518005
11	0.20408164	0.3548546	0.67431706	6.7586703	6.7573104	-7.669081	-5.880739	4.0336175	4.0105095	16.700954	8.778565	28.93532	-5.796728	2.3621194	1.0684696	6.0084286	0.92301166	20.55102	15998	44000.0	2529.5950996875763
12	0.2538071	0.32141727	0.6134827	7.331869	7.329821	-8.196832	-6.3732285	4.152654	4.121479	16.209806	9.605539	29.144447	-2.0994895	2.330289	1.0484993	5.351101	0.91068995	20.187817	16998	48000.0	2746.9070303440094
13	0.16145833	0.29112148	0.5654656	7.863068	7.86192	-8.687549	-6.869821	4.1861043	4.1434617	17.470884	8.325884	28.107773	-4.49773	2.0910187	0.97090244	6.2859607	0.89652854	20.875	17998	52000.0	2967.205976486206
14	0.22164948	0.2636515	0.51749164	8.349134	8.348558	-9.145145	-7.357368	4.206284	4.1553154	16.606642	9.260754	29.925676	-2.2855449	2.242381	0.9668402	5.0849867	0.68439776	20.536083	18998	56000.0	3217.6004524230957
15	0.17277487	0.23876645	0.4783081	8.763359	8.762818	-9.527867	-7.848491	4.185906	4.1245656	17.688402	8.515025	29.714184	-3.0556488	2.1649063	1.0184876	5.296726	0.9096352	20.979057	19998	60000.0	3553.1905415058136
16	0.15873016	0.21620841	0.43762162	9.145402	9.142897	-9.879987	-8.329845	4.1709943	4.10959	17.743153	8.169197	29.829222	-2.3604488	2.2129445	1.125766	5.6435122	0.6787622	21.232803	20998	64000.0	3770.229231595993
17	0.16753927	0.19577163	0.40540752	9.495586	9.494791	-10.2084055	-8.817346	4.07632	4.0084114	17.501968	8.555313	31.763367	-3.5907216	2.1966794	1.1422633	6.395435	0.89879984	20.926702	21998	68000.0	3989.581579685211
18	0.16842106	0.17724377	0.37703478	9.797837	9.796699	-10.492098	-9.305443	4.054229	3.9854882	17.353895	8.634288	29.442404	-3.3584323	2.1482139	1.2814493	6.5788617	0.8870286	20.968422	22998	72000.0	4211.768598794937
19	0.11290322	0.16046657	0.3505486	10.051549	10.05079	-10.729445	-9.791713	4.0277605	3.9611466	18.464783	7.8047066	29.198574	-4.24121	2.064208	1.0375569	6.2005663	0.89404476	21.61828	23998	76000.0	4432.133957386017
20	0.13440861	0.14526975	0.32726648	10.289057	10.288721	-10.946005	-10.279217	3.9657826	3.9043925	17.646896	8.16854	31.583553	-3.0867198	2.1689115	1.152343	6.9139147	0.9092681	21.408602	24998	80000.0	4650.357277870178
21	0.082417585	0.1315018	0.30798137	10.598381	10.596623	-11.191128	-10.770534	3.7951932	3.7266464	18.899881	7.3062716	28.404646	-3.8589637	2.0400424	1.0648248	6.361707	0.9176528	22.15934	25000	84000.0	4875.327139616013
22	0.1	0.119028	0.29583693	10.990021	10.991164	-11.485743	-11.273673	3.5516484	3.4898832	18.761835	7.6489387	29.745438	-3.0970275	2.1747622	1.1527699	6.9661245	0.74286205	22.088888	25000	88000.0	5101.296589136124
23	0.0952381	0.107729085	0.28511292	11.392731	11.391551	-11.801125	-11.777963	3.3506973	3.287646	18.331244	7.5056996	28.84091	-3.5164938	1.9498814	1.0416297	6.541772	0.9089574	21.121693	25000	92000.0	5317.582473754883
24	0.06557377	0.09750101	0.2737379	11.70199	11.701537	-12.054916	-12.278808	3.265043	3.2090724	18.650927	6.836894	28.82038	-4.444356	1.9719502	1.0360088	6.695729	0.92659485	21.852459	25000	96000.0	5540.35208773613
25	0.097297296	0.08824287	0.25737736	12.053927	12.0517025	-12.354168	-12.765088	3.2013793	3.1452184	18.448597	7.4965515	33.100834	-2.8606994	2.1190298	1.1765234	6.5117745	0.92080146	21.6	25000	100000.0	5759.570944070816
26	0.06043956	0.07986909	0.24822538	12.389703	12.3891735	-12.625094	-13.266503	3.0055518	2.947533	18.770988	6.9962378	29.148207	-3.1692452	1.9768721	1.0278004	5.8560486	0.8965322	21.956043	25000	104000.0	5978.442053556442
27	0.03797468	0.07226357	0.2738371	12.687405	12.686935	-12.868367	-13.858914	2.86295	2.809155	19.76731	6.243325	27.988453	-5.3599124	2.0228937	0.94671565	6.254752	0.8879492	22.462025	25000	108000.0	6215.169360876083
28	0.075	0.065370694	0.28933966	12.919584	12.918726	-13.068647	-14.429899	2.7399793	2.6923678	18.429028	7.917884	29.777346	-25.504362	2.0869408	1.1557229	6.5711083	0.5	27.9875	25000	112000.0	6446.938090801239
29	0.022857143	0.059159067	0.22622272	13.148977	13.148777	-13.289791	-14.778658	2.615788	2.5746145	20.444817	5.2670913	30.607277	-2.6493433	1.9057282	0.8429836	6.426106	0.91050935	22.811428	25000	116000.0	6672.335474491119
30	0.028089888	0.05357504	0.18973419	13.40169	13.401153	-13.536805	-15.190988	2.4316535	2.397765	19.564682	5.5433555	28.887604	-3.814765	1.8428845	0.76792777	5.321017	0.91461915	22.41573	25000	120000.0	6911.61687874794
31	0.0	0.048496373	0.17848969	13.609401	13.608638	-13.73239	-15.673301	2.3598313	2.332531	20.061087	4.355871	32.1344	8.035275	1.8995256	0.6455646	4.0050282	0.901478	23.785715	25000	124000.0	7141.591420650482
32	0.03508772	0.043898206	0.16645634	13.797326	13.797603	-13.916247	-16.15182	2.2800744	2.2602706	19.96115	5.6970267	31.954245	-2.8147755	1.9283034	0.9093297	5.712229	0.90663624	23.4269	25000	128000.0	7368.593989610672
33	0.023255814	0.039731245	0.15539196	13.980262	13.979384	-14.08671	-16.631495	2.1913753	2.1770804	19.857712	5.4753537	29.526531	-4.7075777	1.8462698	0.8048517	6.6899447	0.9282817	23.418604	25000	132000.0	7598.115519285202
34	0.02366864	0.03595746	0.1468066	14.147559	14.145156	-14.248883	-17.117395	2.0946314	2.0833519	20.08096	4.9341054	33.168705	-4.129272	1.8728715	0.84674925	5.701202	0.8597974	23.532545	25000	136000.0	7822.953270435333
35	0.005952381	0.032541387	0.14016385	14.283082	14.283824	-14.364993	-17.608442	1.9950783	1.9873949	20.3766	5.0476856	30.963087	-5.098328	1.8303659	0.8233523	5.710514	0.667787	23.791666	25000	140000.0	8048.496117591858
36	0.0	0.029449495	0.13024843	14.37362	14.371144	-14.440755	-18.086626	1.9188426	1.912042	20.63136	3.9003203	29.322325	7.666344	1.8002791	0.70169675	4.568885	0.91145974	23.232557	25000	144000.0	8269.1435277462
37	0.0116959065	0.026650798	0.12848084	14.46161	14.461692	-14.514671	-18.592623	1.853548	1.8445108	20.715998	4.54699	30.2636	-1.4778042	1.773761	0.68154323	4.732147	0.9143169	23.450293	25000	148000.0	8490.506809711456
38	0.01754386	0.02411632	0.12306033	14.539903	14.539225	-14.586525	-19.08479	1.779271	1.7733607	20.408823	4.737457	31.564512	-1.5031116	1.869424	0.72992456	4.9960127	0.92461115	23.4269	25000	152000.0	8709.264581680298
39	0.01775148	0.021823745	0.119536035	14.625887	14.62521	-14.66281	-19.583153	1.695623	1.6891419	20.701138	4.965824	31.661623	-3.8420546	1.8832749	0.74556005	5.246391	0.91230124	23.526627	25000	156000.0	8930.03595662117
40	0.011494253	0.019747632	0.121219315	14.66716	14.666948	-14.693932	-20.101486	1.6299009	1.6224214	21.379877	4.423721	31.785221	-0.11041509	1.6905321	0.60503495	4.449877	0.91056174	23.195402	25000	160000.0	9154.791536808014
41	0.0058139535	0.017869877	0.109533936	14.744225	14.742023	-14.760424	-20.56606	1.5781851	1.5714877	21.225193	4.445586	30.608278	-4.227747	1.776034	0.68259424	4.446767	0.66777456	23.180233	25000	164000.0	9376.04699420929
42	0.0	0.016171752	0.107041314	14.812362	14.812495	-14.82505	-21.06609	1.4871045	1.481552	21.334652	3.6734986	29.644901	5.442633	1.7919936	0.6223316	4.7681894	0.6834995	23.37427	25000	168000.0	9594.88892030716
