Epoch	Crash_ratio	Eval_Q	Target_Q	TD_error	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	TotalEnvInteracts	Time
1	0.58295965	-0.7406416	-0.6169511	2.3433232	-2.2181892	10.674768	22.955862	-25.92371	4.1184297	1.550163	8.79394	0.90090936	17.878923	4000.0	344.5709443092346
2	0.20408164	3.1204433	2.3227844	2.8448277	16.177961	8.809188	28.95364	-4.616646	2.1405718	1.032523	6.5132804	0.8965947	20.341837	8000.0	671.8411877155304
3	0.1761658	8.520564	7.2867384	3.5493627	16.822313	9.01135	29.275509	-6.5107064	2.0966125	1.019129	6.0575414	0.9084891	20.829016	12000.0	1000.9722716808319
4	0.16042781	11.118006	9.751234	3.3699343	15.992874	9.305241	31.046038	-6.001546	2.2063842	1.3007153	6.4393187	0.67252934	21.187166	16000.0	1333.8920319080353
5	0.15425532	11.931494	10.446925	2.9093082	15.903763	8.634097	27.758595	-4.861019	2.2660713	1.3200815	6.4663224	0.9089705	21.430851	20000.0	1665.0415098667145
6	0.07103825	12.183036	10.633232	2.6584804	17.162745	7.7395363	30.372425	-6.2515273	1.9651521	0.9179092	5.636056	0.90782815	21.770493	24000.0	1994.4528398513794
7	0.027586207	12.340742	10.747427	2.4799614	18.403141	6.8308387	30.089823	-3.9305477	1.8041992	0.6773645	4.7993755	0.92362064	22.062069	28000.0	2360.9680008888245
8	0.0058139535	12.411729	10.81431	2.2172787	18.09204	6.48931	29.456877	-19.35642	1.7119094	0.59722286	4.436057	0.0	28.093023	32000.0	2698.3247213363647
9	0.016949153	12.573123	10.990496	2.0487401	18.705256	6.597784	29.2155	-10.414458	1.8633871	0.71211034	5.426636	0.89544743	22.463276	36000.0	3032.1759026050568
10	0.0	12.749268	11.187357	1.8663065	20.018074	5.1864824	28.6671	4.8702145	1.8243059	0.6000127	4.041453	0.92014474	22.477528	40000.0	3362.3214797973633
11	0.0056179776	12.960769	11.40822	1.6970288	19.592138	4.9280825	29.259583	-4.9383655	1.7953572	0.6858	4.5402	0.89588195	22.477528	44000.0	3691.8412520885468
12	0.0	13.183143	11.644575	1.5467952	20.91822	5.0250072	29.0905	4.879378	1.8069578	0.63060856	3.9845774	0.8973362	22.604519	48000.0	4025.115132331848
13	0.0	13.402584	11.866112	1.4166929	20.842043	4.5777287	30.59505	6.5213313	1.8024172	0.6615042	4.411359	0.8973977	22.449438	52000.0	4354.1388874053955
14	0.0056179776	13.579831	12.048264	1.3179116	20.578445	4.5886574	29.425892	3.5004187	1.8988945	0.7226507	6.3653097	0.8945412	22.589888	56000.0	4687.318281173706
15	0.0	13.762866	12.243373	1.2282513	20.274937	4.43656	31.011047	6.5181065	1.8130418	0.6827335	4.3314633	0.90858555	22.088436	60000.0	5045.860034942627
16	0.0	13.85642	12.344594	1.1397219	20.648544	5.36013	31.10816	-17.163704	1.7860186	0.6312085	3.6581686	0.0	27.964706	64000.0	5376.581099510193
17	0.011049724	14.010005	12.491692	1.104129	20.449844	4.65322	29.817038	0.7486987	1.809146	0.69370383	6.074069	0.9104789	22.016575	68000.0	5698.62949180603
18	0.01775148	14.140856	12.630013	1.0481344	20.520575	4.686434	29.552034	-3.0127115	1.8505558	0.6835637	4.6572	0.9024716	21.846153	72000.0	6032.3221600055695
19	0.006666667	14.184939	12.681509	0.9809874	20.440926	5.3130283	28.59394	-20.732594	1.8097318	0.69825536	3.966487	0.0	28.7	76000.0	6379.046476602554
20	0.0	14.244177	12.74581	0.9674949	21.404451	3.9020808	29.047943	6.7527175	1.7708019	0.5677005	4.0611863	0.9096586	22.093924	80000.0	6702.0246868133545
21	0.011049724	14.320046	12.819916	0.9234604	20.762371	4.7243342	28.70094	-3.1575189	1.7632551	0.66542137	5.5420904	0.64696294	22.20442	84000.0	7022.8584887981415
22	0.0	14.369838	12.865569	0.90474737	21.078161	3.856596	29.272781	8.681591	1.9186233	0.67994756	4.261973	0.9103129	22.35955	88000.0	7346.171276330948
23	0.011111111	14.431551	12.92957	0.868866	20.650331	4.652979	28.88262	-6.2131248	1.8995583	0.64170295	4.7552805	0.909178	22.277779	92000.0	7669.854130268097
24	0.0054945056	14.482592	12.982047	0.85444653	20.552736	3.71689	28.375162	5.815443	1.805262	0.7051546	4.8267903	0.66669357	21.917582	96000.0	7991.052056789398
25	0.0056179776	14.49885	13.002668	0.8279313	20.559458	4.1558676	27.656042	0.36536834	1.831101	0.636326	4.4142656	0.6719985	22.488764	100000.0	8317.97504067421
26	0.0056179776	14.511559	13.018442	0.79937226	20.72304	4.2231183	28.012056	-0.077101655	1.910328	0.5849785	4.742101	0.9190739	22.460674	104000.0	8640.205298900604
27	0.0055555557	14.5431795	13.050269	0.77332854	20.480476	3.7933612	28.83511	2.3707721	1.8408391	0.6483121	5.331511	0.90835154	22.133333	108000.0	8968.076605796814
28	0.010928961	14.5806875	13.093519	0.7561536	21.175835	4.78085	30.673584	-9.788677	1.8722275	0.6270561	4.553089	0.7012704	21.93989	112000.0	9291.180537939072
29	0.0	14.615745	13.135283	0.74552846	21.224094	4.074456	29.48009	7.434798	1.831388	0.5964628	4.0994525	0.92399037	22.116022	116000.0	9616.267750024796
30	0.0	14.647547	13.148552	0.7219376	21.390379	3.2901897	27.798286	11.593504	1.7775998	0.5535247	3.4132721	0.6666761	22.038673	120000.0	9940.435190677643
31	0.0054945056	14.67458	13.173775	0.714574	20.818474	4.4023743	29.366325	-7.5275006	1.9308703	0.7539293	5.6448054	0.8973722	21.994505	124000.0	10270.94604420662
32	0.0	14.702585	13.201459	0.7037401	21.225584	4.3270283	30.235874	-3.1799834	1.8548226	0.71441525	4.492444	0.8885781	22.143646	128000.0	10596.16893529892
33	0.016759777	14.728246	13.227378	0.7018531	20.772263	4.673693	29.496233	-3.4492724	1.8828162	0.8228007	6.700628	0.8882248	22.346369	132000.0	10923.7132127285
34	0.005586592	14.768204	13.267549	0.6757953	20.6666	4.2411036	28.648975	-2.7782972	1.8757942	0.608907	5.3521333	0.6741722	22.346369	136000.0	11252.304298400879
35	0.005524862	14.771879	13.265699	0.6592295	20.578478	4.3953815	30.793592	3.7639725	1.9272923	0.7258057	5.9174366	0.90973777	22.143646	140000.0	11583.72740983963
36	0.0055555557	14.796362	13.298528	0.64201695	20.591175	4.289322	30.066618	-0.03848575	1.9738649	0.62694186	4.68495	0.90851945	22.25	144000.0	11912.004046678543
37	0.0055555557	14.805962	13.305692	0.65469044	20.934265	3.9914045	30.128101	3.1738503	1.8510976	0.64224327	4.6867485	0.89446837	22.233334	148000.0	12237.259701251984
38	0.0055555557	14.82729	13.327562	0.6386396	20.315071	3.9846592	29.08584	1.0942276	1.9185435	0.68001	6.301421	0.90983045	22.183332	152000.0	12566.477828025818
39	0.0054945056	14.836022	13.338375	0.6360095	20.821634	4.4028087	28.445816	-1.6784077	1.8711343	0.6470644	3.8669336	0.6750936	21.967033	156000.0	12892.510410308838
40	0.0	14.838903	13.342887	0.6325914	20.690063	3.6471605	27.914227	7.375468	1.8664628	0.60316175	4.090863	0.8929725	22.104973	160000.0	13220.76296710968
41	0.0	14.834773	13.332614	0.6158757	21.197277	4.26494	29.544344	-3.0417292	1.9115987	0.64049727	5.377333	0.91245073	21.945055	164000.0	13550.316876649857
42	0.0	14.857588	13.354498	0.5988065	21.205393	3.7180114	30.409016	10.719409	1.8688393	0.63010544	4.9142838	0.66825545	22.04945	168000.0	13880.319010972977
43	0.0	14.862558	13.371093	0.59925693	20.58821	3.741072	29.354555	10.235769	1.964446	0.7100646	5.1679106	0.917913	22.15	172000.0	14209.147231817245
44	0.005524862	14.870715	13.377671	0.59405667	20.329544	4.285903	28.8489	-0.7235708	1.9032177	0.67708474	4.802953	0.66550785	22.132597	176000.0	14545.566404819489
45	0.011049724	14.875223	13.37862	0.58310276	20.81763	4.20253	28.28741	2.758505	1.9574113	0.63324946	4.538527	0.9257451	22.082872	180000.0	14891.012635946274
46	0.016574586	14.884358	13.397647	0.58663464	21.110458	4.8684464	29.684626	-6.7993126	1.8743198	0.62125844	3.7909963	0.9157931	22.110497	184000.0	15232.236738920212
47	0.0	14.884824	13.387033	0.5759004	21.116114	3.9595606	29.433445	1.5527331	1.8608164	0.58694685	4.440779	0.89430225	21.978022	188000.0	15575.777227163315
48	0.0	14.895374	13.397623	0.569624	20.6332	3.786698	29.217714	5.1271195	1.9108968	0.61831516	3.990808	0.65619826	21.928572	192000.0	15921.39991569519
49	0.0054945056	14.895707	13.396732	0.56526065	21.068165	3.9721391	28.879879	5.1386867	1.835022	0.6269335	4.7002254	0.8826236	22.054945	196000.0	16262.07116484642
50	0.016216217	14.89832	13.390339	0.56240946	20.894049	4.6982183	30.208843	-5.9268203	1.8825691	0.7511647	5.732515	0.66518617	21.6	200000.0	16605.35183954239
51	0.0	14.951904	13.455889	0.505116	20.29309	4.2699037	30.693016	0.91832066	1.9058778	0.7071126	4.7500496	0.91644377	22.116022	204000.0	16951.23615217209
52	0.021978023	14.979201	13.494355	0.47474822	20.67119	4.802703	29.612041	-5.532036	1.8838179	0.7187177	5.0570264	0.92218566	21.901098	208000.0	17295.477827072144
53	0.0	14.976571	13.50538	0.46341845	20.717045	3.738107	28.239336	11.1655245	1.8946776	0.69062334	4.182655	0.90831125	22.121548	212000.0	17639.515749692917
54	0.0	14.992055	13.53255	0.4431164	20.849752	3.5967665	28.30429	9.189357	2.004605	0.7280378	5.0427136	0.90471417	22.26111	216000.0	17985.624334812164
55	0.0056818184	15.013094	13.547412	0.42770153	20.851429	3.692058	30.120964	0.20460744	1.9024161	0.6047025	4.0682774	0.9259386	21.767046	220000.0	18337.040513515472
56	0.0	15.025326	13.569053	0.41129667	20.801872	5.0503197	29.701298	-18.236439	1.9324404	0.77103305	4.6304183	0.0	28.875	224000.0	18715.164494276047
57	0.021857923	15.044691	13.59183	0.4088118	20.324083	4.676306	30.941498	-3.951715	2.0189128	0.7645574	5.0530477	0.8974644	21.846994	228000.0	19059.438769102097
58	0.016393442	15.081629	13.621856	0.4028113	20.624012	4.3042974	28.468243	1.992481	1.9482749	0.8006156	6.6479	0.91144764	21.934425	232000.0	19389.75243973732
59	0.011049724	15.09255	13.627099	0.40224597	20.138752	4.6262717	29.436855	-3.4383886	1.8801755	0.72652084	6.3769383	0.9086194	22.077349	236000.0	19720.255082845688
60	0.0054945056	15.109587	13.643903	0.40111968	20.331156	4.1833396	29.155169	-0.64622813	1.9537098	0.70593894	4.480178	0.8982398	22.005495	240000.0	20052.909067869186
61	0.02173913	15.095901	13.641189	0.4004975	20.253454	4.4345956	29.283045	2.1973803	1.9350705	0.713773	5.379939	0.909231	21.73913	244000.0	20384.483105897903
62	0.010989011	15.09141	13.638632	0.41105005	20.160845	3.8855228	29.428219	5.1148124	1.9478451	0.7556287	5.3081946	0.916926	21.917582	248000.0	20716.72881245613
63	0.016574586	15.071486	13.609134	0.40693665	20.490746	3.9664912	28.12656	-1.3160255	2.016939	0.86481565	7.1796174	0.9112949	22.044199	252000.0	21053.535289287567
64	0.016574586	15.055619	13.59574	0.40366486	20.780952	4.1257787	27.681297	-3.1567557	1.8799944	0.83186275	5.838772	0.8983683	22.20442	256000.0	21393.071539878845
65	0.016759777	15.135207	13.667243	0.39752612	20.9601	3.744819	29.680725	0.7999472	1.9578806	0.7766694	6.325087	0.8901648	22.19553	260000.0	21733.644530534744
66	0.022222223	15.289392	13.809801	0.41238013	21.608532	4.260828	30.763361	-4.127583	1.8860172	0.7499667	5.9976687	0.91215295	22.305555	264000.0	22071.44765496254
67	0.0056179776	15.372831	13.883768	0.41284657	21.332727	3.6858284	29.20192	-2.3769977	1.9482168	0.7628318	5.5176344	0.9217058	22.477528	268000.0	22412.073060274124
68	0.016759777	15.405948	13.919955	0.4001728	21.622908	3.1619499	28.553955	3.949771	1.8582727	0.657096	4.8597226	0.9163234	22.324022	272000.0	22756.11496782303
69	0.011111111	15.433805	13.947706	0.4112427	21.273848	3.5944374	28.373621	0.042722248	1.8702121	0.625571	4.6922846	0.66712946	22.316668	276000.0	23107.3153090477
70	0.0056179776	15.447355	13.962259	0.40336555	21.682255	3.203662	28.5231	4.3067403	1.8811868	0.69485545	4.9799614	0.92594063	22.432585	280000.0	23459.8038084507
71	0.022222223	15.430686	13.942489	0.4016486	20.943169	4.021533	28.371515	-0.37253338	1.866454	0.7083493	5.2163224	0.9157579	22.227777	284000.0	23812.28631901741
72	0.0055555557	15.406887	13.918688	0.40053022	21.743374	3.13095	29.198423	2.9070163	1.8252333	0.59764826	4.8935747	0.654758	22.255556	288000.0	24167.979726314545
73	0.02793296	15.395199	13.908106	0.40535522	20.960375	4.507643	28.815384	-0.669948	1.9756795	0.7588458	6.0656853	0.9176487	22.290503	292000.0	24520.828190803528
74	0.022099448	15.384671	13.890388	0.40347102	21.336407	3.9648738	28.364529	-1.6573744	1.8537812	0.7775249	6.8908854	0.91756994	22.127071	296000.0	24874.450130701065
75	0.011111111	15.372803	13.871372	0.41581914	21.210264	4.1646476	30.014915	-1.8082771	1.8526994	0.75610346	6.8925486	0.91349304	22.13889	300000.0	25229.768236637115
76	0.0	15.367342	13.869086	0.40341333	20.960096	3.0926454	28.125036	12.581705	1.9465833	0.6400998	4.743303	0.880976	22.333334	304000.0	25584.501852989197
77	0.011299435	15.36909	13.876549	0.40879893	21.681519	3.683829	29.635355	5.320269	1.8709296	0.65051234	5.1690497	0.9116269	22.514124	308000.0	25939.86175751686
78	0.0054945056	15.372654	13.882004	0.41237393	21.360596	3.2660553	30.664303	8.634594	1.8616877	0.65045905	4.6632876	0.91147184	22.054945	312000.0	26289.219574213028
79	0.0	15.362789	13.8725	0.40121105	21.271095	3.2861888	29.168179	9.053958	1.8439451	0.5733636	4.8314514	0.9196755	22.505617	316000.0	26636.258609056473
