Epoch	penalty	Crash_ratio	alpha	entropy	critic1	critic2	cost	LossPi	alpha_loss	critic1_loss	critic2_loss	cost_loss	sigma	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	Buffer_size	TotalEnvInteracts	Time
1	1.0565085	0.4550562	0.9535825	1.2424737	0.6175919	0.6200482	0.18527934	-1.6305861	-0.23866615	1.768485	1.7681081	0.10009756	0.100005016	6.2490582	8.3492775	23.112745	-8.330554	4.170841	1.3577604	8.01089	1.1432419	19.14045	5998	4000.0	285.4597713947296
2	1.1627834	0.39673913	0.8644596	1.1938365	0.7468907	0.7470377	0.21664801	-1.6065488	-0.6884005	2.04876	2.0522325	0.08654314	0.105005264	6.509852	23.962132	22.802612	-296.58755	3.8233862	1.4044064	7.312125	0.0	24.701086	6998	8000.0	540.6917495727539
3	1.2710681	0.30392158	0.7847649	1.1380852	0.8684517	0.8682039	0.24079733	-1.6402609	-1.1419752	2.4553263	2.4591835	0.08584796	0.110255525	10.541389	8.1404705	22.529575	-6.934632	3.492137	1.4229621	8.13377	0.9169315	19.715687	7998	12000.0	790.7591154575348
4	1.3787521	0.22959183	0.713183	1.0502836	0.9976453	0.9973176	0.2603319	-1.6748091	-1.5486456	2.7739666	2.77757	0.08100605	0.11576826	12.13002	6.9720063	25.181038	-5.3140273	3.2471104	1.2332709	6.4427533	0.9089903	20.204082	8998	16000.0	1034.5794970989227
5	1.4858885	0.185567	0.64852285	0.87066567	1.0774907	1.0768652	0.2823876	-1.6393011	-1.8110437	3.0390732	3.0436733	0.0760823	0.12155673	13.975991	6.8042493	25.520699	-4.0996413	3.0955706	1.2343993	7.233539	0.90842927	20.70103	9998	20000.0	1276.8184010982513
6	1.5923061	0.26020408	0.5933585	0.70398194	1.2116389	1.2110856	0.30368713	-1.7234765	-2.0576873	3.2110834	3.2159605	0.071344145	0.12763457	13.725733	7.869499	25.883202	-5.8614287	3.2059314	1.3540194	7.3140345	0.90740013	20.515306	10998	24000.0	1518.763828277588
7	1.6990649	0.24742268	0.5375819	0.62862104	1.4122131	1.4114485	0.32826868	-1.9945954	-2.6195712	3.2703562	3.2760997	0.06608146	0.13401628	14.086836	7.6177497	24.666098	-2.3959172	3.1001856	1.2572806	6.190796	0.93150955	20.530928	11998	28000.0	1755.8553519248962
8	1.803588	0.27604166	0.48883322	0.5336504	1.5642434	1.5633831	0.34016448	-2.0333462	-2.8357046	3.2393415	3.2452216	0.061184615	0.14071707	14.5915785	8.0874605	26.45082	-2.385164	3.1906617	1.3573116	6.2855067	0.91671544	20.755209	12998	32000.0	1999.5070261955261
9	1.9079878	0.25773194	0.44371077	0.48583382	1.7976699	1.7973293	0.36135352	-2.224832	-3.262751	3.2159812	3.2223191	0.05809623	0.14775296	15.44149	8.04463	26.75424	-2.3543494	3.0656977	1.2697055	6.1598973	0.9082958	20.809278	13998	36000.0	2239.3465003967285
10	2.0119667	0.21164021	0.40263292	0.44706652	2.0043535	2.0037858	0.37647754	-2.3000581	-3.543687	3.1273322	3.1335669	0.0547054	0.15514056	16.756311	7.586978	28.777588	-1.2008468	3.08711	1.2888583	6.525882	0.931512	21.11111	14998	40000.0	2475.911857366562
11	2.1154273	0.1657754	0.3657715	0.40572882	2.248379	2.2485194	0.39738628	-2.4638617	-3.9265375	3.042667	3.0487435	0.052866533	0.16289762	18.104118	6.6283064	27.455563	0.5329996	2.813555	1.1978211	5.6407185	0.90770334	21.35829	15998	44000.0	2707.8196272850037
12	2.218286	0.1764706	0.33255842	0.36296716	2.4508848	2.450856	0.4077044	-2.540704	-4.0909195	2.9037857	2.9093664	0.050887033	0.17104249	17.720026	6.8330016	27.473946	-1.4484727	2.8242698	1.2118975	6.217898	0.9324212	21.235294	16998	48000.0	2937.8365485668182
13	2.3218594	0.14893617	0.30115554	0.3388177	2.7506182	2.7518404	0.43249995	-2.8266046	-4.78357	2.8329475	2.8381562	0.048733734	0.17959465	18.773294	6.7967453	28.313082	0.6546543	2.689593	1.2021959	6.2137756	0.9057619	21.409575	17998	52000.0	3168.6469469070435
14	2.4232163	0.15957446	0.27414995	0.29588276	2.9159815	2.9159718	0.4322119	-2.7610059	-4.59445	2.7089686	2.715214	0.04693495	0.18857437	18.915998	7.156004	30.564724	-0.28442532	2.5552537	1.1571796	5.7291727	0.92090654	21.234043	18998	56000.0	3398.802077293396
15	2.524805	0.12432432	0.2490204	0.2605739	3.1231635	3.1224077	0.44098467	-2.856681	-4.8795834	2.5672576	2.5736547	0.045634165	0.19800308	20.109861	6.4967403	30.063107	1.6123374	2.4545157	1.0558184	5.689838	0.94189095	21.745947	20000	60000.0	3627.152442932129
16	2.6258044	0.19251336	0.22618003	0.23785923	3.4149761	3.4157197	0.45897907	-3.0780623	-5.487533	2.5160983	2.5220647	0.044751436	0.20790324	19.51547	7.3630104	28.760557	-0.2563762	2.7994456	1.293781	6.3127847	0.9290824	21.438503	20998	64000.0	3852.602876186371
17	2.728482	0.17741935	0.20410079	0.21910945	3.6904624	3.6908898	0.4755284	-3.3026433	-6.150104	2.4536593	2.461847	0.044472065	0.21829838	19.33426	7.3501854	31.524542	2.0725095	2.5834036	1.2161684	5.7697735	0.6630872	21.376345	21998	68000.0	4078.31604886055
18	2.8297336	0.14973262	0.18526976	0.19279177	3.8742588	3.8748868	0.48291388	-3.3302488	-6.2759333	2.3279023	2.3363264	0.043473035	0.22921327	20.06784	7.307406	32.353584	1.6147578	2.4959877	1.038384	5.57816	0.91010493	21.57754	23000	72000.0	4302.006961345673
19	2.9317007	0.14594595	0.16804846	0.16895457	4.1069202	4.1073194	0.49453166	-3.42673	-6.2748075	2.2579205	2.267582	0.042303894	0.2406739	20.068718	6.8300567	30.215773	1.6354054	2.4600375	1.155257	5.742739	0.66575927	21.297297	23998	76000.0	4526.713444709778
20	3.0327265	0.125	0.15261972	0.15750156	4.3562026	4.3568764	0.5077719	-3.5997272	-6.9708614	2.2121294	2.2235913	0.04257146	0.2527077	20.666777	6.3434925	28.996706	1.1424732	2.4270194	1.0907087	5.9843845	0.90945417	21.88587	24998	80000.0	4749.705129146576
21	3.1339116	0.1764706	0.13834795	0.14272363	4.563897	4.5639715	0.5134312	-3.678491	-7.1047163	2.133216	2.1461036	0.041635994	0.26534307	19.645134	7.230375	32.843163	2.1262236	2.599756	1.2158427	5.7754703	0.90798914	21.470589	25998	84000.0	4976.318689584732
22	3.2345543	0.084269665	0.12536795	0.13312517	4.8714404	4.871645	0.52661717	-3.977731	-8.069272	2.1335816	2.146946	0.041163117	0.27861014	21.936321	6.1747575	30.460209	1.8081095	2.364505	1.049108	5.952606	0.9076503	22.337078	26998	88000.0	5200.863855600357
23	3.335575	0.123655915	0.11341615	0.11927333	5.006422	5.0062118	0.5312987	-3.8930998	-7.9861803	2.0307698	2.0433173	0.041142885	0.29254067	20.856138	6.7725782	30.751171	1.4433488	2.3206058	1.067197	5.675252	0.9093444	21.505377	27998	92000.0	5429.245798110962
