Epoch	AverageCrash_counter	StdCrash_counter	Crash_ratio	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	LossCV	DeltaLossPi	DeltaLossV	DeltaLossCV	Entropy	KL	ClipFrac	StopIter	Time
0	114.0	0.0	0.74025977	-2.6878617	8.402906	23.498117	-16.31359	4.55159	1.4660954	9.709827	0.9159943	16.077923	0.12331274	0.031064048	0.21458858	0.048757985	4000	-2.3841858e-07	339.6519	8.874384	-0.056745887	-33.445328	-6.9820843	1.6086116	0.013252365	0.22	17.0	477.3505916595459
1	162.0	0.0	0.6923077	-1.1048062	8.175833	20.014257	-13.305152	4.2814493	1.2925079	8.573821	0.924594	15.940171	-1.5422577	0.13976038	-1.1601967	-2.7336497	8000	-8.940697e-08	78.69147	1.8126843	-0.053332113	-3.9405556	-0.41851145	1.5908506	0.014067158	0.29175	12.0	942.4499199390411
2	115.0	0.0	0.6182796	0.079191804	9.47185	22.199657	-14.796224	4.008161	1.3069569	9.203398	0.8954682	16.10215	-0.46144056	0.87155825	0.8946736	-1.7507652	12000	0.0	209.32481	1.3444016	-0.07455629	-23.249958	-0.19583234	1.561384	0.014450495	0.361	14.0	1425.213742017746
3	138.0	0.0	0.6418605	0.017010987	8.789331	24.726543	-14.01617	3.7914016	1.2323452	6.839105	0.8999236	15.297674	-0.34523916	2.2162204	2.5708423	-4.04121	16000	7.450581e-09	129.25517	1.1963267	-0.05178368	-10.416138	-0.04180014	1.4805522	0.012126732	0.43575	12.0	1896.3419597148895
4	136.0	0.0	0.55737704	1.8034507	9.7025175	25.667435	-14.122799	3.6643183	1.3290309	8.708646	0.89402956	16.331966	0.6013518	2.6259367	4.879077	-6.131076	20000	-2.9802322e-08	80.348885	1.4464326	-0.04456029	-14.032482	-0.025325298	1.3501267	0.012466898	0.13325	12.0	2348.375453233719
5	132.0	0.0	0.5523012	2.5447404	9.719417	26.351635	-16.01692	3.4716582	1.3286937	7.4503403	0.6557484	16.083681	2.3106363	2.7988896	10.393399	-4.275424	24000	-1.4901161e-08	75.82411	1.3395334	-0.03483724	-4.2638016	-0.042713583	1.2357213	0.013639588	0.111499995	17.0	2798.541690826416
6	104.0	0.0	0.45614034	5.2253666	10.169868	27.029242	-13.257292	3.2209282	1.261933	6.0610614	0.89881337	17.52193	3.0608118	2.6102276	6.94814	-3.0374749	28000	1.4901161e-08	73.33986	1.2080348	-0.05190979	-12.029064	-0.066805124	1.1135471	0.012489875	0.10925	25.0	3245.6973526477814
7	73.0	0.0	0.4591195	5.198748	10.408435	28.409517	-12.088314	3.1621199	1.2554672	5.8575134	0.9110821	18.72327	3.8407366	4.007082	11.863583	-1.3635215	32000	-1.4901161e-08	98.18062	0.90608525	-0.04773587	-6.404722	-0.016659468	1.09995	0.014814457	0.16749999	18.0	3741.972407579422
8	93.0	0.0	0.42465752	6.0576296	10.278305	26.628872	-10.735085	2.9520605	1.2821646	5.870635	0.91030854	18.214611	4.4822845	3.4413123	9.504897	-3.13521	36000	-2.2351742e-08	70.767494	1.1068864	-0.026380986	-8.423258	-0.059399426	0.83471256	0.0138246715	0.1095	9.0	4193.576738119125
9	87.0	0.0	0.40465117	6.4849577	10.811004	31.309185	-12.3652725	2.8346617	1.3359929	5.6849523	0.6662859	18.56279	5.865798	3.3458648	10.137837	-1.1997849	40000	3.7252903e-09	63.942448	1.0642906	-0.019532349	-6.2548294	-0.017605186	0.7193618	0.012807326	0.09125	16.0	4640.632196903229
