Epoch	Crash_ratio	alpha	entropy	critic1	critic2	LossPi	alpha_loss	critic1_loss	critic2_loss	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	Buffer_size	TotalEnvInteracts	Time
26	0.043956045	0.07996566	0.18613207	12.203563	12.202382	-12.496532	-13.102996	3.3682258	3.309137	19.098703	6.5030665	29.683966	-3.1572824	1.9421759	0.9232199	6.56612	0.9096125	21.851648	25000	104000.0	6064.105558156967
27	0.06989247	0.07235619	0.20949998	12.572099	12.572336	-12.8077345	-13.683451	3.1211603	3.0746553	18.57644	6.958597	28.117306	-7.0645504	2.038287	1.0307407	6.1320167	0.66797686	21.521505	25000	108000.0	6280.731791973114
28	0.048913043	0.06544474	0.23705763	12.842511	12.842065	-13.037069	-14.281335	2.9797738	2.9390967	19.159801	6.410025	27.72849	-3.8438408	1.9219539	0.8927715	6.210827	0.6669736	21.711956	25000	112000.0	6503.50972867012
29	0.02793296	0.059220865	0.18069883	13.112438	13.113186	-13.294586	-14.644777	2.8224976	2.7896197	20.023787	5.5922	28.755707	-6.4299283	1.8048619	0.68325746	4.569492	0.67132485	22.329609	25000	116000.0	6732.970215320587
30	0.0056497175	0.053617824	0.15532663	13.361914	13.361926	-13.524489	-15.085873	2.6297417	2.6056418	20.260605	4.1599164	28.216557	-3.9086156	1.898869	0.8533157	6.7565584	0.9051339	22.59322	25000	120000.0	6964.4258353710175
31	0.011428571	0.048529953	0.15736721	13.565051	13.564199	-13.70707	-15.606044	2.5112505	2.4840167	20.045918	4.494174	28.407265	-4.2547307	1.8158859	0.61759245	5.1513553	0.92305726	22.868572	25000	124000.0	7184.3295884132385
32	0.0	0.043918185	0.15065742	13.746686	13.746891	-13.87983	-16.100035	2.4098973	2.391468	20.29213	3.651093	30.84758	7.0839434	1.7381086	0.61887825	4.675071	0.90857583	22.92	25000	128000.0	7416.346544742584
33	0.0058139535	0.03974389	0.14761887	13.931872	13.932133	-14.061922	-16.60478	2.2864408	2.2678761	20.38844	3.565664	29.326878	5.074033	1.8366467	0.5942399	3.708434	0.6547114	23.232557	25000	132000.0	7642.247455835342
34	0.0	0.03596209	0.15082763	14.104166	14.104179	-14.227871	-17.130003	2.1622186	2.1478326	20.125235	4.3289447	29.339958	8.228379	1.7637249	0.5508465	3.550767	0.64775425	23.690475	25000	136000.0	7866.737994670868
35	0.0058139535	0.032542363	0.14372498	14.261222	14.260444	-14.371308	-17.620539	2.0293279	2.0148778	20.192818	3.861787	28.476362	1.8268476	1.7643244	0.6223374	3.9410121	0.9114129	23.377907	25000	140000.0	8091.2412922382355
