Epoch	penalty	Crash_ratio	alpha	entropy	critic1	critic2	cost	LossPi	alpha_loss	critic1_loss	critic2_loss	cost_loss	sigma	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	Buffer_size	TotalEnvInteracts	Time
1	1.0098636	0.44785276	0.95168626	1.2763736	0.5051191	0.51251394	0.04445536	-1.6849403	-0.25476998	1.0790147	1.0732088	0.035304718	2.0000203e-05	3.331249	8.70193	21.897968	-13.10598	1.1650307	1.1642177	4.3	0.0	19.067484	5998	4000.0	274.10752868652344
2	1.0298102	0.28712872	0.85955006	1.3385007	0.63857746	0.6377637	0.05861001	-1.791459	-0.8184374	1.3137522	1.3123727	0.032461036	2.0200201e-05	2.3784468	38.33474	20.0139	-271.54526	0.7415842	1.0588866	2.9	0.0	39.564358	6998	8000.0	523.0202686786652
3	1.050076	0.27319586	0.7834068	1.1326413	0.59422934	0.5936876	0.06472815	-1.5461073	-1.137456	1.7133747	1.7105529	0.031754304	2.0402204e-05	8.248977	19.983006	22.684856	-246.05585	0.6824742	0.99021095	2.7	0.0	25.06701	7998	12000.0	756.0677862167358
4	1.0705805	0.25742576	0.7131974	1.0254177	0.7275704	0.7274274	0.07471861	-1.6287968	-1.5276252	2.199543	2.198388	0.031665288	2.0606221e-05	11.83779	7.5424075	24.989265	-10.120875	0.6123763	0.9713191	3.1	0.0	19.876238	9000	16000.0	982.2052192687988
5	1.0913231	0.25252524	0.6505375	0.8625364	0.83234936	0.8320067	0.084470674	-1.6717024	-1.78256	2.5272179	2.5272033	0.030821031	2.081229e-05	13.15157	7.592388	25.797693	-9.21523	0.5742424	0.9556283	2.6	0.0	20.070707	9998	20000.0	1207.434154033661
6	1.1122445	0.26865673	0.59365237	0.7176996	0.9679011	0.967937	0.09428463	-1.8747785	-2.2151332	2.763537	2.7635224	0.028609343	2.1020413e-05	13.212539	7.7739706	27.6244	-4.0682416	0.6189054	0.9829597	2.7	0.0	19.930347	10999	24000.0	1435.1440424919128
7	1.133345	0.2538071	0.53980875	0.53941333	1.0834297	1.0829656	0.105019376	-2.0051584	-2.4636366	2.889697	2.8911762	0.027341573	2.1230615e-05	14.222608	7.9798636	27.115732	-8.293781	0.6060913	0.99835575	3.1	0.0	20.147207	11998	28000.0	1661.805377483368
8	1.1546838	0.23115578	0.49146366	0.43756074	1.2720109	1.2716812	0.112074584	-2.1831992	-2.7294266	3.0250304	3.0281363	0.024348412	2.1442926e-05	15.201383	7.7620077	27.90216	-2.5394423	0.54623115	0.97024757	3.3	0.0	20.291458	12998	32000.0	1888.3231558799744
9	1.1762611	0.15789473	0.44693974	0.36274087	1.4881885	1.4882087	0.12093039	-2.4768758	-3.0956235	3.0408745	3.0437753	0.022617154	2.1657346e-05	17.185192	6.673092	28.188305	-0.21549307	0.3863158	0.8318794	2.7	0.0	20.994738	13998	36000.0	2111.0817198753357
10	1.198017	0.1875	0.40529642	0.32962698	1.7351367	1.7351205	0.12706856	-2.7167356	-3.4819698	3.0583513	3.0617075	0.020538764	2.1873928e-05	17.127695	7.3904643	29.679071	-1.8994567	0.44791666	0.90300184	3.2	0.0	20.859375	14998	40000.0	2334.607020139694
11	1.2199517	0.19587629	0.3685503	0.3000158	1.9415771	1.9420608	0.13371322	-2.882138	-3.6977727	2.9969141	3.000137	0.01995125	2.2092669e-05	17.712347	7.477874	28.602371	0.97065043	0.44948453	0.8962837	2.9	0.0	20.536083	15998	44000.0	2559.250860452652
12	1.2421252	0.14507772	0.3342054	0.27069995	2.175113	2.175458	0.13856037	-3.0863965	-4.071441	2.940498	2.944178	0.018460369	2.2313585e-05	18.691036	6.796465	29.127607	0.2085375	0.3440414	0.816652	2.7	0.0	20.865286	17000	48000.0	2782.0724387168884
13	1.2645367	0.20618556	0.30316514	0.25252798	2.4473023	2.4470758	0.14565593	-3.4102104	-4.564099	2.8817813	2.8848336	0.017794948	2.253672e-05	17.763868	7.5201206	31.24247	0.22332902	0.48762882	0.9177244	3.1	0.0	20.592783	17998	52000.0	3005.301644563675
14	1.2871869	0.17708333	0.27497712	0.22395034	2.6926062	2.6929648	0.15099308	-3.5931315	-4.939836	2.8197446	2.8224666	0.01756297	2.2762097e-05	18.77696	7.3722415	29.83954	1.5383143	0.4197917	0.8859576	3.0	0.0	20.765625	18998	56000.0	3233.6181132793427
15	1.3100754	0.15789473	0.25007388	0.20133454	2.8696704	2.8695655	0.15418296	-3.6485736	-4.9249377	2.7238736	2.7236495	0.016706485	2.2989716e-05	19.31464	7.2608037	29.873007	0.12517892	0.36052632	0.8196724	2.8	0.0	21.18421	19998	60000.0	3458.854822397232
16	1.3332024	0.17460318	0.2271027	0.18463986	3.137877	3.1377463	0.15864752	-3.9197702	-5.5081654	2.660846	2.6607647	0.016405407	2.3219614e-05	18.708597	7.596655	30.17932	1.7178926	0.4349206	0.91289854	3.2	0.0	21.021164	20998	64000.0	3681.880431652069
