Epoch	AveragePenalty	StdPenalty	AverageCrash_counter	StdCrash_counter	Crash_ratio	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	LossVC	DeltaLossPi	Entropy	KL	ClipFrac	Time
0	1.3500584	0.0	170.0	0.0	0.6910569	-6.2335076	8.979364	18.619703	-20.742598	4.662063	1.4168048	8.975432	0.9408616	16.227642	0.01747797	0.02963876	0.07567134	-0.04546236	4000	-1.1355179e-07	48.02161	1.5767165	-0.029609172	1.6073748	0.005558622	0.0	535.8909931182861
1	1.387306	0.0	163.0	0.0	0.69067794	-6.354626	8.325606	15.636227	-23.71849	4.5419884	1.3987656	9.378469	0.90416336	16.61017	-1.6525928	3.904063	15.074291	-11.185891	8000	2.9163054e-09	45.773144	1.4016085	-0.021717973	1.6070234	0.0057423506	0.0	1066.0076215267181
2	1.4249351	0.0	94.0	0.0	0.78333336	-6.494895	9.073373	19.33575	-23.573015	4.3356447	1.2689697	9.108042	1.1919211	14.966666	2.5432367	5.31257	9.796847	-11.042508	12000	4.7566612e-08	76.26674	0.63643134	-0.016413094	1.5999604	0.005011246	0.0	1632.037397146225
3	1.4628203	0.0	46.0	0.0	0.64788735	-4.2439337	9.41349	21.223722	-19.580482	4.014908	1.5982445	7.804901	0.9052876	16.788733	-18.371536	9.806359	4.428417	-24.497847	16000	-1.3501215e-08	47.799007	0.58037776	-0.014667736	1.5898815	0.00509646	0.0	2205.8392148017883
4	1.5010884	0.0	38.0	0.0	0.6333333	-18.986847	105.717575	17.75298	-828.3018	4.108981	1.3896847	7.5927844	1.2347895	66.45	-19.939707	9.981982	6.645861	-25.38778	20000	2.2635337e-08	51.09568	0.34327504	-0.013501408	1.5745862	0.005203278	0.0	2780.0651803016663
5	1.5393524	0.0	35.0	0.0	0.53846157	-16.092937	100.16025	22.689121	-814.07837	3.4807765	1.2945949	5.9423513	0.0	61.4	-20.387714	10.288467	10.492986	-26.018078	24000	-1.4192462e-08	38.847713	0.33043683	-0.008390554	1.550305	0.005214693	0.0	3354.961543560028
6	1.5779567	0.0	74.0	0.0	0.5323741	-1.9881866	9.40761	19.822456	-17.894184	3.8123002	1.3223664	7.767447	0.8961109	17.273382	-12.108323	13.140375	10.017489	-26.13555	28000	-2.3350598e-08	99.431015	0.7764267	-0.014979022	1.4907334	0.0057519204	0.0	3920.6913781166077
7	1.616743	0.0	124.0	0.0	0.51666665	-1.1068734	10.517061	21.956041	-19.016514	3.5540915	1.3905677	7.0117445	0.88636804	16.570833	-1.4301753	7.5034194	10.164368	-21.787672	32000	1.7517763e-08	62.43134	1.338397	-0.01983835	1.3812357	0.0046428833	0.0	4453.044303655624
8	1.6557038	0.0	126.0	0.0	0.5228216	-1.3514863	10.048159	22.588478	-18.149254	3.4826467	1.2894017	7.171705	0.86776173	16.589212	1.5560862	3.5660086	6.6983547	-6.366025	36000	9.333364e-09	50.160915	1.245901	-0.027111933	1.3554134	0.006075124	0.0	4981.965541601181
9	1.6948335	0.0	17.0	0.0	0.32692307	-10.987304	94.9665	17.930292	-686.5989	3.4237149	1.4353863	6.279144	0.0	76.5	4.6163445	1.9607682	7.632015	-6.571101	40000	-3.547596e-08	59.729626	0.34338608	-0.0076266937	1.4371123	0.0049654217	0.0	5577.720424413681
10	1.7340908	0.0	134.0	0.0	0.5469388	-1.0845423	10.488577	26.582933	-19.681082	3.325473	1.2708709	7.2979617	0.8990712	16.30204	1.0825796	7.8152814	11.30204	-20.89279	44000	-1.4721264e-08	68.2618	1.1000063	-0.01922448	1.2331355	0.0056700595	0.0	6117.48623585701
11	1.7734948	0.0	24.0	0.0	0.44444445	-8.15964	74.12202	20.62908	-543.0038	3.3051054	1.0823689	6.065669	0.5	74.0	-2.8587704	3.3554971	6.259184	-6.65271	48000	-6.590121e-09	45.405254	0.21253659	-0.010013537	1.3550174	0.0050385655	0.0	6712.15535902977
12	1.8129467	0.0	82.0	0.0	0.4	3.0874703	11.110845	24.5841	-17.401773	3.149209	1.2654877	6.688979	0.9312332	19.482927	1.3551184	7.4669604	9.9367485	-16.00438	52000	1.4517777e-08	76.21445	1.0755005	-0.018870823	1.2183352	0.0066781444	0.0	7278.049108982086
13	1.8525493	0.0	37.0	0.0	0.42528737	2.9728348	11.462717	25.89351	-16.110966	3.2252257	1.2445166	5.550916	0.8830218	18.873564	0.03856421	3.429183	5.757565	-3.0801885	56000	7.3357658e-09	55.74697	0.3676205	-0.010117212	1.2613139	0.0044446397	0.0	7869.945349216461
14	1.8922197	0.0	32.0	0.0	0.38554215	3.197548	10.668344	24.912111	-16.340912	3.1025708	1.1783773	5.8425055	0.9169442	20.036144	-6.002233	8.756708	10.615464	-12.347541	60000	7.162555e-09	58.676884	0.34470013	-0.011524196	1.2560852	0.006550982	0.0	8478.346613407135
15	1.9319067	0.0	82.0	0.0	0.4019608	3.5552206	11.244019	27.240543	-16.230812	3.0107236	1.1528275	6.043239	0.9154637	19.602942	2.2494478	6.3330913	10.802615	-11.040038	64000	-1.9637527e-08	65.074745	0.80189335	-0.013427257	1.0818139	0.007066605	0.0	9040.072700738907
16	1.9714108	0.0	20.0	0.0	0.3773585	-1.8989013	57.38958	24.163961	-408.82764	2.760275	1.284938	5.8964214	0.0	75.22642	2.1544027	1.7046232	7.038803	-1.4046669	68000	-6.5496946e-09	40.938053	0.23485608	-0.00763156	1.2123255	0.0034136558	0.0	9662.70918750763
17	2.011139	0.0	27.0	0.0	0.369863	3.7927547	12.1421795	24.174406	-18.092113	3.134801	1.2487857	5.8940215	0.90873283	19.821918	-5.8665395	8.4144745	12.824811	-12.17268	72000	1.19780275e-08	47.617046	0.33669493	-0.010490772	1.1764442	0.0054390174	0.0	10284.107004880905
18	2.0508404	0.0	75.0	0.0	0.37313432	3.6782813	11.886183	26.648546	-17.216393	2.8622773	1.3018621	5.9052906	0.9048801	19.810946	3.0797071	6.197262	11.324664	-9.185697	76000	1.0668728e-09	59.168125	0.8810729	-0.0084694745	0.9957714	0.005937994	0.0	10848.859891176224
19	2.0905232	0.0	78.0	0.0	0.37320575	3.684953	12.124469	26.442163	-17.40904	2.8362877	1.2707402	5.8320236	0.9109549	19.110048	4.892874	3.254121	8.7247715	-4.572811	80000	9.762688e-10	44.851368	0.74430156	-0.015552364	0.9215508	0.0047091483	0.0	11412.345652103424
20	2.1302555	0.0	80.0	0.0	0.3883495	3.8270442	11.705534	26.57079	-15.476082	2.8729687	1.2741225	5.699648	0.56091404	19.359222	6.5024033	4.25119	11.335669	-6.3918366	84000	2.311461e-08	45.27854	0.8272463	-0.016704183	0.8534034	0.006326622	0.0	11973.746693849564
21	2.1699727	0.0	75.0	0.0	0.37878788	4.425245	11.478701	26.9279	-16.111042	2.7874253	1.1626595	5.523565	0.9083499	20.186869	6.871507	4.0469446	12.048279	-5.3199215	88000	-2.4001267e-08	45.313995	0.70409834	-0.008095551	0.79430884	0.0020605407	0.0	12533.115321397781
22	2.2097268	0.0	64.0	0.0	0.32820514	5.2926683	10.619101	25.941038	-16.289019	2.810299	1.1986603	5.8254967	0.89653003	20.389744	6.9441514	4.1876903	13.062882	-5.2322226	92000	-6.6105006e-09	40.217815	0.69644904	-0.009522793	0.79917336	0.0062068184	0.0	13105.944865465164
23	2.249502	0.0	67.0	0.0	0.34358975	5.4936156	11.059265	25.71018	-15.72932	2.7746491	1.2000643	6.002858	0.5608286	20.420513	7.729704	3.7233007	13.216247	-3.4252613	96000	-1.2069881e-08	43.2503	0.660854	-0.0102747055	0.76748633	0.0023825176	0.0	13698.833703279495
24	2.2890425	0.0	57.0	0.0	0.3	6.0329814	10.916321	27.823944	-15.314994	2.5188212	1.0612019	5.347536	0.92305243	21.015789	7.684642	3.7910278	13.242132	-3.0652575	100000	1.6027942e-08	38.09196	0.4619048	-0.009744704	0.77585	0.0020374733	0.0	14286.250982522964
25	2.3285165	0.0	59.0	0.0	0.30729166	7.3962994	10.635402	26.192516	-14.711696	2.626939	1.0395831	5.323649	0.91265947	20.828125	8.401404	3.293005	13.501295	-2.2248302	104000	-1.8490763e-08	40.221004	0.45587286	-0.007810424	0.76490027	0.0057964474	0.0	14858.036558628082
26	2.3680894	0.0	76.0	0.0	0.36893204	4.9586067	11.339879	30.767662	-16.361055	2.7478104	1.2509642	5.7635226	0.6663408	19.368933	8.061474	3.779349	14.183554	-6.1724873	108000	7.508683e-09	43.26113	0.59164816	-0.012999803	0.70334554	0.003963948	0.0	15429.470509052277
27	2.4078922	0.0	71.0	0.0	0.36410257	6.023971	11.56435	27.637888	-15.630304	2.854657	1.2175336	6.65921	0.6670344	20.42564	7.5257664	4.160811	14.278225	-5.555791	112000	1.8930734e-08	47.2115	0.57979125	-0.020988476	0.7146133	0.006586285	0.0	16023.547746896744
28	2.4476814	0.0	71.0	0.0	0.35678393	6.445293	11.083274	25.835682	-14.719482	2.641458	1.1256938	5.496491	0.66765964	20.050251	7.753701	3.758389	13.752363	-4.369366	116000	-2.5817102e-09	39.16236	0.41318873	-0.014575892	0.6389779	0.0054743346	0.0	16608.50900411606
