Epoch	penalty	Crash_ratio	alpha	entropy	critic1	critic2	cost	LossPi	alpha_loss	critic1_loss	critic2_loss	cost_loss	sigma	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	Buffer_size	TotalEnvInteracts	Time
1	1.05844	0.44444445	0.95096105	1.3265935	0.5596246	0.5657662	0.04283592	-1.7848293	-0.28209525	0.7613529	0.758754	0.030897226	0.100005016	6.2006845	8.490187	21.039988	-9.905927	3.5581064	1.2271739	6.0915146	1.1809099	18.694445	5998	4000.0	267.6567630767822
2	1.1671795	0.42028984	0.85608083	1.4014883	0.6598104	0.65915406	0.0566185	-1.8324727	-0.8725169	0.9025171	0.9016693	0.028786499	0.105005264	-6.8041744	57.195107	20.30215	-241.94873	3.1295075	1.3241326	5.3147163	0.0	76.10145	6998	8000.0	526.3031549453735
3	1.2728413	0.3512195	0.7827798	1.1005176	0.5285148	0.5282001	0.07503648	-1.374846	-1.0617827	1.3956667	1.3945469	0.037189256	0.110255525	8.844359	8.816532	24.644026	-14.574351	3.1845727	1.3234601	6.930685	0.6704607	19.531708	7998	12000.0	763.5062239170074
4	1.389646	0.28780487	0.7158153	1.1017723	0.72501576	0.7249908	0.10210013	-1.54324	-1.5395235	1.9379836	1.9359591	0.04296949	0.11576826	11.263584	8.534723	23.577217	-6.8702736	2.9296107	1.2450128	5.4743214	0.9205217	19.614634	8998	16000.0	995.6275475025177
5	1.5046947	0.3084577	0.65147585	0.9591145	0.8414295	0.84122753	0.12308702	-1.5996497	-1.9065976	2.3617566	2.3584318	0.04430399	0.12155673	12.06664	8.188982	25.036383	-3.5753841	2.947536	1.3275782	6.3401403	0.6844898	19.507463	9998	20000.0	1225.4751462936401
6	1.616719	0.26923078	0.5904158	0.8877335	0.9636399	0.9632269	0.14360012	-1.7167825	-2.469619	2.574175	2.5712147	0.043101523	0.12763457	12.080885	16.444366	24.90143	-165.78195	2.7039914	1.3713484	5.603446	0.0	25.955128	10998	24000.0	1468.9359602928162
7	1.7253855	0.26	0.5364261	0.69643295	1.0637785	1.0631497	0.16032733	-1.7480015	-2.6431735	2.788495	2.78523	0.04122219	0.13401628	14.096111	8.427629	26.632053	-4.9769855	2.7310522	1.2788564	5.593663	0.9145632	20.035	11998	28000.0	1694.4290120601654
8	1.8327034	0.1948718	0.48896396	0.53966624	1.2226379	1.2214797	0.17927542	-1.8983686	-2.9225328	2.9683676	2.9657419	0.038754098	0.14071707	15.728683	7.2447553	28.729856	-2.1858578	2.5955923	1.2487494	5.9199257	0.90828973	20.558975	12998	32000.0	1919.4111289978027
9	1.9397217	0.17368421	0.4453489	0.43733653	1.4093655	1.4087435	0.19818552	-2.085664	-3.245076	3.0706434	3.0678985	0.03715391	0.14775296	16.783169	6.7741847	29.142456	-1.2171633	2.727699	1.2128041	5.7170134	0.9251693	21.131578	13998	36000.0	2146.5439133644104
10	2.0461667	0.2356021	0.40548497	0.37868565	1.6331515	1.6325215	0.21718006	-2.260835	-3.4369636	3.1536129	3.1500087	0.036086015	0.15514056	16.505861	7.64698	28.823832	0.14545757	2.7249777	1.3111409	6.0684466	0.93155503	20.863874	14998	40000.0	2368.9529707431793
