Epoch	AverageCrash_counter	StdCrash_counter	Crash_ratio	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	114.0	0.0	0.74025977	-7.239452	9.115369	18.454433	-23.43252	4.55159	1.4660954	9.709827	0.9159943	16.077923	0.12331274	0.031064048	0.21458858	0.048757985	4000	1.4901161e-08	356.10168	-0.014536023	-41.876762	1.6086116	0.011293128	0.10675	79.0	307.1908965110779
1	156.0	0.0	0.6753247	-4.474855	8.901364	18.617975	-18.687693	4.550846	1.3729291	8.334203	0.66536146	17.25974	-2.3767896	0.33895624	-1.6206409	-3.0638678	8000	3.7252903e-09	61.96143	-0.008437408	-1.4695168	1.5942985	0.0121952165	0.2905	19.0	597.0947644710541
2	89.0	0.0	0.5855263	-3.0528126	9.211093	19.178312	-18.604143	4.299387	1.47523	10.292311	0.8941911	17.723684	-1.7536558	0.3873416	-0.3442352	-3.0469103	12000	0.0	192.3037	-0.011036366	-19.757843	1.5691669	0.010556087	0.099	79.0	896.7262613773346
3	108.0	0.0	0.5046729	-0.52804667	10.248753	23.845564	-20.968945	4.0925817	1.4522564	8.282514	1.1807009	18.551401	-2.478019	0.73734605	-1.1505786	-5.285527	16000	4.8428774e-08	92.008354	-0.016842026	-16.483017	1.5288496	0.008584648	0.1075	79.0	1187.7701489925385
4	82.0	0.0	0.48235294	-0.5089331	9.5234	24.054962	-18.09988	4.089864	1.6033298	8.667565	0.91401136	18.470589	-0.0646913	1.5969968	2.9530864	-2.3436184	20000	-2.2351742e-08	139.15482	-0.013105974	-8.145908	1.498497	0.012020705	0.14125	51.0	1488.249536037445
5	80.0	0.0	0.39408866	2.7008922	9.918707	25.67025	-19.447489	3.7195559	1.4322336	7.6432543	0.9983373	19.689655	0.15981852	1.9183409	3.5325854	-3.7497447	24000	9.313226e-10	81.4377	-0.008562682	-14.147156	1.4366198	0.012085638	0.1615	18.0	1772.9218888282776
6	97.0	0.0	0.44700462	1.9971564	9.992071	24.365719	-16.594833	3.4396107	1.3590503	7.6055574	0.9275789	18.382488	3.0644217	2.3164153	6.6699276	-2.4922917	28000	-5.5879354e-09	72.69959	-0.012561858	-5.3671875	1.3520994	0.008958494	0.151	79.0	2057.4516608715057
7	75.0	0.0	0.37313432	5.155797	10.235331	25.207067	-14.456343	3.250316	1.2983772	8.219203	0.6796957	19.82587	2.9488328	2.1768491	6.515509	-1.4505862	32000	1.8626451e-08	73.600494	-0.010852903	-8.946041	1.2804384	0.0064128507	0.097	79.0	2333.4510712623596
8	63.0	0.0	0.34054053	6.3292956	9.958709	28.13411	-14.226801	3.1107497	1.2430816	7.4734626	0.92138535	20.043243	4.7898993	2.5665288	9.807613	-0.075347826	36000	3.7252903e-09	78.76923	-0.010638513	-2.1627407	1.2413237	0.006983663	0.06725	79.0	2607.7905237674713
9	43.0	0.0	0.29655173	7.6289043	10.016804	24.930758	-15.33607	3.1106336	1.2890526	7.1478515	0.90858513	20.682758	4.3786683	3.145813	10.962775	0.5288382	40000	0.0	76.32586	-0.014220312	-2.5771523	1.2469131	0.012037968	0.102749996	44.0	2896.9906389713287
