Epoch	AveragePenalty	StdPenalty	AverageCrash_counter	StdCrash_counter	Crash_ratio	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	LossVC	DeltaLossPi	DeltaLossV	DeltaLossVC	Entropy	KL	ClipFrac	StopIter	Time
0	1.05	0.0	135.0	0.0	0.69948184	-5.707393	9.055531	19.707846	-18.080902	4.480696	1.3607092	8.471543	0.93405044	16.07772	0.15100135	0.017941779	0.2742848	0.116493575	4000	-2.9802322e-08	214.74258	10.495926	-0.016060641	-114.53452	-9.301945	1.6087923	0.012170685	0.22575	27.0	161.3096580505371
1	1.1000289	0.0	143.0	0.0	0.63839287	-4.4547396	8.973836	18.949688	-22.413353	4.5950503	1.3930314	10.297503	0.8964113	17.700893	-3.8405702	5.3958616	7.966694	-19.876001	8000	3.7252903e-09	115.805954	1.7167686	-0.015450132	-63.08292	-0.14097059	1.594418	0.012059223	0.21825	79.0	315.8434634208679
2	1.1498715	0.0	107.0	0.0	0.54591835	-2.15402	9.957896	21.081423	-20.80095	4.1864915	1.4280255	9.329835	1.0056925	18.015306	-0.37335762	3.1128902	12.564715	-6.484714	12000	0.0	112.79323	1.7339635	-0.017923053	-21.140863	-0.40751785	1.5625467	0.012020614	0.17300001	47.0	474.820187330246
3	1.1994637	0.0	79.0	0.0	0.43406594	1.9179156	8.984876	21.747276	-16.156536	3.9318533	1.5063773	8.402047	0.8988742	18.906593	-0.34721112	3.6848943	11.157942	-7.8998957	16000	0.0	106.70025	1.3004818	-0.009842336	-10.320862	-0.0613894	1.5228708	0.012650438	0.27125	9.0	634.8745062351227
4	1.2489966	0.0	83.0	0.0	0.41919193	1.2072343	9.689377	21.514996	-25.347622	4.036764	1.4878451	8.592944	0.9648397	20.010101	2.150039	4.1861115	8.855785	-8.4691	20000	0.0	83.77578	1.4247851	-0.006294281	-33.704754	-0.041047513	1.4733889	0.01340691	0.26125002	7.0	791.047990322113
5	1.2981393	0.0	82.0	0.0	0.4	3.0396135	9.999727	23.115488	-16.676382	3.567048	1.3247182	7.093802	0.9159285	19.204878	3.3671918	2.9360003	8.32219	-8.418107	24000	-1.8626451e-08	54.917366	1.2904989	-0.008136516	-4.807308	-0.14863132	1.4157188	0.013372644	0.21149999	5.0	947.4129037857056
6	1.3469179	0.0	65.0	0.0	0.35326087	3.2884953	9.911122	26.307661	-17.213148	3.4447846	1.5110874	8.523144	0.68065274	20.070652	5.4123516	2.956481	9.865409	-7.957553	28000	-1.8626451e-09	75.42947	1.2861443	-0.0063290168	-8.043378	-0.03962429	1.3663685	0.016465133	0.40625	5.0	1104.9640159606934
7	1.3953798	0.0	57.0	0.0	0.30319148	6.182163	9.129345	24.250795	-13.912955	3.373341	1.4059136	7.4540873	0.932529	21.069149	4.771817	2.3405385	10.104429	-4.3651443	32000	-3.7252903e-09	48.447197	1.1612002	-0.004895372	-7.0515785	-0.028346777	1.2583663	0.01514355	0.17275	4.0	1262.7431740760803
8	1.4434456	0.0	61.0	0.0	0.30964467	6.081683	9.694351	25.38715	-15.762259	3.1923723	1.2406175	6.6647058	0.9299302	20.182741	6.5772014	2.490011	11.0933895	-1.5158337	36000	-7.450581e-09	42.8434	0.9630771	-0.0069717867	-1.2792959	-0.052327767	1.1669458	0.014153608	0.17975	5.0	1418.6529138088226
9	1.4910395	0.0	61.0	0.0	0.31937173	6.913266	10.545909	28.436853	-25.803972	3.0151317	1.3683649	8.507783	0.9137388	20.769634	7.1833587	2.5174778	11.813642	-1.3120233	40000	9.313226e-09	49.151665	1.1276865	-0.005788691	-1.3689747	-0.042019993	1.0535555	0.015035763	0.2235	4.0	1577.3532531261444
