Epoch	penalty	Crash_ratio	alpha	entropy	critic1	critic2	cost	LossPi	alpha_loss	critic1_loss	critic2_loss	cost_loss	sigma	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	Buffer_size	TotalEnvInteracts	Time
1	1.0565635	0.39204547	0.95096046	1.2768568	0.678651	0.6832268	0.18172678	-1.7275386	-0.26135686	1.7330292	1.7289965	0.11139979	0.100005016	6.7018933	8.138863	21.327454	-8.285002	3.855555	1.3906039	10.138388	1.4099103	19.420454	5998	4000.0	251.05982303619385
2	1.1625634	0.30898875	0.86103666	1.2267265	0.8078019	0.8074729	0.20511173	-1.7256196	-0.72650856	2.0563426	2.056166	0.09354734	0.105005264	8.074755	22.878017	23.689299	-275.15295	3.5201778	1.4367025	6.96637	0.0	25.466291	6998	8000.0	505.6827449798584
3	1.268457	0.24102564	0.78471833	1.1339281	0.9157254	0.9156769	0.22043349	-1.7089937	-1.1205122	2.4286578	2.4301343	0.09079037	0.110255525	11.639168	7.647243	24.500257	-6.6625814	3.2702794	1.3662654	6.7770357	0.6532232	20.605127	7999	12000.0	759.6444005966187
4	1.3729961	0.2562814	0.7159985	0.9717534	1.0137823	1.0134684	0.23252796	-1.7007363	-1.4135467	2.827556	2.8303697	0.08554523	0.11576826	12.064139	7.8083816	26.749462	-6.7089715	3.1520076	1.3457013	7.540388	0.9243047	20.085426	8999	16000.0	1012.8840823173523
5	1.4779687	0.23033708	0.6508174	0.8853944	1.1565918	1.1562241	0.2485718	-1.8507178	-1.8979607	3.026539	3.029146	0.07906403	0.12155673	13.938288	7.6714296	24.01897	-5.838009	3.0779128	1.3341562	7.3184304	0.9935032	20.949438	9998	20000.0	1268.7913036346436
6	1.5824785	0.14503817	0.58927214	0.7783074	1.2591546	1.2586824	0.26439688	-1.8815244	-2.3798807	3.115464	3.116837	0.07088957	0.12763457	13.952991	21.525572	26.565048	-219.34102	2.9920719	1.274854	6.2611766	0.0	28.931297	10998	24000.0	1518.315809726715
7	1.6858096	0.21818182	0.53548586	0.7265626	1.3878026	1.3872895	0.27225757	-1.8324543	-2.6384926	3.1719928	3.17206	0.06343092	0.13401628	13.3635845	18.68264	27.854298	-206.41718	3.180546	1.3297019	6.8102784	0.0	27.139395	11998	28000.0	1768.39195728302
8	1.7889204	0.22395833	0.48804188	0.6293755	1.5430039	1.5426807	0.28780195	-1.8722886	-2.837807	3.207267	3.206473	0.05917129	0.14071707	15.317618	7.683389	28.025808	-5.3861313	3.017787	1.2682835	6.3547134	0.9220938	20.822916	13000	32000.0	2014.921183347702
9	1.8933535	0.19072165	0.44323555	0.5292984	1.7668015	1.7664751	0.31182978	-2.1150029	-3.3845615	3.2473989	3.2466273	0.056190487	0.14775296	16.675898	7.082421	27.545984	0.16031279	2.872847	1.1994636	6.3232503	0.8928772	20.664948	13999	36000.0	2255.476391553879
10	1.9984167	0.19680852	0.40201885	0.45229715	1.963491	1.9631162	0.32723865	-2.2539437	-3.6730165	3.2321854	3.2307847	0.052288733	0.15514056	17.030785	7.319442	27.774855	0.06537798	2.8645568	1.15135	5.7865133	0.9306095	21.170214	14998	40000.0	2497.460069656372
11	2.1016898	0.113513514	0.36559075	0.38671735	2.165319	2.1653628	0.3414603	-2.3242452	-3.7889109	3.1781476	3.1766956	0.05030616	0.16289762	18.979212	6.1877713	29.837652	1.2987529	2.7339175	1.0588042	5.292172	0.6652872	21.772972	15998	44000.0	2751.1643176078796
12	2.205479	0.19148937	0.33171463	0.36046576	2.422462	2.4216332	0.35920087	-2.562799	-4.4228716	3.1208584	3.119729	0.048022415	0.17104249	17.80833	7.4173875	27.842247	0.16969293	2.7490811	1.234998	6.141915	0.66563994	21.122341	16998	48000.0	3008.2740268707275
13	2.3079705	0.16402116	0.3010897	0.3301598	2.6673923	2.6671996	0.37502447	-2.761755	-4.7844095	3.0557032	3.055678	0.0459962	0.17959465	18.407028	6.885928	29.03921	-0.9759995	2.6385021	1.131216	5.6815224	0.9883395	21.153439	17998	52000.0	3243.216506958008
14	2.4107928	0.15053764	0.27346814	0.28408968	2.8569136	2.8565893	0.38207296	-2.7761505	-4.7481	2.946676	2.9486854	0.04515291	0.18857437	18.991566	6.9683537	29.39857	0.0066418326	2.643923	1.1038476	5.7670736	0.6625149	21.553764	18998	56000.0	3495.1632051467896
15	2.5128891	0.15343915	0.248095	0.2611526	3.144495	3.1434717	0.40151617	-3.0603745	-5.5961065	2.8866525	2.8889155	0.04406496	0.19800308	19.320257	6.9631467	30.280432	0.5991692	2.61579	1.1878842	6.2052155	0.93176454	21.264551	19998	60000.0	3760.391436815262
16	2.6145427	0.12972973	0.22525068	0.23428847	3.2822347	3.2819307	0.4059669	-2.9817824	-5.3079605	2.7737775	2.7764342	0.042960916	0.20790324	19.825052	6.5320287	30.50482	1.476421	2.5493793	1.076605	5.76873	0.90815955	21.545946	20998	64000.0	4008.372640132904
