Epoch	Crash_ratio	Eval_Q	Target_Q	TD_error	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	TotalEnvInteracts	Time
1	0.6987952	-0.21126698	-0.07907993	1.9011688	-4.8072696	15.766149	23.640472	-164.09894	4.4776573	1.3477368	8.447404	1.1779492	23.89759	4000.0	338.33104825019836
2	0.2755102	2.941519	2.2697933	2.165074	14.471156	9.754018	29.83841	-9.167995	2.4100046	1.2276655	6.234914	0.90051895	20.479591	8000.0	648.6210668087006
3	0.23880596	7.6665473	6.542065	3.0589457	15.447181	9.179952	29.971611	-3.7085063	2.2205896	1.1682043	5.4984736	0.66777444	19.845772	12000.0	962.296888589859
4	0.13586956	10.410541	9.094595	2.9829946	16.038023	8.649022	29.553572	-6.266055	2.165673	1.2712797	6.041647	0.90842664	21.695652	16000.0	1272.1193664073944
5	0.07486631	11.472483	10.017828	2.625684	17.168222	7.528668	29.393162	-4.5708265	1.9842466	0.9695564	5.9746313	0.8944411	21.481283	20000.0	1587.5272662639618
6	0.09189189	11.900518	10.337793	2.4628778	17.922281	7.3936987	28.974121	-5.456531	2.0777617	0.8724278	5.666495	0.92538995	21.54054	24000.0	1897.261245727539
7	0.031055901	12.209914	10.609085	2.2973568	17.993147	6.7457952	29.481451	-5.344932	1.8582609	0.88845134	6.3954344	0.8981874	21.745342	28000.0	2222.2590651512146
8	0.01875	12.320227	10.763387	2.1072466	18.284742	6.9483867	29.149149	-24.269152	1.7625544	0.7087381	4.658383	0.0	28.21875	32000.0	2547.354434967041
9	0.02247191	12.537025	10.984365	1.9626324	19.296618	5.4901147	31.67119	-1.7322173	1.8240248	0.6664226	4.5919237	0.9115293	22.438202	36000.0	2849.5990121364594
10	0.016853932	12.74897	11.1865835	1.8511167	19.98216	5.662386	30.20597	-2.4765105	1.920191	0.74066275	5.7664423	0.8889435	22.511236	40000.0	3153.330769777298
11	0.0	12.951573	11.392856	1.7161816	19.244413	5.390021	28.434313	2.6166234	1.8615927	0.673638	4.7048364	0.8989113	21.907104	44000.0	3456.535591363907
12	0.0	13.16048	11.616947	1.5949187	20.437185	4.4895487	30.347513	6.346076	1.9304926	0.6755041	4.966253	0.7191582	22.463276	48000.0	3761.201597213745
13	0.0	13.390752	11.877233	1.4504423	19.955566	4.5734553	30.761951	7.688043	1.8768921	0.6834065	4.700115	0.91456276	22.294445	52000.0	4068.2698035240173
14	0.0	13.579865	12.088253	1.3348601	19.314247	4.511015	29.96704	6.6596313	1.9850157	0.79457	5.4133415	0.6822075	22.531073	56000.0	4376.352805614471
15	0.005524862	13.766424	12.300108	1.2304193	20.15362	4.505354	29.234089	-0.8644694	1.9683045	0.79005605	4.760602	0.66648954	22.254143	60000.0	4682.404522657394
16	0.005586592	13.90992	12.463824	1.1503196	19.896036	3.936451	31.218636	2.9451725	1.9625078	0.71543324	3.6500025	0.89722	22.24581	64000.0	4987.799700021744
17	0.0055555557	14.025251	12.580132	1.1062247	19.949097	3.7883341	30.222996	-0.64215106	2.0199745	0.72234213	5.4959097	0.8947321	22.227777	68000.0	5295.2500739097595
18	0.005524862	14.1270685	12.680025	1.0480977	20.584259	4.026812	30.021631	1.981278	1.9244877	0.7235189	4.6500244	0.91141826	22.127071	72000.0	5602.347162246704
19	0.0	14.184342	12.734455	1.0324805	20.134577	3.7073228	28.829535	10.4227085	1.9303877	0.6577259	4.1305003	0.8911175	22.082872	76000.0	5907.9577441215515
20	0.005524862	14.241665	12.79225	1.0110075	20.007404	4.0179014	28.120573	6.0044327	2.0905752	0.776573	4.4783955	0.9127757	22.049725	80000.0	6215.309251308441
21	0.0	14.294601	12.835035	1.0051932	20.306656	4.277433	28.65244	5.9270515	2.0537925	0.74005973	5.1608434	0.6668534	22.176796	84000.0	6522.672076702118
