Epoch	penalty	Crash_ratio	alpha	entropy	critic1	critic2	cost	LossPi	alpha_loss	critic1_loss	critic2_loss	cost_loss	sigma	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	Buffer_size	TotalEnvInteracts	Time
1	1.0579944	0.44285715	0.95521754	1.1617817	0.56189656	0.5651916	0.14620039	-1.5149292	-0.20922008	1.4540246	1.4528617	0.07581616	0.100005016	7.0372505	8.953621	23.076471	-7.9754033	3.47111	1.2864574	6.6398315	0.92731726	18.833334	5998	4000.0	268.56882762908936
2	1.1667138	0.34951457	0.8675203	1.1476347	0.7969207	0.797407	0.18237092	-1.6615174	-0.65697634	2.0781803	2.0784569	0.07320611	0.105005264	9.206735	8.229493	22.638025	-7.6785703	3.3864408	1.3398918	6.470463	0.9326731	19.451456	6998	8000.0	514.5079278945923
3	1.2755543	0.33658537	0.78495985	1.1376135	0.9583482	0.9579426	0.20653759	-1.7820777	-1.1495645	2.5154932	2.5145786	0.0748092	0.110255525	10.600044	8.478424	25.05892	-7.5784063	3.1817462	1.2799402	6.951387	0.92281574	19.458536	7998	12000.0	748.9647631645203
4	1.383701	0.3139535	0.7119491	0.99668086	1.0297503	1.0296193	0.22519772	-1.7889572	-1.5606529	2.8731172	2.873091	0.0731445	0.11576826	11.639366	8.520782	24.85773	-5.6929865	3.0001807	1.3072075	6.0778794	0.9131961	19.33721	8998	16000.0	995.3218929767609
5	1.4889574	0.2244898	0.6464176	0.9402284	1.1074438	1.1076678	0.23605356	-1.7793411	-2.0650065	2.9940903	2.9949682	0.067244746	0.12155673	12.265629	18.548565	24.894384	-192.021	2.6928806	1.2935909	5.891449	0.0	26.768707	9998	20000.0	1251.2711420059204
6	1.5923513	0.18994413	0.58649576	0.80633783	1.2149278	1.2151724	0.2493916	-1.7814653	-2.3478718	3.1778207	3.179149	0.06152078	0.12763457	14.818952	16.029753	26.459467	-172.65538	2.7064288	1.2150332	5.163397	0.0	26.541899	10998	24000.0	1487.449253320694
7	1.695518	0.2371134	0.5366892	0.59353304	1.3247732	1.3248447	0.25917616	-1.8109317	-2.3473542	3.3209555	3.3224907	0.056487978	0.13401628	15.570489	8.170878	26.640991	-5.170426	2.6686296	1.2752442	5.4588623	0.93275934	20.768042	11998	28000.0	1710.9250929355621
8	1.7994729	0.19270833	0.4892898	0.5316932	1.5466557	1.5473233	0.27977282	-2.0911176	-2.9047253	3.4291694	3.4318364	0.05289492	0.14071707	16.473907	7.146475	28.914114	0.49877232	2.532343	1.2067765	5.1465054	0.8918221	20.729166	12998	32000.0	1941.894453048706
9	1.903312	0.2371134	0.44382948	0.45587334	1.749719	1.7494642	0.29300007	-2.2309568	-3.1519985	3.4329755	3.4368029	0.05042875	0.14775296	15.976567	8.292203	27.20026	-2.906434	2.7519872	1.2439054	6.065295	0.6752988	20.525774	13998	36000.0	2176.136943101883
10	2.0073895	0.24226804	0.4029972	0.41393784	1.9640139	1.9645731	0.30749542	-2.401985	-3.5084805	3.3733785	3.3769975	0.047459688	0.15514056	16.796724	8.1412325	27.656515	-3.4390316	2.6612768	1.2559843	5.947492	0.9090451	20.57732	14998	40000.0	2409.0165436267853
11	2.1095653	0.19689119	0.36624774	0.3944508	2.181691	2.181459	0.31777263	-2.5409203	-3.8564885	3.3053296	3.3088803	0.04486462	0.16289762	17.643795	7.722849	32.564983	-2.8784175	2.5431085	1.1901844	5.54062	0.88770986	20.683937	15998	44000.0	2642.873113632202
12	2.2114449	0.22797927	0.3328554	0.35120875	2.422942	2.422286	0.33104998	-2.7316382	-4.1544237	3.249581	3.2535405	0.043087635	0.17104249	17.91811	7.9016647	29.63246	0.5163999	2.5852997	1.2308109	5.615394	0.90989876	20.818653	16998	48000.0	2872.0769395828247
13	2.3135757	0.17460318	0.30196276	0.3276645	2.633927	2.6333158	0.33901563	-2.844868	-4.489714	3.1459262	3.1492827	0.041591506	0.17959465	18.94742	7.3310647	30.94469	0.57828647	2.4717946	1.170858	5.4780965	0.68465495	21.301588	17998	52000.0	3098.6197593212128
14	2.4148579	0.12568305	0.27352148	0.29490137	2.941893	2.9416513	0.35354498	-3.169558	-5.2490916	3.0927358	3.0956376	0.040850837	0.18857437	20.015108	6.775506	29.8828	0.5879662	2.405388	1.0906942	5.3634806	0.9110938	21.759563	18998	56000.0	3339.5152139663696
15	2.51609	0.18421052	0.24767616	0.26788265	3.1336432	3.1332812	0.35494787	-3.213523	-5.259965	2.9827778	2.9844942	0.039519962	0.19800308	19.39818	7.511928	30.22489	0.36521685	2.3633227	1.2239465	6.253939	0.9091403	21.105263	19998	60000.0	3595.27419257164
16	2.6165836	0.17460318	0.22469036	0.23569287	3.4171104	3.4174492	0.36747274	-3.4749644	-5.9186926	2.9056358	2.9046993	0.03879872	0.20790324	20.04969	7.5423574	29.515814	1.0981895	2.484007	1.1268507	5.4923887	0.67951626	21.11111	20998	64000.0	3846.479398727417
17	2.717375	0.15873016	0.20371677	0.21635225	3.6219485	3.6213021	0.3721196	-3.5549757	-6.035071	2.8032207	2.7990625	0.038674574	0.21829838	19.974342	7.085047	30.348248	2.3098485	2.4104052	1.1643602	5.5658693	0.8918255	21.21164	21998	68000.0	4093.166297674179
18	2.8172529	0.14673913	0.18527125	0.18970612	3.8223994	3.8222182	0.37570778	-3.6214023	-6.0946245	2.681252	2.6751163	0.03792677	0.22921327	20.726004	7.1618185	32.997536	1.9096317	2.3188283	1.1251346	5.4611444	0.9090578	21.625	22998	72000.0	4341.229515790939
19	2.9173486	0.20634921	0.16846462	0.17765793	4.0522895	4.0519395	0.38446516	-3.7496455	-6.4179935	2.6123905	2.6038368	0.03749913	0.2406739	19.683504	7.883052	30.148615	1.7554098	2.6118069	1.2663385	5.536959	0.911656	21.243385	24000	76000.0	4586.05088019371
20	3.0174296	0.1891892	0.15288204	0.16576137	4.2668543	4.267371	0.39007616	-3.8931704	-6.985069	2.5231779	2.51173	0.036286376	0.2527077	20.324038	7.7409782	30.53384	3.0371208	2.4826112	1.1943967	5.552752	0.9184954	21.481081	24998	80000.0	4825.13783121109
21	3.11811	0.20526315	0.13839714	0.1485448	4.57747	4.577785	0.40166324	-4.2365603	-7.469882	2.5134997	2.4970024	0.03738468	0.26534307	20.105883	7.9357896	32.071827	1.5398145	2.448863	1.3144094	6.115892	0.9125801	21.21579	25998	84000.0	5057.82657790184
22	3.2186365	0.13586956	0.12511933	0.14073747	4.8071737	4.80688	0.40575334	-4.3550324	-7.929046	2.432906	2.415133	0.036364168	0.27861014	21.259506	7.011235	32.007458	2.0674539	2.2646465	1.1864918	5.7120385	0.66761327	21.755434	27000	88000.0	5288.724052429199
23	3.3183393	0.16304348	0.11367734	0.12464046	4.982297	4.9821353	0.40850776	-4.3911757	-7.9384904	2.325535	2.3076932	0.03614296	0.29254067	20.65107	7.3672304	35.55813	2.9795668	2.4292474	1.0947702	5.3996425	0.9253141	21.527174	27998	92000.0	5510.215200185776
24	3.417992	0.18181819	0.10306976	0.121257134	5.1968117	5.1966105	0.41508234	-4.514486	-8.335401	2.2506723	2.230105	0.035839904	0.3071677	20.641285	7.898428	31.619823	3.6964366	2.3169625	1.1820616	5.7873316	0.90065247	21.427807	28998	96000.0	5728.668643712997
