Epoch	Crash_ratio	Eval_Q	Target_Q	TD_error	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	TotalEnvInteracts	Time
1	0.6315789	0.7971417	0.745989	1.4356037	-0.2061403	7.9097238	16.5	-19.8	1.4894736	0.8902364	6.6	0.0	35.0	4000.0	84.28514075279236
2	0.44052863	3.1078386	2.6906388	1.443217	8.654626	7.426848	17.8	-5.5	0.5096916	0.5605955	1.9	0.0	17.643171	8000.0	180.85920596122742
3	0.19270833	5.768701	5.0554605	1.6875652	12.433856	6.77618	17.8	-2.7	0.29635417	0.5603545	2.2	0.0	20.78125	12000.0	278.1434931755066
4	0.15934066	7.8765497	7.0099936	1.7627925	12.254946	6.7512355	17.7	-4.8	0.32912084	0.68802816	2.9	0.0	21.956043	16000.0	374.5661270618439
5	0.123595506	9.197558	8.231834	1.6739078	12.956181	6.0080647	17.8	-5.3	0.26235956	0.63004285	3.3	0.0	22.522472	20000.0	483.81532049179077
6	0.108571425	9.753355	8.741367	1.5734878	12.782285	5.656195	17.9	-5.5	0.25771427	0.64986634	3.5	0.0	22.72	24000.0	596.316465139389
7	0.06629834	9.920824	8.917965	1.5018653	13.044752	4.797759	17.8	-5.6	0.11104973	0.376065	2.2	0.0	22.232044	28000.0	755.9180233478546
8	0.04918033	10.077519	9.065167	1.3643532	13.522405	4.265209	17.8	-2.8	0.09508196	0.34360334	2.3	0.0	21.825136	32000.0	921.1546440124512
9	0.0	10.1992655	9.188689	1.1970758	14.777037	3.412438	17.9	-12.1	0.02	0.09173231	0.5	0.0	29.518518	36000.0	1019.7766280174255
10	0.04379562	10.26673	9.260271	1.0480018	14.572992	4.6403575	17.9	-11.3	0.08759124	0.34502622	2.5	0.0	29.416058	40000.0	1116.217740535736
11	0.007575758	10.320038	9.30889	0.9392483	14.716666	3.6973815	17.8	-13.2	0.02348485	0.14347412	1.2	0.0	30.113636	44000.0	1212.8811852931976
12	0.016853932	10.376927	9.374119	0.85046774	14.601686	3.2073734	17.8	-2.6	0.030337078	0.14832737	1.0	0.0	22.578651	48000.0	1310.6933722496033
13	0.007633588	10.423008	9.429629	0.76180565	15.2229	3.4735768	17.9	-12.6	0.03129771	0.31600654	3.6	0.0	30.290077	52000.0	1408.4511501789093
14	0.005586592	10.494195	9.488964	0.700423	15.103352	2.463678	17.8	-0.7	0.022346368	0.12751633	1.0	0.0	22.441341	56000.0	1508.0039429664612
15	0.0057471264	10.562446	9.553073	0.6576754	15.48046	2.5593345	17.9	-0.5	0.03045977	0.18919922	2.0	0.0	22.994253	60000.0	1606.1691648960114
16	0.0	10.643203	9.637866	0.6177263	15.297715	2.0785422	17.9	6.8	0.022857143	0.1044324	0.5	0.0	22.851429	64000.0	1706.4960339069366
17	0.0	10.730473	9.718369	0.58103454	15.465144	1.8883665	17.8	9.4	0.025714286	0.110951364	0.6	0.0	22.84	68000.0	1807.6412887573242
18	0.011363637	10.803832	9.783818	0.55081713	14.827273	4.285473	17.7	-28.2	0.07215909	0.4299417	5.0	0.0	22.710228	72000.0	1915.2815568447113
19	0.0	10.851617	9.827396	0.53009254	15.405648	2.2074533	17.8	-1.5	0.031073445	0.17753963	2.0	0.0	22.638418	76000.0	2033.4562830924988
20	0.0	10.908881	9.884812	0.51375103	15.235754	2.3719864	17.7	-1.4	0.03631285	0.18899862	2.0	0.0	22.329609	80000.0	2160.6837191581726
21	0.0	10.963979	9.943356	0.49239784	15.497207	1.819676	17.7	8.5	0.017877094	0.09101517	0.5	0.0	22.346369	84000.0	2299.77205991745
22	0.0	11.004408	9.980409	0.4751708	15.122778	2.084595	17.6	7.7	0.013888889	0.08216777	0.5	0.0	22.233334	88000.0	2448.8506639003754
23	0.0	11.032707	10.014704	0.45326936	14.971322	4.162824	17.8	-26.8	0.073529415	0.6874115	8.0	0.0	29.477942	92000.0	2598.735471010208
24	0.0	11.035033	10.036026	0.43688655	15.510001	1.6363951	17.7	10.0	0.012222222	0.07502263	0.5	0.0	22.088888	96000.0	2741.7795095443726
25	0.005524862	11.057451	10.051624	0.42730317	15.110497	2.6163003	17.7	-2.9	0.038121548	0.22108424	2.0	0.0	22.23757	100000.0	2885.218634366989
26	0.0	11.078756	10.077648	0.41246247	15.286668	2.8432584	17.8	-11.8	0.0074074073	0.06040558	0.5	0.0	29.666666	104000.0	3040.157600879669
27	0.0	11.089004	10.104784	0.39734304	15.551383	1.524192	17.6	10.2	0.016574586	0.08951299	0.5	0.0	21.98895	108000.0	3216.402487039566
28	0.0	11.09482	10.1109085	0.37630156	15.021323	3.4414303	17.5	-14.7	0.029411765	0.19893748	2.0	0.0	29.514706	112000.0	3374.052959918976
29	0.0	11.104318	10.120529	0.3793769	15.686364	1.5678359	17.7	9.8	0.017045455	0.09073136	0.5	0.0	22.613636	116000.0	3544.6879963874817
30	0.013793103	11.110882	10.130923	0.36386928	14.96069	3.0611086	17.6	-2.9	0.051034484	0.22410503	2.0	0.0	21.634483	120000.0	3708.2255170345306
31	0.0	11.100528	10.12714	0.35839736	15.190131	3.0611908	17.6	-11.7	0.034210525	0.21247452	2.0	0.0	28.835526	124000.0	3851.6006894111633
32	0.0	11.099131	10.133845	0.35190877	15.449368	2.644621	17.6	-10.7	0.020253165	0.09662631	0.5	0.0	28.449368	128000.0	4016.29735827446
33	0.005524862	11.11819	10.159872	0.33973834	15.274587	2.0790763	17.5	-1.0	0.01712707	0.10916322	1.1	0.0	22.143646	132000.0	4205.704977273941
34	0.0	11.132477	10.183025	0.33239698	15.463128	1.6989261	17.7	9.2	0.015083799	0.109577	1.2	0.0	22.27933	136000.0	4365.961753129959
35	0.016666668	11.148572	10.193621	0.32933822	15.443334	2.5530176	17.5	-1.1	0.053888887	0.27332598	2.6	0.0	22.172222	140000.0	4523.497364521027
36	0.0	11.172877	10.224563	0.316916	15.598901	1.4830539	17.8	10.9	0.028571427	0.11462861	0.5	0.0	21.967033	144000.0	4675.925926685333
37	0.0	11.191356	10.253019	0.31247914	15.833148	1.3354594	17.8	11.6	0.014044944	0.08261484	0.5	0.0	22.52809	148000.0	4896.186212301254
38	0.005586592	11.210895	10.265033	0.3027274	15.715643	1.8439031	17.6	3.6	0.020670392	0.1339874	1.5	0.0	22.435755	152000.0	5073.309184789658
39	0.0	11.224725	10.283406	0.29586324	15.717514	1.4323062	17.9	9.6	0.01977401	0.09744739	0.5	0.0	22.457626	156000.0	5229.559248447418
40	0.0	11.246151	10.308359	0.29254285	15.576243	1.5988736	17.6	7.4	0.010497238	0.084423795	0.9	0.0	22.143646	160000.0	5418.2899696826935
