Epoch	AveragePenalty	StdPenalty	AverageCrash_counter	StdCrash_counter	Crash_ratio	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	LossVC	DeltaLossPi	DeltaLossV	DeltaLossVC	Entropy	KL	ClipFrac	StopIter	Time
0	1.05	0.0	129.0	0.0	0.6753927	-6.4254923	8.83818	18.896406	-21.950132	4.5928617	1.2555661	8.022996	1.1672205	16.670156	0.035153307	0.025685929	0.08943659	-0.083577886	4000	1.8626451e-08	164.46399	10.268448	-0.010671128	-63.46486	-9.140303	1.6075671	0.012622512	0.2805	7.0	157.03053092956543
1	1.1000615	0.0	127.0	0.0	0.6614583	-5.211148	8.956369	16.54146	-21.227093	4.93662	1.547008	9.229944	1.8283812	17.890625	-5.06253	5.1694174	6.2256227	-16.601683	8000	3.7252903e-09	92.65213	1.5796968	-0.007004451	-4.1370525	-0.117427126	1.5872633	0.01271206	0.27275002	11.0	310.76754784584045
2	1.1499381	0.0	125.0	0.0	0.5707763	-2.882194	8.823959	23.690018	-21.187647	4.420651	1.4080119	8.157849	1.1842507	17.995434	-3.247657	3.7793999	6.664955	-11.82713	12000	-1.6763806e-08	95.30003	1.7526107	-0.0061882846	-44.85251	-0.2253024	1.5595002	0.014636479	0.26275	8.0	461.0171217918396
3	1.1996	0.0	68.0	0.0	0.48920864	-0.68467134	10.718362	20.733437	-27.885626	4.202092	1.4584554	8.506062	0.864404	18.94964	2.6386585	3.6808996	11.64982	-5.0464964	16000	4.4703484e-08	325.57898	1.1456002	-0.008584537	-195.29834	-0.12617247	1.5298069	0.01215969	0.282	10.0	620.7149348258972
4	1.2490605	0.0	92.0	0.0	0.4509804	0.43202603	9.932978	21.170683	-18.193415	4.0724096	1.44215	8.413505	0.9412967	19.32353	-0.58667415	6.2063866	10.932078	-15.386869	20000	3.0733645e-08	132.77533	1.6160591	-0.0071778577	-76.635796	-0.09134072	1.4151096	0.01207921	0.0335	16.0	776.6396155357361
5	1.2982963	0.0	98.0	0.0	0.47115386	0.6005302	10.459743	26.435503	-19.22341	3.926769	1.5293597	9.357353	1.1484306	19.086538	3.355057	2.725158	8.463277	-4.257844	24000	7.450581e-09	60.734367	1.5848076	-0.016968843	-4.587862	-0.0762133	1.3244017	0.01203721	0.13174999	43.0	930.8481559753418
6	1.3472264	0.0	76.0	0.0	0.3838384	3.2237525	10.406665	24.824812	-21.810064	3.7203972	1.4639285	7.8420963	0.9295654	19.989899	3.8662794	3.606926	9.891667	-4.3631487	28000	-1.1175871e-08	57.41845	1.495681	-0.008095536	-4.9973583	-0.13907592	1.3059237	0.013030931	0.15175	11.0	1082.873452425003
7	1.3955933	0.0	63.0	0.0	0.32474226	5.7207146	10.280602	25.232367	-17.345371	3.3193438	1.4793956	7.1175933	0.9138426	20.402061	5.7436104	2.9027815	9.84047	-5.882631	32000	3.7252903e-09	50.46777	1.3646891	-0.016433666	-3.6011581	-0.11624384	1.1710693	0.0084219165	0.124	79.0	1238.421957731247
8	1.4435426	0.0	64.0	0.0	0.32820514	6.1545024	10.233622	24.64607	-17.615599	3.3154998	1.4380611	7.6843705	0.9218594	20.225641	6.682893	2.6734955	10.126458	-3.2049916	36000	3.7252903e-09	50.52579	1.2673525	-0.01564148	-3.7804632	-0.027711809	1.1382504	0.010467386	0.122	79.0	1394.5196669101715
9	1.4909307	0.0	62.0	0.0	0.31632653	7.51753	10.183919	27.415785	-13.751937	3.0587442	1.3918505	7.7458215	0.8984054	20.234694	7.6865487	2.3645275	11.360162	-5.669201	40000	-1.1175871e-08	44.991684	1.0487156	-0.016288165	-3.333396	-0.06787458	1.138273	0.012074765	0.15175	37.0	1548.0245904922485
