Epoch	AverageCrash_counter	StdCrash_counter	Crash_ratio	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	LossCV	DeltaLossPi	DeltaLossV	DeltaLossCV	Entropy	KL	ClipFrac	StopIter	Time
0	96.0	0.0	0.7164179	-2.4830275	7.9426923	18.792341	-12.326874	4.470305	1.14243	8.404424	1.5557597	15.858209	0.14590174	0.016663788	0.2742848	0.11579294	4000	1.7881393e-07	380.07858	6.9671226	-0.028128684	-37.12426	-5.7149777	1.6088872	0.012710083	0.192	19.0	508.27723002433777
1	137.0	0.0	0.6035242	0.6167622	8.976019	24.983147	-18.216751	4.4312882	1.3873639	9.228866	0.8814842	17.546255	-1.3048247	0.11238489	-0.9835221	-1.7788577	8000	6.146729e-08	69.08142	2.223051	-0.07127461	-10.232061	-0.6483694	1.5901128	0.013871368	0.22575	17.0	973.7298216819763
2	126.0	0.0	0.6268657	-0.33904824	8.098717	20.293146	-15.460463	4.1793284	1.3143721	8.331372	0.92022777	16.60199	0.33187738	0.88763326	1.484152	-1.1736782	12000	3.7252903e-08	117.34015	1.3824112	-0.048917163	-3.0599937	-0.094370246	1.5537012	0.013096059	0.13724999	12.0	1445.9629230499268
3	129.0	0.0	0.5890411	-0.4731407	8.421057	20.18386	-18.935965	3.8541229	1.302846	7.6690235	1.1750671	16.031963	0.34223026	1.0376537	1.5427312	-1.7349898	16000	0.0	113.17431	1.3695523	-0.05319164	-4.1357155	-0.08597079	1.5066054	0.012083156	0.40600002	13.0	1915.8199696540833
4	141.0	0.0	0.56626505	1.0771065	9.289353	23.342903	-13.551169	3.6058166	1.3309287	6.982654	0.67781717	15.979919	0.55820787	1.1049063	2.4281614	-2.5034053	20000	7.8231096e-08	66.835754	1.5004642	-0.025169399	-8.723757	-0.0692808	1.4298147	0.01325343	0.29675	12.0	2363.9450812339783
5	94.0	0.0	0.51648355	1.1925545	8.879915	23.624043	-13.342692	3.41489	1.38867	7.48941	0.9099924	15.945055	1.2884868	2.3048267	6.0153913	-1.7818561	24000	0.0	166.54999	1.0844184	-0.039037168	-30.756523	-0.05290404	1.4115673	0.012030599	0.36275	15.0	2843.705297231674
6	118.0	0.0	0.48962656	3.5043473	9.576847	24.217241	-13.94852	3.300158	1.2585881	6.8614783	0.9170521	16.580914	1.9950576	3.1641238	7.247291	-5.3754005	28000	1.8626451e-09	70.745384	1.1812525	-0.037977397	-9.854374	-0.017548323	1.2651048	0.012033364	0.12125	19.0	3287.9570803642273
7	71.0	0.0	0.4382716	5.313121	10.28769	28.695776	-11.924171	3.2466838	1.3899624	7.069108	0.6667078	17.648148	1.5775615	4.6009874	11.398885	-4.411217	32000	2.9802322e-08	142.14763	0.89493334	-0.03808096	-22.762291	-0.030577034	1.2726192	0.012015235	0.11975	20.0	3766.286196947098
8	99.0	0.0	0.4562212	4.9037247	10.655771	27.152372	-12.953631	3.2268877	1.2021725	6.203316	0.89799166	18.414747	4.6768074	5.320564	12.4105	-7.7557983	36000	0.0	93.96258	1.0847778	-0.020451128	-14.249672	-0.021750867	1.151248	0.013308286	0.063	16.0	4224.5352871418
9	105.0	0.0	0.46666667	4.9784184	10.801584	28.791416	-11.567251	3.0874805	1.2941604	6.308799	0.8942248	17.675556	4.493486	4.025759	10.192748	-4.9464984	40000	2.9802322e-08	75.81116	1.0745914	-0.027717602	-9.1080475	-0.02529475	1.0431163	0.014966277	0.2105	9.0	4671.176313877106
