Epoch	Crash_ratio	Eval_Q	Target_Q	TD_error	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	TotalEnvInteracts	Time
29	0.0	14.128528	12.717144	0.8821775	20.434008	5.445619	28.108482	-27.188799	1.9257281	0.7263685	5.314135	0.0	28.416666	116000.0	10314.660656929016
30	0.0	14.116211	12.687964	0.87426966	20.601002	3.9520817	29.03476	8.634206	2.0149195	0.68923914	4.6579924	0.6707417	22.177778	120000.0	10657.941591978073
31	0.0	14.163102	12.739323	0.84538466	20.19396	3.63431	28.122126	8.031252	1.9382098	0.70280427	4.5643125	0.91149783	22.044199	124000.0	11000.725111246109
32	0.0	14.189972	12.7595	0.8218326	20.01095	3.9350433	29.997643	6.2479205	1.9232165	0.7665834	4.8301067	0.91367126	21.956284	128000.0	11349.866060972214
33	0.0	14.209843	12.784778	0.8201242	20.516989	3.6996934	29.27645	9.547552	1.8943938	0.5853411	3.680202	0.8914681	22.27933	132000.0	11700.641243457794
34	0.0	14.226545	12.807941	0.79573214	20.592995	3.925546	29.751617	9.535904	1.9557232	0.65972227	3.6961732	0.9192528	22.121548	136000.0	12046.52516245842
35	0.0	14.25101	12.821383	0.77477723	20.023764	3.7299953	29.371159	11.279563	1.888586	0.5750382	3.960187	0.9077224	22.144444	140000.0	12392.693092107773
36	0.0	14.274554	12.851895	0.76452976	20.179848	4.220784	30.586237	8.396274	1.9960681	0.6722651	4.8726735	0.9238137	22.435755	144000.0	12744.763449668884
37	0.0054644807	14.280001	12.856822	0.74159753	20.055035	4.3800917	29.672615	2.5039375	1.9520954	0.7153184	5.1050954	0.6675951	21.863388	148000.0	13092.731257677078
38	0.0	14.29173	12.866131	0.73584116	20.512383	3.847497	29.39311	9.623309	1.9000515	0.6240015	4.785007	0.9230764	21.907104	152000.0	13440.820214748383
39	0.0	14.307323	12.878585	0.72744185	20.28998	3.976238	30.622963	9.530161	2.0502667	0.62203515	3.9807415	0.92359805	22.016575	156000.0	13789.510663986206
40	0.0054644807	14.319692	12.897295	0.7090134	20.231806	4.0388966	28.615189	4.796788	2.0195339	0.64428306	4.134829	0.91845053	21.819672	160000.0	14135.913653373718
41	0.0	14.356437	12.930927	0.68790257	20.535133	3.7892048	28.450924	8.090564	1.9376922	0.6189525	4.3727946	0.9103059	21.907104	164000.0	14483.015677452087
42	0.0	14.372023	12.944558	0.6862993	20.87123	4.1449866	29.538265	7.5969477	1.8070039	0.6291839	4.13733	0.91016906	22.0	168000.0	14832.318841218948
43	0.0	14.384296	12.953807	0.68924755	19.766884	4.023231	28.838398	0.043218564	1.921257	0.6531974	4.1183853	0.9040918	22.005465	172000.0	15180.569600582123
44	0.0	14.394984	12.963794	0.6697988	20.529688	3.875735	29.479939	8.234803	1.8432907	0.6241995	3.8610015	0.9160452	21.907104	176000.0	15527.673567295074
45	0.0	14.415041	12.978277	0.66507924	19.840487	4.50604	28.127777	-0.73372144	2.0267694	0.6936837	4.479658	0.9452028	22.044199	180000.0	15876.096516132355
