Epoch	AverageCrash_counter	StdCrash_counter	Crash_ratio	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	103.0	0.0	0.66883117	-7.0602117	8.228934	13.598483	-21.950132	4.682761	1.302135	8.022996	2.181468	16.837662	0.02911776	0.025995942	0.0893711	-0.083577886	4000	-2.9802322e-08	287.94394	-0.016338095	-32.287262	1.6078274	0.012043688	0.20875001	59.0	306.77002787590027
1	136.0	0.0	0.6098655	-3.9713895	9.56353	17.632116	-21.968212	4.825514	1.4951315	11.047629	1.1739095	17.784754	-2.309432	0.3743927	-1.6030009	-3.0359666	8000	-9.313226e-09	70.4588	-0.013186969	-2.402214	1.5843939	0.013785644	0.2125	15.0	591.866637468338
2	127.0	0.0	0.59624416	-4.6324334	8.803506	17.933054	-26.324228	4.926242	1.6155765	10.181099	1.4214458	18.704226	-1.49444	0.35038784	-0.8247327	-2.525525	12000	-1.6763806e-08	68.01422	-0.014892399	-1.7716675	1.5673355	0.012134045	0.13350001	52.0	885.89089179039
3	66.0	0.0	0.46478873	-1.8560477	9.385887	20.950006	-19.113937	4.5478654	1.6010687	8.540298	0.92641306	19.133802	-1.3713405	0.64597803	0.42279515	-2.9344895	16000	-2.9802322e-08	196.99738	-0.013110414	-20.029106	1.559942	0.010839006	0.0615	79.0	1185.470831155777
4	107.0	0.0	0.507109	-0.86170137	9.459866	21.452248	-23.12987	4.449582	1.6060083	9.2485	1.1445433	18.834124	-1.5520617	0.8636568	0.06921551	-3.3942525	20000	2.0489097e-08	73.849815	-0.00894305	-8.713467	1.5142316	0.013245614	0.14275	17.0	1468.0701220035553
5	67.0	0.0	0.4060606	1.4025263	10.275167	23.257374	-17.371647	4.127083	1.4528091	8.866021	0.9278086	20.70303	0.27817118	1.6472536	4.935953	-2.4064538	24000	7.450581e-09	103.218254	-0.014124393	-3.865593	1.465157	0.012066785	0.11624999	50.0	1766.1664175987244
6	77.0	0.0	0.39086294	2.4502115	10.028707	25.121407	-17.98527	3.9017718	1.5021659	8.755819	0.8999564	20.228426	2.298478	1.9635658	5.3082843	-1.9768914	28000	-1.8626451e-09	73.023285	-0.017570714	-6.1737823	1.3882543	0.007402481	0.17050001	79.0	2043.043387413025
7	60.0	0.0	0.32085562	4.667842	9.440866	22.998182	-23.067444	3.7583337	1.5177106	8.685502	1.1520754	21.278074	3.5552545	2.1928747	6.9505386	-1.0266547	32000	5.5879354e-09	65.12217	-0.007738973	-6.6302223	1.3339047	0.013965884	0.11925	12.0	2310.1522364616394
8	74.0	0.0	0.35748792	3.7596188	10.266291	24.270926	-17.971409	3.430631	1.5098932	7.9013166	0.6663337	19.275362	5.3510275	2.174695	8.409485	0.7972068	36000	1.6763806e-08	59.539673	-0.0072998274	-3.5219746	1.2470503	0.0130552305	0.164	8.0	2566.556527376175
9	50.0	0.0	0.29069766	5.968425	9.880061	24.792192	-15.508858	3.0046744	1.28249	6.278023	0.6556989	19.988373	4.622924	2.492541	10.883943	-1.1204952	40000	1.4901161e-08	84.90395	-0.01286006	-3.3456821	1.1731989	0.0050182827	0.0935	79.0	2833.497197151184
