Epoch	Crash_ratio	alpha	entropy	critic1	critic2	LossPi	alpha_loss	critic1_loss	critic2_loss	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	Buffer_size	TotalEnvInteracts	Time
1	0.5619469	0.95172036	1.5882773	0.5920824	0.5986985	-2.1267154	-0.3284031	1.4466616	1.4364413	-2.7036939	9.891489	20.528267	-25.866198	4.4897103	1.5233109	10.435618	0.9275146	17.473452	5998	4000.0	282.37452244758606
2	0.36363637	0.86137927	1.5413991	0.9968454	0.99687344	-2.401578	-0.9783353	1.8123474	1.8132513	2.6867805	9.198139	18.70008	-18.489756	4.079029	1.2390841	8.799118	1.1417692	19.034966	6998	8000.0	511.33941411972046
3	0.3292683	0.77988267	1.4650987	1.4990969	1.4985268	-2.8026133	-1.6091291	2.0170965	2.0204225	4.14774	28.680416	24.901152	-242.37514	3.6718526	1.4781033	8.20896	0.5	32.292683	7998	12000.0	733.216413974762
4	0.335	0.70643896	1.36375	2.115155	2.1144629	-3.328931	-2.2133098	2.4259715	2.430209	9.585825	8.832965	23.23931	-16.115698	3.4242437	1.2029369	8.629988	1.1910794	19.925	8998	16000.0	947.6915044784546
5	0.315	0.6401496	1.2504199	2.8069777	2.8062916	-3.9518285	-2.7899287	2.70525	2.7045443	11.228599	9.377343	26.779823	-8.124579	3.2539804	1.3090136	7.335191	0.9146153	20.15	9998	20000.0	1157.8776769638062
6	0.2994924	0.58010656	1.1659018	3.5228844	3.5221128	-4.5863304	-3.359627	2.9551566	2.9475358	12.392624	9.505935	27.884851	-7.8138003	3.0631385	1.3062544	6.63306	0.6681488	20.253807	11000	24000.0	1365.7451717853546
7	0.26288658	0.52559596	1.0970428	4.2417073	4.2408166	-5.225719	-3.9238124	3.1420107	3.1214092	14.162311	9.20325	27.655714	-4.0614944	2.8667402	1.1991585	7.1518426	0.9039171	20.484535	11998	28000.0	1572.5521459579468
8	0.2914573	0.4761645	1.0194602	4.959428	4.9588366	-5.8744082	-4.468228	3.308083	3.267526	13.810169	9.30222	28.210695	-5.516684	2.9679005	1.2878625	7.7480927	0.667056	20.311558	12998	32000.0	1781.0617554187775
9	0.17741935	0.43139625	0.9508895	5.6105556	5.60963	-6.461508	-5.0051527	3.453814	3.3811395	16.146513	8.898537	31.559502	-4.9996257	2.7497685	1.2564416	6.5098658	0.90959615	21.290323	13998	36000.0	1990.605319261551
10	0.2741117	0.39077926	0.8900244	6.261117	6.26106	-7.042936	-5.536349	3.5532303	3.4479337	15.042894	9.616593	28.445097	-6.335313	2.7756124	1.2436756	6.640428	0.9098337	20.345179	14998	40000.0	2196.0082631111145
11	0.26020408	0.35394946	0.8357627	6.7831492	6.7818613	-7.509819	-6.062857	3.637793	3.4943514	15.29414	9.385912	27.66732	-3.963685	2.7552853	1.2244439	5.8277555	0.9100612	20.530613	15999	44000.0	2402.100087404251
12	0.25	0.320615	0.76784235	7.2776465	7.276124	-7.945422	-6.5630302	3.7163265	3.534842	16.074804	9.471423	29.594965	-5.129793	2.6117718	1.2565396	5.8550296	0.6672028	20.848959	17000	48000.0	2604.8537878990173
13	0.23684211	0.2904262	0.6957421	7.7088933	7.7076263	-8.338476	-7.0439305	3.7460244	3.531218	15.887568	9.283269	29.483332	-7.0000916	2.553143	1.2906122	7.295901	0.90912896	20.83158	17998	52000.0	2809.9139256477356
14	0.26666668	0.2630892	0.64320046	8.095996	8.095183	-8.670904	-7.5370564	3.7926674	3.5461192	15.996278	9.467045	28.376081	-3.4385824	2.5520558	1.2750891	5.625703	0.6676976	20.635897	18998	56000.0	3011.617432117462
15	0.2670157	0.23830512	0.57984227	8.435656	8.433288	-8.987881	-8.004489	3.7419877	3.4745865	16.182596	10.115598	31.004065	-4.5821605	2.6185613	1.3690519	7.0135713	0.91582227	20.926702	19998	60000.0	3215.2999579906464
16	0.22994652	0.21586479	0.51961386	8.730899	8.729557	-9.252724	-8.4640875	3.782074	3.5099225	16.827166	9.831011	31.416557	-3.3919847	2.4284866	1.3201259	6.687292	0.91341305	21.320856	21000	64000.0	3419.4080345630646
17	0.2	0.19551957	0.47088286	9.012509	9.011337	-9.517084	-8.930972	3.7447462	3.4908617	16.954578	9.470754	30.525496	-5.514458	2.4381578	1.3287991	6.337165	0.9097043	21.697298	21998	68000.0	3621.95312166214
18	0.2287234	0.17706653	0.4324677	9.263385	9.260819	-9.741662	-9.406813	3.7257192	3.489718	16.195562	9.186024	29.785505	-4.034784	2.449827	1.2933581	6.3123546	0.9089746	21.30851	22998	72000.0	3825.215782880783
19	0.17741935	0.16033716	0.39639056	9.491338	9.491815	-9.961588	-9.879894	3.7115479	3.5062075	17.532028	8.790056	29.228043	-3.7200406	2.2765265	1.1973082	5.5964174	0.91775817	21.510754	23998	76000.0	4030.3143479824066
20	0.16042781	0.14517584	0.36618936	9.7173395	9.717937	-10.174737	-10.357712	3.694495	3.515185	18.037931	8.604799	29.177177	-6.374206	2.2326546	1.1636845	5.7683806	0.9089929	21.320856	24998	80000.0	4242.376273155212
21	0.17894737	0.13143522	0.34195963	9.998982	9.998197	-10.413062	-10.842223	3.63492	3.4679625	17.46981	8.713102	29.645798	-5.5512457	2.2326066	1.1390837	5.479865	0.9098185	21.131578	25000	84000.0	4454.232657670975
22	0.122994654	0.118981555	0.31961372	10.370203	10.369903	-10.731919	-11.326262	3.535724	3.3787658	18.477024	7.463152	29.776545	-4.7642307	2.0790076	0.96446186	5.2497473	0.66757846	21.229946	25000	88000.0	4656.446982622147
23	0.08791209	0.107713744	0.29005402	10.746744	10.74471	-11.073045	-11.789712	3.483162	3.3449175	18.97731	7.505492	30.608324	-6.63625	2.0207393	1.079805	6.753946	0.6677562	21.989012	25000	92000.0	4862.88680434227
24	0.07027027	0.09751235	0.2647165	11.077274	11.077322	-11.381066	-12.257069	3.5455894	3.421936	18.84657	6.723338	28.550798	-4.5641127	2.013397	0.9334929	5.076036	0.89104646	21.58919	25000	96000.0	5064.6748995780945
25	0.044444446	0.08827055	0.24847288	11.429791	11.427401	-11.723107	-12.741899	3.6761107	3.5644784	19.179571	6.669739	30.600937	-5.7461376	1.9244281	0.82845896	5.379523	0.89639413	22.222221	25000	100000.0	5267.407697200775
26	0.04945055	0.0798956	0.24051489	11.847507	11.846495	-12.10735	-13.245136	3.5209925	3.427211	19.502222	6.772791	28.959572	-5.333124	1.8299956	0.823103	5.9573226	0.66578436	22.142857	25000	104000.0	5470.1482808589935
27	0.033333335	0.07228907	0.27342469	12.278028	12.278262	-12.481444	-13.856202	3.2205987	3.1478608	20.08365	6.149531	29.729395	-5.476371	1.8574982	0.78371936	5.9291854	0.9113234	22.127777	25000	108000.0	5674.929843187332
28	0.005586592	0.065374486	0.30909905	12.650361	12.648748	-12.835887	-14.483095	3.0253692	2.9652293	20.721777	4.425017	30.418625	-2.8442647	1.7135974	0.5420134	4.2757597	0.90854037	22.525139	25000	112000.0	5881.573765277863
29	0.022857143	0.059166927	0.2346401	12.96444	12.962434	-13.153756	-14.802345	2.8564873	2.8120267	19.954865	5.1552205	30.206846	-6.2678084	1.7835068	0.72720003	5.680449	0.90863115	22.731428	25000	116000.0	6090.989488601685
30	0.05172414	0.053563133	0.22752777	13.263451	13.263759	-13.447574	-15.302386	2.7066257	2.671996	18.802769	6.462228	28.64586	-8.244279	1.909581	0.96030056	6.2451224	0.9085499	22.827587	25000	120000.0	6306.5738780498505
31	0.0058139535	0.04847239	0.24764663	13.52328	13.523723	-13.6877575	-15.88578	2.5353417	2.509274	19.932638	4.6983733	29.657305	-5.4141293	1.8153777	0.71305174	5.3487163	0.89174676	23.302326	25000	124000.0	6519.647748708725
32	0.0058139535	0.043852773	0.25517157	13.749488	13.748056	-13.9126425	-16.434793	2.4575176	2.436501	19.944803	4.1874146	29.82921	0.8257149	1.7793682	0.66344714	6.843996	0.8107469	23.436047	25000	128000.0	6734.265303134918
33	0.0	0.039666396	0.2940392	13.946729	13.947524	-14.096459	-17.087683	2.3028831	2.289998	20.542751	4.3545594	29.998617	-2.0712225	1.7651379	0.5124809	3.5086775	0.92462885	23.17341	25000	132000.0	6946.054830789566
34	0.01754386	0.03587517	0.31095046	14.123238	14.12333	-14.256071	-17.675726	2.2229388	2.210507	19.677538	5.0506735	30.199781	-3.939166	1.7910547	0.70000017	4.737824	0.6795821	23.22807	25000	136000.0	7157.996983528137
35	0.011627907	0.032454	0.31035212	14.268414	14.268505	-14.392371	-18.206028	2.1337976	2.129117	20.866835	4.6249948	28.661823	-4.372122	1.788774	0.67747355	5.9554243	0.6737809	23.348837	25000	140000.0	7365.411563158035
36	0.011560693	0.02935918	0.32858536	14.383018	14.383698	-14.490305	-18.802504	2.0073035	2.001935	21.386354	4.697945	30.31408	-8.111521	1.8012247	0.63230276	5.030103	0.9246356	22.97688	25000	144000.0	7574.329695701599
37	0.0056818184	0.026565067	0.2891936	14.507108	14.507568	-14.600461	-19.191452	1.9143023	1.9085168	21.696945	4.086201	29.622583	-0.60441893	1.6986996	0.57920176	3.9577653	0.79722863	22.84091	25000	148000.0	7783.207736730576
38	0.0	0.024055459	0.22393571	14.612497	14.612951	-14.703854	-19.473171	1.8281755	1.8260185	21.392004	4.1440043	30.324324	6.5608153	1.8090028	0.63430536	4.390212	0.8500035	22.98276	25000	152000.0	7988.908269405365
39	0.011235955	0.021786042	0.18839704	14.740026	14.7411175	-14.824096	-19.855326	1.750184	1.7496965	21.597105	4.254491	28.86879	-3.932846	1.8919542	0.6824553	4.848595	0.6677637	22.488764	25000	156000.0	8192.750930786133
40	0.0	0.019724095	0.17297256	14.906923	14.9073105	-14.9844475	-20.310644	1.655683	1.6547363	21.814165	3.5829785	28.273924	9.811875	1.7570366	0.54313254	3.6658769	0.6677649	22.449438	25000	160000.0	8398.818889856339
41	0.0056497175	0.01785387	0.16207533	15.064058	15.06386	-15.136668	-20.782196	1.5768758	1.5796118	21.581516	4.333565	28.538927	-4.8645716	1.8957642	0.7593548	5.60295	0.92241675	22.514124	25000	164000.0	8601.7623462677
42	0.0056497175	0.016158538	0.15870379	15.225084	15.224706	-15.29584	-21.283382	1.4969685	1.4977769	21.94054	3.5501206	29.814384	1.3168385	1.8120452	0.61417484	3.621486	0.91020316	22.59887	25000	168000.0	8806.3196747303
43	0.011111111	0.014622951	0.15056756	15.371163	15.373278	-15.432035	-21.764044	1.4191473	1.4165876	21.557112	4.0530195	28.890741	-0.99369913	1.7958326	0.608633	4.1349955	0.90969837	22.177778	25000	172000.0	9008.982666254044
44	0.0	0.013233589	0.14464904	15.51983	15.5206995	-15.577316	-22.252697	1.3217437	1.3172803	21.836649	3.5791876	28.242012	9.932217	1.897414	0.65361506	4.3536406	0.9088544	22.505617	25000	176000.0	9212.748104095459
45	0.0	0.011975354	0.14347595	15.675994	15.677405	-15.726184	-22.761503	1.2495217	1.2411343	22.09648	3.4189808	29.252724	11.103012	1.9078479	0.6719993	3.8530867	0.9084644	22.761364	25000	180000.0	9417.57278084755
46	0.011173184	0.010836437	0.13978933	15.814939	15.813615	-15.853637	-23.258837	1.1760103	1.1626426	21.76792	4.001902	28.50591	-3.6180553	1.9204504	0.66743445	4.4987025	0.79168135	22.290503	25000	184000.0	9622.97441148758
47	0.011111111	0.009805814	0.13587762	15.924521	15.92579	-15.951459	-23.75441	1.1161307	1.1018803	21.713715	4.328896	29.627254	-0.38898027	1.8705349	0.7042336	4.2481475	0.6563211	22.333334	25000	188000.0	9829.743084192276
