Epoch	AverageCrash_counter	StdCrash_counter	Crash_ratio	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	96.0	0.0	0.7164179	-6.9533324	8.207717	15.913011	-17.437052	4.470305	1.14243	8.404424	1.5557597	15.858209	0.14590174	0.016663788	0.2742848	0.11579294	4000	4.4703484e-08	389.23392	-0.014597237	-43.547768	1.6088872	0.010101442	0.093	79.0	310.97336530685425
1	101.0	0.0	0.67333335	-4.0148525	9.430221	19.49169	-19.202045	4.7360826	1.4506443	9.202742	0.9483739	17.5	-1.8881806	0.36891213	-1.404286	-2.641879	8000	1.4901161e-08	206.18008	-0.016850844	-22.447826	1.6011243	0.008615079	0.0895	79.0	611.6258511543274
2	120.0	0.0	0.6060606	-3.9380271	9.537178	18.454552	-27.177002	4.668686	1.5293847	8.528843	1.2012165	18.595959	-3.4634058	0.27991322	-2.7588048	-4.7485867	12000	3.7252903e-09	94.70184	-0.010273783	-5.1306686	1.5734866	0.012049409	0.29775	15.0	902.8461873531342
3	68.0	0.0	0.53968257	-1.929344	9.946902	19.81754	-19.974443	4.4250026	1.6793075	9.960492	0.8930937	18.380953	-2.3123832	0.77301925	-0.3128909	-3.2157936	16000	0.0	177.8829	-0.012159795	-33.98107	1.5416214	0.009430466	0.16375	79.0	1215.8330988883972
4	108.0	0.0	0.51184833	-0.97019154	9.574108	24.299364	-19.249657	4.1355667	1.3721932	7.292638	1.0195038	18.900475	-1.9295071	1.6743133	1.0963615	-6.2119317	20000	1.1175871e-08	95.38408	-0.009807764	-16.09005	1.5006071	0.013649298	0.34425002	15.0	1501.1985185146332
5	73.0	0.0	0.45625	0.61886483	10.091515	25.894308	-18.627829	3.8466492	1.5066166	8.506245	0.917451	18.7	-0.9079797	2.9378211	7.679294	-4.7942414	24000	2.9802322e-08	107.12106	-0.010923162	-4.2353935	1.4292877	0.0061413627	0.085250005	79.0	1796.3627552986145
6	64.0	0.0	0.35359117	2.4183164	9.512872	22.790594	-19.078484	3.4228122	1.416527	8.312002	0.676752	19.226519	0.288065	3.515787	6.888834	-5.639588	28000	-3.7252903e-08	97.015854	-0.011122111	-4.278965	1.3362269	0.01227225	0.13925	32.0	2084.564791202545
7	78.0	0.0	0.3919598	3.4673903	10.139325	22.189749	-15.600526	3.427476	1.3249522	7.2449746	1.1987882	19.929647	2.6552973	3.2847269	6.9874754	-5.196925	32000	1.7695129e-08	83.11063	-0.011341143	-10.322926	1.2460194	0.012016159	0.11	73.0	2369.2327494621277
8	67.0	0.0	0.36021507	4.353116	10.143085	23.991928	-17.462503	3.3374975	1.3596839	6.9257245	0.89200574	19.89785	3.2641504	3.3731465	9.47908	-3.243278	36000	2.7939677e-09	82.57391	-0.005934763	-2.7628555	1.2105147	0.012047114	0.12924999	9.0	2656.4932839870453
9	52.0	0.0	0.32704404	5.0049973	9.271126	23.629045	-14.204138	3.2387702	1.4349539	8.72546	1.1687958	21.283018	3.3545778	3.723889	10.440523	-2.2771883	40000	1.4901161e-08	79.60532	-0.0065472275	-1.1170273	1.1805325	0.012227422	0.116	15.0	2959.795559644699
10	51.0	0.0	0.3167702	6.2815256	10.239959	24.901016	-16.346424	3.069674	1.3742867	6.8505845	0.91510725	21.10559	3.66252	3.8137245	10.300213	-2.0628688	44000	2.6077032e-08	82.39142	-0.009184778	-1.8976288	1.078591	0.006064499	0.057499997	79.0	3260.284734249115
11	65.0	0.0	0.33678755	6.929662	10.46885	26.555912	-16.800909	3.1377382	1.3768598	7.4205337	0.9207819	20.554403	5.063124	3.1533506	9.720641	-1.6827328	48000	5.5879354e-09	71.46349	-0.010782157	-8.549942	1.086723	0.00488326	0.077250004	79.0	3551.5000569820404
12	45.0	0.0	0.24590164	8.844366	9.83854	24.939001	-18.585531	2.824222	1.232628	7.901875	0.91166234	21.786884	6.5173125	3.312381	12.035527	0.39606988	52000	9.313226e-09	59.40765	-0.011961159	-7.1597824	1.0148683	0.00961737	0.10975	79.0	3840.105842590332
13	32.0	0.0	0.21768707	10.093974	8.574253	23.917797	-9.791882	2.7987323	1.1378567	5.9759326	0.91356945	22.047619	6.796001	3.368418	12.825973	2.1482983	56000	1.4901161e-08	44.819153	-0.0095860325	-1.0694275	0.9677304	0.0060308487	0.057000004	79.0	4148.802644491196
14	37.0	0.0	0.2032967	11.717589	9.34158	27.092594	-15.688108	2.7227154	1.2743009	7.2780776	0.90544605	21.813187	8.289896	3.0296574	12.977632	2.0479264	60000	6.519258e-09	47.497757	-0.01080463	-5.0017376	0.92087346	0.00545482	0.0805	79.0	4433.637825727463
15	52.0	0.0	0.26804122	10.8723545	9.7736225	27.418976	-10.529957	2.7657971	1.2748754	7.2334723	0.9115822	20.56701	9.852607	2.664758	13.809526	2.6876929	64000	6.0535967e-09	50.09032	-0.010315295	-2.5237255	0.89703697	0.007020315	0.069749996	79.0	4700.206907749176
16	42.0	0.0	0.22702703	12.572936	9.42497	27.262749	-10.671998	2.596593	1.1016033	6.847542	0.90898067	21.567568	9.481557	2.4083009	13.488542	1.6767521	68000	-1.0244548e-08	44.34797	-0.009149353	-2.493435	0.8574667	0.004337981	0.057	79.0	4967.292897224426
17	37.0	0.0	0.19786096	12.63094	8.890746	26.852722	-13.24321	2.5543869	1.1191305	6.17793	0.9234264	21.251337	10.793889	2.4755783	15.130032	2.1392577	72000	-7.450581e-09	39.032455	-0.010724813	-2.327139	0.8417319	0.006449993	0.1025	79.0	5233.743257284164
18	56.0	0.0	0.28426397	12.424614	9.987951	27.80242	-10.309455	2.6033256	1.0692567	5.7572784	0.9144391	20.11675	10.730635	1.763787	14.191897	5.1645975	76000	-1.3038516e-08	48.384636	-0.0070479494	-1.2966995	0.806316	0.0047761826	0.061750002	79.0	5503.3212859630585
19	50.0	0.0	0.25641027	13.495803	9.610001	29.774408	-8.360034	2.6718256	1.1371018	5.9480414	0.8949195	20.405128	10.669892	1.7908499	14.456846	6.104333	80000	1.8626451e-09	44.93367	-0.0077341665	-0.80648994	0.7667216	0.0040890886	0.05125	79.0	5768.274376869202
20	34.0	0.0	0.22666667	14.962516	9.684765	28.438774	-10.556538	2.4186375	0.98807424	5.2769732	0.9111319	21.0	10.593975	2.0851042	14.776995	-9.75061	84000	-2.6077032e-08	52.146503	-0.0066858605	-5.6900654	0.73807967	0.006950289	0.03875	79.0	6063.1329181194305
21	40.0	0.0	0.20942408	15.247579	8.740707	31.095968	-10.14397	2.3364456	0.99634445	6.1441927	0.9159364	20.801046	10.962436	2.050296	14.222733	5.3247743	88000	-6.519258e-09	38.153133	-0.008266555	-1.8209038	0.68011105	0.0034018336	0.052	79.0	6323.268007516861
22	38.0	0.0	0.20212767	15.335847	9.108398	28.732077	-6.2814965	2.3781848	0.9751961	5.0751276	0.90923893	21.212767	11.941056	2.1290789	15.217615	6.030576	92000	-7.450581e-09	37.4106	-0.007223308	-0.9578934	0.6746322	0.0036455365	0.045500003	79.0	6589.672047615051
