Epoch	Crash_ratio	alpha	entropy	critic1	critic2	LossPi	alpha_loss	critic1_loss	critic2_loss	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	Buffer_size	TotalEnvInteracts	Time
1	0.7352941	0.95167685	1.6060581	1.1758721	1.1816181	-2.6934707	-0.32990068	0.8868683	0.87626594	-6.7354283	8.474287	18.962887	-27.059933	4.6256824	1.3380467	9.457891	1.1738205	16.42647	6000	4000.0	182.44457149505615
2	0.6952381	0.8611569	1.5960584	1.8569181	1.856427	-3.2392554	-0.98861355	0.7852203	0.78254527	-6.4657707	21.055897	18.476904	-285.64844	4.486914	1.3643361	8.26015	0.9135158	22.014286	7000	8000.0	363.2535545825958
3	0.6435185	0.7793206	1.5750442	2.4703727	2.470077	-3.7268114	-1.6418319	0.79752845	0.7957816	-1.791921	9.369258	21.226614	-16.170116	4.5948853	1.2944868	8.7006035	1.2037749	18.453703	8000	12000.0	542.2065258026123
4	0.52409637	0.7054196	1.531005	3.0495322	3.0494454	-4.200533	-2.2813802	0.8224494	0.82320386	1.679102	9.641194	20.42256	-19.197294	4.49486	1.4772341	8.9771	0.94991916	19.608435	9000	16000.0	725.1651365756989
5	0.49456522	0.6386969	1.4689833	3.5979319	3.5978944	-4.6633487	-2.9022558	0.8375294	0.8385188	2.8489592	21.613438	24.50148	-259.50296	4.301103	1.3823584	7.8696856	1.0	25.847826	10000	20000.0	907.728143453598
6	0.4360465	0.5784642	1.3882695	4.0937037	4.0938606	-5.0902014	-3.4987109	0.91325796	0.9131104	6.245796	9.08928	22.123934	-12.447122	4.0691924	1.2341927	7.3816757	1.2080203	20.58721	11000	24000.0	1089.068547487259
7	0.38690478	0.52398586	1.321339	4.5763903	4.576339	-5.5082235	-4.0874567	0.968277	0.96684915	6.1825604	23.365772	24.818756	-272.46033	3.9426284	1.4612887	7.91784	0.94521433	26.458334	12000	28000.0	1268.7830784320831
8	0.3556701	0.4746434	1.2446415	5.018242	5.0187755	-5.895907	-4.6553626	1.015783	1.0137954	9.660807	9.442397	24.365826	-8.88356	3.6712885	1.3681264	7.4277024	0.92917085	20.530928	13000	32000.0	1443.6405227184296
9	0.35532996	0.42998114	1.1738318	5.4289336	5.4286094	-6.252459	-5.212906	1.0839436	1.082041	10.212652	8.941102	26.830244	-6.995935	3.6506143	1.3536837	7.417828	0.9265571	20.477158	14000	36000.0	1617.8227109909058
10	0.3147208	0.3894629	1.1220186	5.8195148	5.819379	-6.5862675	-5.775041	1.1102842	1.108834	11.152786	9.104514	24.400827	-7.7987537	3.3764083	1.3383422	6.6611524	0.9307509	20.243654	15000	40000.0	1790.9700756072998
